Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
11;1342;1;1342;S-P19640;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chenopodietalia albi;;NA;100;1972;-8.097725607;43.10641983;3 - UTM10x10 + Elevation;470;V1
12;1141;1;1141;R-P21298;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;N;5;40;1995;-7.273824138;42.67205843;1 - UTM1x1 + Elevation;1000;V1
13;1500;1;1500;T-P12096;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;;NA;50;1988;-5.774226342;42.7002455;3 - UTM10x10 + Elevation;1120;V1
14;1505;1;1505;T-P12101;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;20;1988;-6.921664848;43.31492976;3 - UTM10x10 + Elevation;670;V1
15;1683;1;1683;T-P33566;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;N;5;NA;1959;-8.532775354;42.91691302;1 - UTM1x1 + Elevation;350;V1
16;1343;1;1343;S-P19641;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chenopodietalia albi;;NA;100;1972;-8.090827989;43.11212926;3 - UTM10x10 + Elevation;490;V1
17;1047;1;1047;Q-P09947;V38;V38;Weed;V15C;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Carduus carpetanus;;NA;8;2000;-6.7732351;41.89548738;3 - UTM10x10 + Elevation;990;V1
18;1665;1;1665;T-P33548;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chrysanthemum segetum-Raphanetum;S;NA;NA;1959;-8.50051025;42.85725756;1 - UTM1x1 + Elevation;150;V1
19;1050;1;1050;Q-P09950;V38;V38;Weed;V15C;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Carduus carpetanus;;NA;12;2000;-7.079603721;41.89940303;3 - UTM10x10 + Elevation;780;V1
20;1660;1;1660;T-P33543;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chrysanthemum segetum-Raphanetum;NW;NA;NA;1959;-8.590665094;42.82587088;3 - UTM10x10 + Elevation;200;V1
21;1056;1;1056;Q-P10040;V15;V15;Weed;V15C;0;NA;NA;NA;;W;4.5;25;NA;-6.844864028;41.8841034;3 - UTM10x10 + Elevation;900;V1
22;1652;1;1652;T-P33535;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chrysanthemum segetum-Raphanetum;S;8;NA;1959;-8.535426896;42.86457177;1 - UTM1x1 + Elevation;300;V1
23;1054;1;1054;Q-P10037;V15;V15;Weed;V15C;0;NA;NA;NA;;S;5;6;NA;-6.589350209;41.84015678;3 - UTM10x10 + Elevation;920;V1
24;1057;1;1057;Q-P10041;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;30;NA;-7.163941607;41.93598928;3 - UTM10x10 + Elevation;780;V1
25;1221;1;1221;R-P24619;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;NE;5;15;2012;-6.587236569;42.27425173;1 - UTM1x1 + Elevation;1003;V1
26;1139;1;1139;R-P21296;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;NW;NA;40;1995;-7.434860876;42.50026169;1 - UTM1x1 + Elevation;480;V1
27;1496;1;1496;T-P12090;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;;NA;100;1988;-6.125389091;42.49669509;3 - UTM10x10 + Elevation;960;V1
28;1347;1;1347;S-P19648;V15;V15;Weed;V15C;0;NA;NA;NA;Associació-Desconeguda;;NA;NA;1972;-7.898781588;43.16914822;3 - UTM10x10 + Elevation;470;V1
29;1662;1;1662;T-P33545;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chrysanthemum segetum-Raphanetum;NW;10;NA;1959;-8.537087631;42.82848246;3 - UTM10x10 + Elevation;250;V1
30;1049;1;1049;Q-P09949;V39;R1R;Weed;V15C;0;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Carduus carpetanus;;NA;4;2000;-6.833092387;41.84847887;3 - UTM10x10 + Elevation;910;V1
31;1205;1;1205;R-P24005;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;50;1986;-6.752607733;42.38526237;4 - UTM10x10 + Centroid;102;V1
32;1495;1;1495;T-P12088;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;;NA;50;1988;-6.626525465;42.70342003;3 - UTM10x10 + Elevation;830;V1
33;1681;1;1681;T-P33564;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;W;3;NA;1959;-8.557958896;42.95169794;3 - UTM10x10 + Elevation;250;V1
34;1059;1;1059;Q-P10043;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;4;NA;-7.159197525;41.90014462;3 - UTM10x10 + Elevation;820;V1
35;1064;1;1064;Q-P10049;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;25;NA;-7.0318689;41.86867586;3 - UTM10x10 + Elevation;760;V1
36;1682;1;1682;T-P33565;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;W;NA;NA;1959;-8.515541619;42.91571092;2 - UTM1x1 + Centroid;250;V1
37;1062;1;1062;Q-P10047;V15;V15;Weed;V15C;0;NA;NA;NA;;SW;4.5;16;NA;-6.596850701;41.80210099;3 - UTM10x10 + Elevation;750;V1
38;1071;1;1071;Q-P10060;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Comunidad de Chrysanthemum segetum y Lolium rigidum;W;4.5;12;2000;-6.635274238;41.88553598;3 - UTM10x10 + Elevation;640;V1
39;1060;1;1060;Q-P10045;V15;V15;Weed;V15C;0;NA;NA;NA;;S;4.5;25;NA;-6.813546977;41.92476961;3 - UTM10x10 + Elevation;1030;V1
40;1063;1;1063;Q-P10048;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;16;NA;-6.628056888;41.88576452;3 - UTM10x10 + Elevation;680;V1
41;1040;1;1040;Q-P08735;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;40;1990;-4.490192325;42.81601335;3 - UTM10x10 + Elevation;1090;V1
42;1716;1;1716;T-P36786;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;W;5;10;1993;-7.660414587;42.42466861;1 - UTM1x1 + Elevation;200;V1
43;1067;1;1067;Q-P10052;V15;V15;Weed;V15C;0;NA;NA;NA;;W;4.5;25;NA;-6.951235016;41.88949185;3 - UTM10x10 + Elevation;790;V1
44;1066;1;1066;Q-P10051;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;20;NA;-6.962255002;41.75584432;3 - UTM10x10 + Elevation;850;V1
45;1147;1;1147;R-P21304;V15;R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;0;40;1995;-7.500562743;42.56792197;1 - UTM1x1 + Elevation;410;V1
46;1503;1;1503;T-P12099;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;100;1988;-6.730196674;42.84414942;3 - UTM10x10 + Elevation;980;V1
47;1502;1;1502;T-P12098;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;100;1988;-6.708827691;42.81423125;3 - UTM10x10 + Elevation;860;V1
48;1425;1;1425;T-P03492;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-5.406264651;42.84544537;3 - UTM10x10 + Elevation;1000;V1
49;1678;1;1678;T-P33561;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;N;NA;NA;1959;-8.583338351;42.93425511;3 - UTM10x10 + Elevation;350;V1
50;1506;1;1506;T-P12102;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;20;1988;-6.980480903;43.30929352;3 - UTM10x10 + Elevation;680;V1
51;1507;1;1507;T-P12103;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;10;1988;-6.832348725;43.22792752;3 - UTM10x10 + Elevation;660;V1
52;1508;1;1508;T-P12104;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Miboro minimae-Arabidopsietum thalianae;;NA;10;1988;-6.608611707;42.60494081;3 - UTM10x10 + Elevation;560;V1
53;1115;1;1115;Q-P14984;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;;NA;30;1982;-7.235944714;42.48391415;4 - UTM10x10 + Centroid;547;V1
54;1497;1;1497;T-P12092;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;;NA;150;1988;-6.332840023;42.1864851;3 - UTM10x10 + Elevation;1150;V1
55;1498;1;1498;T-P12093;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Spergulario-Arnoseretum minimae;;NA;120;1988;-6.25247205;42.22481396;3 - UTM10x10 + Elevation;970;V1
56;1210;1;1210;R-P24010;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;W;25;150;1986;-6.877098566;42.29744784;4 - UTM10x10 + Centroid;104;V1
57;1058;1;1058;Q-P10042;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;20;NA;-7.128977716;41.91744476;3 - UTM10x10 + Elevation;780;V1
58;1069;1;1069;Q-P10054;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Catapodietum patentis;NNE;9;16;2000;-6.597757147;41.81828152;3 - UTM10x10 + Elevation;830;V1
59;1070;1;1070;Q-P10055;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Catapodietum patentis;SE;4.5;9;2000;-7.059109571;41.88032087;3 - UTM10x10 + Elevation;840;V1
60;1065;1;1065;Q-P10050;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;25;NA;-6.956713676;41.78304936;3 - UTM10x10 + Elevation;880;V1
61;1680;1;1680;T-P33563;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;;NA;NA;1959;-8.538458603;42.92563953;1 - UTM1x1 + Elevation;350;V1
62;1679;1;1679;T-P33562;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;N;5;NA;1959;-8.55928018;42.91202409;1 - UTM1x1 + Elevation;350;V1
63;1068;1;1068;Q-P10053;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;15;NA;-7.067007472;41.89084622;3 - UTM10x10 + Elevation;860;V1
64;1504;1;1504;T-P12100;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;100;1988;-6.68302659;42.79165488;3 - UTM10x10 + Elevation;950;V1
65;1700;1;1700;T-P36770;V15;V32;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;0;50;1993;-7.561289117;42.56551573;1 - UTM1x1 + Elevation;370;V1
66;1203;1;1203;R-P23999;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;200;1986;-6.995282441;42.38985921;4 - UTM10x10 + Centroid;98;V1
67;1423;1;1423;T-P03480;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-6.391625954;42.64939611;3 - UTM10x10 + Elevation;720;V1
68;1769;1;1769;U-P10345;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;;NA;NA;1968;-8.874753862;42.05185083;3 - UTM10x10 + Elevation;70;V1
69;1770;1;1770;U-P10346;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linaria delphinioides-Arnoseretum;;NA;NA;1968;-8.761838482;42.00538366;3 - UTM10x10 + Elevation;162;V1
70;1701;1;1701;T-P36771;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;NW;NA;40;1993;-7.43013428;42.50224556;1 - UTM1x1 + Elevation;480;V1
71;1704;1;1704;T-P36774;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;0;30;1993;-7.442382618;42.64042379;1 - UTM1x1 + Elevation;440;V1
72;1703;1;1703;T-P36773;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;0;15;1993;-7.377916818;42.59069009;1 - UTM1x1 + Elevation;500;V1
73;1417;1;1417;T-P03469;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-6.517054166;42.20037363;4 - UTM10x10 + Centroid;760;V1
74;1422;1;1422;T-P03479;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-6.286927646;42.56060595;3 - UTM10x10 + Elevation;1160;V1
75;1783;1;1783;U-P13630;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Tolpidi barbatae-Anthoxanthetum aristati;;NA;NA;1994;-7.089128404;43.53843902;4 - UTM10x10 + Centroid;40;V1
76;1416;1;1416;T-P03468;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-7;43;5 - UTMs missing from DEM;830;V1
77;1419;1;1419;T-P03471;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-6.630956118;41.97932291;3 - UTM10x10 + Elevation;850;V1
78;1426;1;1426;T-P03500;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Cnico benedicti-Papaveretum argemones;;NA;NA;1989;-6.689756159;42.61675948;3 - UTM10x10 + Elevation;500;V1
79;1431;1;1431;T-P03533;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Cnico benedicti-Papaveretum argemones;;NA;NA;1989;-5.336090445;42.86670987;3 - UTM10x10 + Elevation;980;V1
80;1418;1;1418;T-P03470;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-6.449399262;42.05884169;4 - UTM10x10 + Centroid;800;V1
81;1483;1;1483;T-P12050;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;NA;1988;-6.205383665;42.63315379;3 - UTM10x10 + Elevation;1070;V1
82;1654;1;1654;T-P33537;V15;V15;Weed;V15A;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Chrysanthemum segetum-Raphanetum;S;6;NA;1959;-8.544830183;42.887521;3 - UTM10x10 + Elevation;250;V1
83;1207;1;1207;R-P24007;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;SW;15;60;1986;-6.752607733;42.38526237;4 - UTM10x10 + Centroid;127;V1
84;1699;1;1699;T-P36769;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;N;NA;50;1993;-7.592446428;42.49224194;1 - UTM1x1 + Elevation;300;V1
85;1258;1;1258;R-P28933;V15;V32;Weed;V15A;0;NA;NA;NA;Associació-Desconeguda;;NA;40;1982;-8.56035296;42.76073549;3 - UTM10x10 + Elevation;30;V1
86;1121;1;1121;Q-P14990;V15;V15;Weed;V15A;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;NE;NA;40;1982;-7.891862858;42.30696634;3 - UTM10x10 + Elevation;230;V1
87;1897;1;1897;R-P24608;V35;R1R;Trampled;V34;0;Polygono-Poetea annuae;Polygono arenastri-Poetalia annuae;Polycarpion tetraphylli;Crassulo tillaeae-Saginetum apetalae;S;3;1;2012;-6.620773945;42.3938561;1 - UTM1x1 + Elevation;1026;V1
88;1222;1;1222;R-P24620;V15;V15;Weed;V15A;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;W;15;40;2012;-6.821438029;42.45756654;1 - UTM1x1 + Elevation;540;V1
89;1206;1;1206;R-P24006;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;NA;80;1986;-6.752607733;42.38526237;4 - UTM10x10 + Centroid;126;V1
90;1420;1;1420;T-P03472;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-6.721037279;41.99264297;3 - UTM10x10 + Elevation;890;V1
91;1208;1;1208;R-P24008;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;N;15;80;1986;-6.877098566;42.29744784;4 - UTM10x10 + Centroid;121;V1
92;1209;1;1209;R-P24009;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;W;25;200;1986;-6.877098566;42.29744784;4 - UTM10x10 + Centroid;104;V1
93;1214;1;1214;R-P24017;V15;+;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario amethysteae-Calenduletum arvensis;N;15;25;1986;-6.906233053;42.41328501;3 - UTM10x10 + Elevation;350;V1
94;1702;1;1702;T-P36772;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;S;NA;70;1993;-7.461822219;42.57124082;1 - UTM1x1 + Elevation;380;V1
95;1421;1;1421;T-P03473;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Triseto ovati-Arnoseridetum minimae;;NA;NA;1989;-6.449399262;42.05884169;4 - UTM10x10 + Centroid;760;V1
96;1785;1;1785;U-P13663;V15;V13;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Bunio-Vicietum tetraspermae;W;NA;100;1971;-5.890647284;43.18089224;4 - UTM10x10 + Centroid;814.5;V1
97;1072;1;1072;Q-P10061;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Comunidad de Chrysanthemum segetum y Lolium rigidum;;NA;10;2000;-6.76432699;41.86696504;3 - UTM10x10 + Elevation;630;V1
98;1061;1;1061;Q-P10046;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;20;NA;-6.602866544;41.82352414;3 - UTM10x10 + Elevation;880;V1
99;1698;1;1698;T-P36768;V15;R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;0;40;1993;-7.500174758;42.5625352;1 - UTM1x1 + Elevation;410;V1
100;1486;1;1486;T-P12077;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;20;1988;-6.404473132;42.61659897;3 - UTM10x10 + Elevation;700;V1
101;1148;1;1148;R-P21305;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;N;NA;50;1995;-7.595267542;42.49753063;1 - UTM1x1 + Elevation;300;V1
102;1075;1;1075;Q-P10065;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Miboro minimae-Arabidopsietum thalianae;S;13.5;1;2000;-6.736518026;41.88588395;3 - UTM10x10 + Elevation;630;V1
103;1146;1;1146;R-P21303;V15;V32;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;0;50;1995;-7.558860206;42.56561259;1 - UTM1x1 + Elevation;370;V1
104;1145;1;1145;R-P21302;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;S;NA;70;1995;-7.461822219;42.57124082;1 - UTM1x1 + Elevation;380;V1
105;1218;1;1218;R-P24616;V15;R1R;Weed;V15C;0;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;N;3;3;2012;-6.489870938;42.31147718;1 - UTM1x1 + Elevation;892;V1
106;1149;1;1149;R-P21306;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;;0;15;1995;-7.375360467;42.58898722;1 - UTM1x1 + Elevation;500;V1
107;1048;1;1048;Q-P09948;V37;V32;Weed;V15C;0;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Carduus carpetanus;S;9;10;2000;-6.611594935;41.85026448;3 - UTM10x10 + Elevation;870;V1
108;1055;1;1055;Q-P10038;V15;V15;Weed;V15C;0;NA;NA;NA;;;NA;8;NA;-6.570114655;41.88398082;3 - UTM10x10 + Elevation;900;V1
109;1140;1;1140;R-P21297;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Linario eleganti-Anthoxanthetum aristati;S;5;50;1995;-7.273300749;42.62886084;1 - UTM1x1 + Elevation;900;V1
110;1080;1;1080;Q-P10070;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Miboro minimae-Arabidopsietum thalianae;E;9;4;2000;-6.61857634;41.83535117;4 - UTM10x10 + Centroid;560;V1
111;1484;1;1484;T-P12054;V15;V15;Weed;V15C;2;Papaveretea rhoeadis;Aperetalia spicae-venti;Scleranthion annui;Centaureo cyani-Raphanetum microcarpae;;NA;70;1988;-6.223150644;42.50479023;3 - UTM10x10 + Elevation;1100;V1
