Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
13;2252;1;2252;T-P03105;U37;H;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;6;1986;-3.064475134;43.30297494;4 - UTM10x10 + Centroid;127;U3
14;2257;1;2257;T-P03110;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;SE;NA;5;1986;-3.103819977;43.26330785;3 - UTM10x10 + Elevation;150;U3
15;2329;1;2329;U-P00528;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;NE;100;20;2002;-5.114782695;42.83859615;1 - UTM1x1 + Elevation;980;U3
16;2260;1;2260;T-P04876;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1995;-3.445186375;43.44077816;1 - UTM1x1 + Elevation;50;U3
17;2246;1;2246;T-P03099;U37;H;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;N;NA;25;1986;-3.091566074;43.30834151;3 - UTM10x10 + Elevation;80;U3
18;2250;1;2250;T-P03103;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;5;1986;-2.936228824;43.30657379;4 - UTM10x10 + Centroid;58.5;U3
19;2251;1;2251;T-P03104;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;5;1986;-3.064475134;43.30297494;4 - UTM10x10 + Centroid;127;U3
20;2245;1;2245;T-P03098;U37;H;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;N;NA;20;1986;-3.017586094;43.31918232;3 - UTM10x10 + Elevation;40;U3
21;2247;1;2247;T-P03100;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;5;1986;-3.184041148;43.30731368;4 - UTM10x10 + Centroid;268;U3
22;2244;1;2244;T-P03097;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;NW;NA;30;1986;-3.160384935;43.22001994;3 - UTM10x10 + Elevation;150;U3
23;2229;1;2229;S-P20227;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxali-Parietarietum diffusae;S;NA;5;1972;-8.835928453;42.28608529;3 - UTM10x10 + Elevation;50;U3
24;2223;1;2223;S-P12042;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxali-Parietarietum diffusae;SW;100;15;1975;-6.641078956;43.57091204;3 - UTM10x10 + Elevation;5;U3
25;2220;1;2220;R-P24474;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;SW;100;4;2012;-6.695318936;42.42208899;1 - UTM1x1 + Elevation;477;U3
26;2231;1;2231;S-P20229;U37;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxali-Parietarietum diffusae;E;NA;10;1972;-8.680480713;42.28311436;3 - UTM10x10 + Elevation;10;U3
27;2217;1;2217;R-P24471;U37;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;S;90;20;2012;-6.714726725;42.42146086;1 - UTM1x1 + Elevation;470;U3
28;2224;1;2224;S-P17950;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;10;1982;-2.715385597;43.06489476;1 - UTM1x1 + Elevation;600;U3
29;2228;1;2228;S-P17954;U37;H;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;6;1982;-2.650846951;43.18358051;1 - UTM1x1 + Elevation;150;U3
30;2225;1;2225;S-P17951;U37;H;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;10;1982;-2.618965627;43.16546917;1 - UTM1x1 + Elevation;150;U3
31;2227;1;2227;S-P17953;U37;H;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;10;1982;-2.648375586;43.1853739;1 - UTM1x1 + Elevation;150;U3
32;2221;1;2221;S-P12040;U37;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxali-Parietarietum diffusae;NE;100;20;1975;-6.541250758;43.55784587;3 - UTM10x10 + Elevation;5;U3
33;2222;1;2222;S-P12041;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxali-Parietarietum diffusae;NE;100;15;1975;-7.020773027;43.54556605;3 - UTM10x10 + Elevation;30;U3
34;2150;1;2150;NEW-OMAR-TU92;U37;NA;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Comunidad de Cymbalaria muralis;S;90;5;1981;-5.666346277;43.23622682;500;325;U3
35;2263;1;2263;T-P04879;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1995;-3.47178442;43.36503425;3 - UTM10x10 + Elevation;50;U3
36;2265;1;2265;T-P04881;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;40;1995;-3.407885435;43.40670054;1 - UTM1x1 + Elevation;100;U3
37;2153;1;2153;Q-P02780;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;20;1969;-3.907740505;43.45562794;4 - UTM10x10 + Centroid;32;U3
38;2264;1;2264;T-P04880;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;15;1995;-3.481643422;43.36319226;3 - UTM10x10 + Elevation;50;U3
39;2151;1;2151;Q-P02778;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;40;1969;-3.665204511;43.46129774;4 - UTM10x10 + Centroid;43;U3
40;2243;1;2243;T-P03096;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;N;NA;30;1986;-3.123414233;43.20385723;3 - UTM10x10 + Elevation;100;U3
41;2230;1;2230;S-P20228;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxali-Parietarietum diffusae;SW;NA;10;1972;-8.810109025;42.32160787;3 - UTM10x10 + Elevation;70;U3
42;2267;1;2267;T-P04883;U37;H;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;25;1995;-3.492274197;43.456793;1 - UTM1x1 + Elevation;5;U3
43;2152;1;2152;Q-P02779;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Oxalido-Parietarietum;;NA;20;1969;-3.821186692;43.46727446;4 - UTM10x10 + Centroid;21;U3
44;2266;1;2266;T-P04882;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1995;-3.447737463;43.45157345;1 - UTM1x1 + Elevation;160;U3
45;2332;1;2332;U-P00531;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;W;100;2;2002;-4.903916548;42.98457479;1 - UTM1x1 + Elevation;1130;U3
46;2255;1;2255;T-P03108;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;NW;NA;10;1986;-3.089099974;43.30834345;3 - UTM10x10 + Elevation;100;U3
47;2319;1;2319;T-P32465;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1966;-2.183491904;43.1649911;1 - UTM1x1 + Elevation;180;U3
48;2254;1;2254;T-P03107;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;N;NA;15;1986;-3.128356882;43.21285656;3 - UTM10x10 + Elevation;80;U3
49;2256;1;2256;T-P03109;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;;NA;10;1986;-3.005250284;43.28316509;3 - UTM10x10 + Elevation;50;U3
50;2205;1;2205;R-P15123;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;;NA;NA;1983;-1.979221273;43.31642945;1 - UTM1x1 + Elevation;10;U3
51;2320;1;2320;T-P32466;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;50;1966;-1.686288442;43.29002808;1 - UTM1x1 + Elevation;220;U3
52;2324;1;2324;T-P32470;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;NA;1966;-1.522005849;43.15115377;1 - UTM1x1 + Elevation;280;U3
53;2321;1;2321;T-P32467;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1966;-1.509623614;43.15459498;1 - UTM1x1 + Elevation;290;U3
54;2323;1;2323;T-P32469;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1966;-1.504705465;43.1545308;1 - UTM1x1 + Elevation;290;U3
55;2317;1;2317;T-P32463;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1966;-2.27432441;43.18181187;1 - UTM1x1 + Elevation;100;U3
56;2318;1;2318;T-P32464;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1966;-2.251671146;43.22308765;1 - UTM1x1 + Elevation;140;U3
57;2270;1;2270;T-P04886;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;40;1995;-3.486968984;43.41179379;3 - UTM10x10 + Elevation;10;U3
58;2269;1;2269;T-P04885;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;50;1995;-3.412837718;43.40848366;1 - UTM1x1 + Elevation;10;U3
59;2271;1;2271;T-P04887;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1995;-3.412410328;43.34545383;1 - UTM1x1 + Elevation;25;U3
60;2268;1;2268;T-P04884;U37;H;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1995;-3.48299873;43.22271466;1 - UTM1x1 + Elevation;400;U3
61;2275;1;2275;T-P11545;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;NE;100;10;1988;-5.639847717;42.81328114;3 - UTM10x10 + Elevation;1100;U3
62;2262;1;2262;T-P04878;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1995;-3.447671054;43.44256934;3 - UTM10x10 + Elevation;20;U3
63;2170;1;2170;Q-P09918;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;W;90;3;2000;-6.902707464;41.96319006;3 - UTM10x10 + Elevation;800;U3
64;2171;1;2171;Q-P09919;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;NW;90;2;2000;-7.068164578;41.83317711;3 - UTM10x10 + Elevation;830;U3
65;2173;1;2173;Q-P09921;U37;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;S;90;1;2000;-6.860724682;41.86736218;3 - UTM10x10 + Elevation;850;U3
66;2238;1;2238;T-P03091;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;NE;NA;11;1986;-3.237205442;43.34415048;3 - UTM10x10 + Elevation;100;U3
67;2172;1;2172;Q-P09920;U37;V;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;NW;90;2;2000;-6.883145708;41.79997091;3 - UTM10x10 + Elevation;840;U3
68;2272;1;2272;T-P04888;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;30;1995;-3.510944897;43.3252461;1 - UTM1x1 + Elevation;50;U3
69;2273;1;2273;T-P04889;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1995;-3.571297047;43.18448787;2 - UTM1x1 + Centroid;400;U3
70;2207;1;2207;R-P15125;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;;NA;NA;1983;-2.412753528;43.11777144;1 - UTM1x1 + Elevation;150;U3
71;2282;1;2282;T-P13305;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;50;1997;-3.017598053;43.36060326;1 - UTM1x1 + Elevation;40;U3
72;2281;1;2281;T-P13304;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1997;-2.990447076;43.36420603;1 - UTM1x1 + Elevation;60;U3
73;2280;1;2280;T-P13303;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;50;1997;-2.987978355;43.3660067;1 - UTM1x1 + Elevation;60;U3
74;2330;1;2330;U-P00529;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;W;100;5;2002;-5.141603583;42.90653401;1 - UTM1x1 + Elevation;1030;U3
75;2253;1;2253;T-P03106;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;NW;NA;10;1986;-3.15049052;43.20202387;3 - UTM10x10 + Elevation;150;U3
76;2331;1;2331;U-P00530;V39;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;S;100;2;2002;-5.109590857;42.90172579;1 - UTM1x1 + Elevation;1100;U3
77;2279;1;2279;T-P13302;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;80;1997;-3.19521693;43.33162348;1 - UTM1x1 + Elevation;60;U3
78;2316;1;2316;T-P32462;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1966;-2.415143223;43.12498758;1 - UTM1x1 + Elevation;190;U3
79;2276;1;2276;T-P11546;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;N;100;9;1988;-5.688930827;42.87336941;3 - UTM10x10 + Elevation;1120;U3
80;2326;1;2326;T-P32472;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1966;-1.948138409;43.11624453;1 - UTM1x1 + Elevation;750;U3
81;2278;1;2278;T-P12130;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;N;90;6;1988;-6.38672846;42.91786629;3 - UTM10x10 + Elevation;1080;U3
82;2322;1;2322;T-P32468;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;50;1966;-1.504705465;43.1545308;1 - UTM1x1 + Elevation;290;U3
83;2206;1;2206;R-P15124;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;;NA;NA;1983;-1.986649325;43.3146946;1 - UTM1x1 + Elevation;10;U3
84;2274;1;2274;T-P11544;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;NW;100;10;1988;-5.61899362;42.84077425;3 - UTM10x10 + Elevation;1090;U3
85;2258;1;2258;T-P04874;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1995;-3.41745649;43.36164366;1 - UTM1x1 + Elevation;6;U3
86;2325;1;2325;T-P32471;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;20;1966;-1.899592669;43.08156961;2 - UTM1x1 + Centroid;700;U3
87;2277;1;2277;T-P11547;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;SE;100;8;1988;-5.682372596;42.89153242;3 - UTM10x10 + Elevation;1120;U3
88;2259;1;2259;T-P04875;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1995;-3.40543943;43.41031101;1 - UTM1x1 + Elevation;30;U3
89;2261;1;2261;T-P04877;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1995;-3.370779985;43.39782242;1 - UTM1x1 + Elevation;5;U3
90;2199;1;2199;R-P15117;U37;Sa;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;30;1983;-2.234028067;43.25538766;1 - UTM1x1 + Elevation;30;U3
91;2198;1;2198;R-P15116;U37;Sa;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;30;1983;-2.30881653;43.17842354;1 - UTM1x1 + Elevation;170;U3
92;2196;1;2196;R-P15113;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;35;1983;-2.194038196;43.29833496;1 - UTM1x1 + Elevation;10;U3
93;2202;1;2202;R-P15120;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;15;1983;-2.410295221;43.1177588;1 - UTM1x1 + Elevation;150;U3
94;2197;1;2197;R-P15115;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;30;1983;-2.259080326;43.22133494;1 - UTM1x1 + Elevation;80;U3
95;2204;1;2204;R-P15122;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalarietum muralis;;NA;NA;1983;-1.976755236;43.31640741;1 - UTM1x1 + Elevation;10;U3
96;2163;1;2163;Q-P02791;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;20;1969;-2.198835209;43.21460969;4 - UTM10x10 + Centroid;313;U3
97;2168;1;2168;Q-P07039;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Parietarietum judaicae;;NA;10;1985;-4.419290768;43.36986165;4 - UTM10x10 + Centroid;59;U3
98;2162;1;2162;Q-P02790;U37;H32d;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Galio valantiae-Parietarion judaicae;Centrantho-Hypericetum hircini;;NA;10;1969;-2.204357764;43.28045619;4 - UTM10x10 + Centroid;82;U3
99;2164;1;2164;Q-P02792;U37;?;Walls;U37;0;Cymbalario-Parietarietea diffusae;Tortulo-Cymbalarietalia;Cymbalario-Asplenion;Cymbalario-Trachelietum caerulei;;NA;50;1969;-8.693960952;42.8571451;4 - UTM10x10 + Centroid;202;U3
