Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
27;858;1;858;T-P22326;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;60;1988;-5.315636737;43.10484664;3 - UTM10x10 + Elevation;1300;V38a
28;1009;1;1009;U-P16704;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;N;15;50;2009;-5.116788343;43.04026513;2 - UTM1x1 + Centroid;1120;V38a
29;373;1;373;S-P11161;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;20;1989;-4.494536319;42.99605692;1 - UTM1x1 + Elevation;1160;V38a
30;955;1;955;U-P00109;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;N;2;12;2001;-5.02038241;43.02039722;1 - UTM1x1 + Elevation;1130;V38a
31;371;1;371;S-P11159;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;20;1989;-4.449034093;43.04346739;1 - UTM1x1 + Elevation;1340;V38a
32;1010;1;1010;U-P16705;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;60;2009;-5.141324671;43.03980847;2 - UTM1x1 + Centroid;1180;V38a
33;978;1;978;U-P00606;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;40;2002;-5.153281116;42.89010627;1 - UTM1x1 + Elevation;990;V38a
34;263;1;263;R-P24573;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;NE;15;50;2012;-6.594293849;42.27042867;1 - UTM1x1 + Elevation;1000;V38a
35;532;1;532;T-P04822;V38;R;Ruderal;V38;0;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;10;1984;-4.802200937;43.02944492;3 - UTM10x10 + Elevation;1600;V38a
36;1007;1;1007;U-P16702;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;N;2;20;2009;-5.168504199;43.04469922;1 - UTM1x1 + Elevation;1300;V38a
37;533;1;533;T-P04823;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;15;1984;-6.008270155;43.04550291;3 - UTM10x10 + Elevation;1350;V38a
38;976;1;976;U-P00603;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;N;5;10;2002;-4.932829752;42.96788147;1 - UTM1x1 + Elevation;1100;V38a
39;712;1;712;T-P11666;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;20;1988;-5.72477104;42.96436699;3 - UTM10x10 + Elevation;1460;V38a
40;264;1;264;R-P24574;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;40;2012;-6.589108695;42.3498309;2 - UTM1x1 + Centroid;730;V38a
41;462;1;462;S-P19747;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;150;2001;-5.639464935;42.80428532;3 - UTM10x10 + Elevation;950;V38a
42;336;1;336;R-P28999;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum richterani;;NA;20;2014;-3.506374025;43.07133235;1 - UTM1x1 + Elevation;765;V38a
43;528;1;528;T-P04818;V38;R21;Ruderal;V38;0;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum cantabrici;;NA;10;1984;-4.76775473;43.19746828;3 - UTM10x10 + Elevation;1400;V38a
44;1008;1;1008;U-P16703;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;10;2009;-5.171021446;43.04645238;1 - UTM1x1 + Elevation;1240;V38a
45;335;1;335;R-P28998;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum richterani;;NA;20;2014;-3.645031218;43.17509115;2 - UTM1x1 + Centroid;1200;V38a
46;531;1;531;T-P04821;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum cantabrici;;NA;10;1984;-4.764954781;43.10026214;3 - UTM10x10 + Elevation;1340;V38a
47;534;1;534;T-P04824;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;10;1984;-6.002846057;43.08526369;3 - UTM10x10 + Elevation;1480;V38a
48;527;1;527;T-P04817;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum cantabrici;;NA;10;1984;-4.764516188;43.17050472;3 - UTM10x10 + Elevation;1430;V38a
49;60;1;60;Q-P08760;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;50;1990;-4.498878138;42.87173158;3 - UTM10x10 + Elevation;1000;V38a
50;167;1;167;R-P12765;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Sylibetum mariani;;NA;10;1997;-3.139734232;42.80221172;3 - UTM10x10 + Elevation;1000;V38a
51;349;1;349;S-P11133;V38;V38;Ruderal;V38;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Senecioni duriaei-Chenopodietum boni-henrici;SE;5;12;1989;-4.341871144;42.97093409;2 - UTM1x1 + Centroid;1710;V38a
52;58;1;58;Q-P08756;V38;V38;Ruderal;V38;0;NA;NA;NA;;N;5;350;NA;-4.677118412;42.85304978;3 - UTM10x10 + Elevation;1330;V38a
53;57;1;57;Q-P08755;V38;V38;Ruderal;V38;0;NA;NA;NA;;;NA;70;NA;-4.749295633;42.89519337;3 - UTM10x10 + Elevation;1240;V38a
54;1006;1;1006;U-P15579;V38;V37;Ruderal;V38;0;Artemisietea vulgaris;Carthametalia lanati;Onopordion castellani;Onopordetum acantho-nervosi;;NA;5;1991;-3.918400258;42.94358211;4 - UTM10x10 + Centroid;888;V38a
55;717;1;717;T-P11671;V38;V38;Ruderal;V39;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;20;1988;-5.633247428;42.91697961;4 - UTM10x10 + Centroid;1020;V38a
56;953;1;953;U-P00107;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;N;40;20;2001;-5.240774929;43.07392172;2 - UTM1x1 + Centroid;1515;V38a
57;493;1;493;S-P21800;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Onopordion castellani;Onopordion acanthii;;NA;50;1981;-6.210751669;42.9733659;3 - UTM10x10 + Elevation;1290;V38a
58;56;1;56;Q-P08754;V38;V38;Ruderal;V38;0;NA;NA;NA;;N;5;20;NA;-4.666943542;42.83879034;3 - UTM10x10 + Elevation;1250;V38a
59;265;1;265;R-P24575;V38;V37;Ruderal;V38;0;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;15;2012;-6.553448027;42.27710588;1 - UTM1x1 + Elevation;869;V38a
60;711;1;711;T-P11665;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;25;1988;-5.805924994;42.91558207;3 - UTM10x10 + Elevation;1540;V38a
61;974;1;974;U-P00601;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;SE;2;40;2002;-4.916000901;42.89972784;1 - UTM1x1 + Elevation;1410;V38a
62;962;1;962;U-P00116;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;20;2001;-5.047365295;43.01991752;1 - UTM1x1 + Elevation;1120;V38a
63;714;1;714;T-P11668;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;5;1988;-5.616602709;42.95788807;3 - UTM10x10 + Elevation;1350;V38a
64;713;1;713;T-P11667;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;12;1988;-5.813277885;42.9694278;3 - UTM10x10 + Elevation;1460;V38a
65;979;1;979;U-P00607;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;10;2002;-5.095877856;42.93079304;1 - UTM1x1 + Elevation;1030;V38a
66;61;1;61;Q-P08761;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;40;1990;-4.550416473;42.87644814;3 - UTM10x10 + Elevation;1050;V38a
67;62;1;62;Q-P08762;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;20;1990;-4.543611372;42.89815216;3 - UTM10x10 + Elevation;1070;V38a
68;959;1;959;U-P00113;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;10;2001;-5.152963185;43.02158083;1 - UTM1x1 + Elevation;1560;V38a
69;368;1;368;S-P11156;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;60;1989;-4.485400983;42.92233541;1 - UTM1x1 + Elevation;1080;V38a
70;748;1;748;T-P11882;V38;R;Ruderal;V38;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Senecioni duriaei-Chenopodietum boni-henrici;;NA;20;1988;-5.250462326;43.07012973;3 - UTM10x10 + Elevation;1620;V38a
71;879;1;879;T-P22356;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;200;1988;-5.505504211;42.81810239;3 - UTM10x10 + Elevation;970;V38a
72;981;1;981;U-P00609;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;40;2002;-5.038905037;42.83817203;1 - UTM1x1 + Elevation;1140;V38a
73;956;1;956;U-P00110;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;20;2001;-5.013435233;43.03312621;1 - UTM1x1 + Elevation;1100;V38a
74;960;1;960;U-P00114;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;60;2001;-5.140698815;43.02181098;2 - UTM1x1 + Centroid;1300;V38a
75;361;1;361;S-P11149;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;50;1989;-4.478014555;43.02328609;2 - UTM1x1 + Centroid;1170;V38a
76;839;1;839;T-P15413;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;20;1986;-6.96301988;43.37986208;4 - UTM10x10 + Centroid;1250;V38a
77;902;1;902;T-P23969;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum richterani;;NA;5;1982;-2.490334808;42.95245112;3 - UTM10x10 + Elevation;830;V38a
78;975;1;975;U-P00602;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;20;2002;-5.017966356;42.9466012;1 - UTM1x1 + Elevation;1110;V38a
79;715;1;715;T-P11669;V38;R;Ruderal;V38;0;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;W;1.8;40;1988;-5.640469736;42.88530357;3 - UTM10x10 + Elevation;1140;V38a
80;977;1;977;U-P00604;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;50;2002;-4.934378278;42.93903997;1 - UTM1x1 + Elevation;1170;V38a
81;983;1;983;U-P00611;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Comunidad de Carduus platypus subsp. platypus y Onopordum acanthium;;NA;50;2002;-5.149958132;42.8649553;1 - UTM1x1 + Elevation;970;V38a
82;367;1;367;S-P11155;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;100;1989;-4.451060757;42.92097492;1 - UTM1x1 + Elevation;1140;V38a
83;958;1;958;U-P00112;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;20;2001;-5.023103985;43.10319149;1 - UTM1x1 + Elevation;1280;V38a
84;957;1;957;U-P00111;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;3;2001;-5.018637393;43.04203918;2 - UTM1x1 + Centroid;1160;V38a
85;363;1;363;S-P11151;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;S;2;40;1989;-4.406193952;42.9953756;1 - UTM1x1 + Elevation;1420;V38a
86;366;1;366;S-P11154;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;90;1989;-4.38515655;42.93259749;1 - UTM1x1 + Elevation;1400;V38a
87;365;1;365;S-P11153;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;40;1989;-4.48941339;42.98711883;2 - UTM1x1 + Centroid;1120;V38a
88;364;1;364;S-P11152;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;SW;5;20;1989;-4.491648089;42.97808482;1 - UTM1x1 + Elevation;1110;V38a
89;369;1;369;S-P11157;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;30;1989;-4.385277639;42.93799902;1 - UTM1x1 + Elevation;1540;V38a
90;838;1;838;T-P15409;V38;V33;Ruderal;V38;0;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;30;1986;-6.779899112;42.41392486;3 - UTM10x10 + Elevation;500;V38a
91;841;1;841;T-P15427;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;10;1986;-5.965895598;43.23569538;3 - UTM10x10 + Elevation;1170;V38a
92;917;1;917;T-P35969;V39;R;Ruderal;V39;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Chenopodio boni-henrici-Senecietum durieui;N;36;20;1983;-5.834551268;42.89866834;2 - UTM1x1 + Centroid;1650;V38a
93;63;1;63;Q-P08763;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Comunidad de Cirsium richterianum;;NA;10;1990;-4.528495991;42.84729103;4 - UTM10x10 + Centroid;970;V38a
94;801;1;801;T-P12287;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;10;1988;-6.208583593;42.97882923;3 - UTM10x10 + Elevation;1320;V38a
95;963;1;963;U-P00117;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;12;2001;-5.097649652;43.05502502;1 - UTM1x1 + Elevation;1175;V38a
96;869;1;869;T-P22337;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;200;1988;-5.265788485;43.01940179;3 - UTM10x10 + Elevation;1170;V38a
97;985;1;985;U-P00630;V37;V37;Ruderal;V37;5;Sisymbrietea;Sisymbrietalia sophiae;Sisymbrion officinalis;Sisymbrio officinalis-Hordeetum murini;W;35;12;2002;-5.128715053;42.81672614;1 - UTM1x1 + Elevation;950;V38a
98;370;1;370;S-P11158;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;100;1989;-4.478008438;42.92063011;1 - UTM1x1 + Elevation;1100;V38a
99;800;1;800;T-P12286;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;10;1988;-6.202938141;42.96458091;3 - UTM10x10 + Elevation;1410;V38a
100;982;1;982;U-P00610;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;50;2002;-5.02411277;42.83483261;2 - UTM1x1 + Centroid;1020;V38a
101;972;1;972;U-P00599;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;10;2002;-4.964406642;42.95833895;1 - UTM1x1 + Elevation;1130;V38a
102;883;1;883;T-P22360;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;150;1988;-5.643608303;42.90143927;3 - UTM10x10 + Elevation;1080;V38a
103;806;1;806;T-P12292;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;15;1988;-6.428663491;42.87879954;3 - UTM10x10 + Elevation;900;V38a
104;491;1;491;S-P21798;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Onopordion castellani;Onopordion acanthii;;NA;50;1981;-6.247482993;42.9723286;3 - UTM10x10 + Elevation;1360;V38a
