"SIVIMID","NMDS1","NMDS2","EUNIS","Class","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Sintaxon","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation","Twinspan1","Twinspan2"
"R-P21305",-0.00520342092889583,-0.00101250318747548,"V15",4,321305,135,10857,"29TPH10","29TPH1505",9818,300,"Vilamelle, entre Distriz y Panton","ES","ATL_COAST","N_DUNES",NA,"N",NA,50,"2888b","Linario eleganti-Anthoxanthetum aristati","Romero, M.I.; Amigo, J.","1995","Acerca de la vegetación arvense en Galicia: Las comunidades mesegueras.","Stud. bot. 14:"," V15   ","No forest",-7.595267542,42.49753063,"1 - UTM1x1 + Elevation",300,"Weeds (V15)","Weeds (V15)"
"R-P21306",-0.00384010436921845,8.78497925607482e-05,"V15",4,321306,124,10713,"29TPH31","29TPH3316",9819,500,"Ferreiro","ES","ATL_COAST","N_DUNES",NA,"",0,15,"2888b","Linario eleganti-Anthoxanthetum aristati","Romero, M.I.; Amigo, J.","1995","Acerca de la vegetación arvense en Galicia: Las comunidades mesegueras.","Stud. bot. 14:"," V15   ","No forest",-7.375360467,42.58898722,"1 - UTM1x1 + Elevation",500,"Weeds (V15)","Weeds (V15)"
"R-P22199",-2.20034114037356e-06,0.00270014176988751,"V35",8,322199,122,11409,"29TNG84","29TNG8247",11683,580,"Santa Comba, camino de acceso a fincas al sur de la carretera general, Bande","ES","ATL_COAST","N_DUNES",40,"S",NA,3,"3938","Lolio perennis-Plantaginetum maioris","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V35   ","No forest",-8.001127176,41.97093036,"1 - UTM1x1 + Elevation",580,"Trampled (V35)","Trampled (V35)"
"R-P22201",-0.00041582783103271,0.00246053782201454,"V35",8,322201,110,12250,"29TNG74","29TNG7445",11684,830,"Venceáns, Entrimo","ES","ATL_COAST","N_DUNES",80,"NE",NA,4,"3938","Lolio perennis-Plantaginetum maioris","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V35   ","No forest",-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",830,"Trampled (V35)","Trampled (V35)"
"R-P22204",0.00061772755075146,0.00282393783921876,"V35",8,322204,108,11732,"29TNG84","29TNG8940",11687,875,"Guntumil, Muiños","ES","ATL_COAST","N_DUNES",80,"N",NA,2,"3938","Lolio perennis-Plantaginetum maioris","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V35   ","No forest",-7.91905333,41.90786144,"1 - UTM1x1 + Elevation",875,"Trampled (V35)","Trampled (V35)"
"R-P22236",0.00114502401927466,-0.000302840371703668,"V33",6,322236,122,11368,"29TNG84","29TNG8345",11718,560,"Rañadoiro, Muiños","ES","ATL_COAST","N_DUNES",100,"S",10,4,"8026","Echio rosulati-Silybetum mariani","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V33   ","No forest",-7.995474555,41.96037338,"1 - UTM1x1 + Elevation",560,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22237",0.0017252533980317,0.000731796845667948,"V33",6,322237,122,11894,"29TNG73","29TNG7937",11719,670,"Entre Prencibe y Esperanzo, Lobios","ES","ATL_COAST","N_DUNES",100,"S",NA,20,"8026","Echio rosulati-Silybetum mariani","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V33   ","No forest",-8.04015333,41.8845907,"1 - UTM1x1 + Elevation",670,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22238",0.000670712690082078,-0.000945623409862996,"V38",10,322238,118,11589,"29TNG83","",11720,710,"Escombrera entre Esperanzo y O Puxedo, Lobios","ES","ATL_COAST","N_DUNES",90,"W",NA,5,"8026","Echio rosulati-Silybetum mariani","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V38   ","No forest",-8.025036267,41.90686225,"3 - UTM10x10 + Elevation",710,"Weeds (V15)","Trampled (V35)"
"R-P22239",0.000951958397382823,0.000566278886369087,"V38",10,322239,112,11339,"29TNG84","29TNG8644",11721,810,"Campo da feira, Porqueiros, Muiños","ES","ATL_COAST","N_DUNES",100,"",NA,9,"8026","Echio rosulati-Silybetum mariani","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V38   ","No forest",-7.958154108,41.94578957,"1 - UTM1x1 + Elevation",810,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22240",0.00228461167621628,-0.000303065387737389,"V38",10,322240,107,12161,"29TNG64","29TNG6840",11722,700,"Escombrera entre A Illa y Olelas, Lobios","ES","ATL_COAST","N_DUNES",90,"W",30,5,"8026","Echio rosulati-Silybetum mariani","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V38   ","No forest",-8.174743214,41.91284438,"2 - UTM1x1 + Centroid",700,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22241",0.00301744703621719,-0.00076159441382786,"V39",11,322241,122,11353,"29TNG84","",11723,600,"Entre Barrio y Mugueimes (Muiños, Ourense)","ES","ATL_COAST","N_DUNES",100,"SE",5,20,"2725","Geranio robertiani-Caryolophetum sempervirentis","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V39   ","No forest",-7.985576936,41.95720345,"3 - UTM10x10 + Elevation",600,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22242",0.00568534285253499,-0.000946086330825055,"V39",11,322242,112,11186,"29TNG84","",11724,815,"Porqueiros (Muiños, Ourense)","ES","ATL_COAST","N_DUNES",100,"NW",NA,15,"2725","Geranio robertiani-Caryolophetum sempervirentis","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V39   ","No forest",-7.960557953,41.94568548,"3 - UTM10x10 + Elevation",815,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22243",0.00562163810627926,-0.00118787956442051,"V39",11,322243,122,11257,"29TNG84","29TNG8445",11695,590,"Entre Mugueimes y S. Pedro de Muiños (Muiños, Ourense)","ES","ATL_COAST","N_DUNES",100,"",30,10,"2725","Geranio robertiani-Caryolophetum sempervirentis","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V39   ","No forest",-7.975960117,41.9576217,"1 - UTM1x1 + Elevation",590,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22244",0.00430691665842561,-0.00181117708234186,"V39",11,322244,118,11523,"29TNG84","",11726,680,"Camino a Muiño en Rio Cados (Bande, Ourense)","ES","ATL_COAST","N_DUNES",90,"S",NA,5,"2725","Geranio robertiani-Caryolophetum sempervirentis","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V39   ","No forest",-7.992087464,41.94791673,"3 - UTM10x10 + Elevation",680,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22246",0.00605369983643759,-0.000800656518054988,"V39",11,322246,107,11581,"29TNG84","29TNG8940",11728,875,"Guntumil (Muiños Ourense)","ES","ATL_COAST","N_DUNES",100,"N",NA,15,"2725","Geranio robertiani-Caryolophetum sempervirentis","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V39   ","No forest",-7.921455893,41.90775824,"1 - UTM1x1 + Elevation",875,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22254",-0.00928286637662179,-0.00024494879488529,"V15",4,322254,98,12151,"29TNG75","29TNG7753",11733,1000,"A Fraga, Lobeira","ES","ATL_COAST","N_DUNES",30,"SE",5,60,"2888","Linario eleganti-Anthoxanthetum aristati","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.061560413,42.03309657,"1 - UTM1x1 + Elevation",1000,"Weeds (V15)","Weeds (V15)"
"R-P22255",-0.00158776730405671,-0.000191146859014683,"V15",4,322255,129,11932,"29TNG74","29TNG7342",11734,500,"Terrachan, Entrimo","ES","ATL_COAST","N_DUNES",90,"",NA,80,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.11606147,41.92984124,"1 - UTM1x1 + Elevation",500,"Weeds (V15)","Weeds (V15)"
"R-P22256",-0.00173444320426785,-0.00070537501402889,"V15",4,322256,116,11883,"29TNG74","29TNG7746",11735,480,"Torneiros, Lobios","ES","ATL_COAST","N_DUNES",100,"E",NA,40,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.064703041,41.9663355,"2 - UTM1x1 + Centroid",480,"Weeds (V15)","Weeds (V15)"
"R-P22257",-0.00121849870978396,-0.000473304673138069,"V15",4,322257,132,12406,"29TNG73","29TNG7436",11736,380,"A Devesa, Lobios","ES","ATL_COAST","N_DUNES",90,"W",NA,60,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.10724013,41.87981846,"1 - UTM1x1 + Elevation",380,"Weeds (V15)","Weeds (V15)"
"R-P22258",-0.00132139488665377,-0.000711337928242488,"V37",9,322258,120,12609,"29TNG73","29TNG7535",11737,410,"Nabizal en Vilameá. Lobios","ES","ATL_COAST","N_DUNES",100,"W",NA,30,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V37   ","No forest",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410,"Weeds (V15)","Weeds (V15)"
"R-P22259",-0.00156190500798288,-0.00104520681763724,"V15",4,322259,120,12609,"29TNG73","29TNG7535",11738,412,"Vilameá, Lobios","ES","ATL_COAST","N_DUNES",90,"W",NA,30,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",412,"Weeds (V15)","Weeds (V15)"
"R-P22260",-0.00135045326942038,-0.000387644430057453,"V15",4,322260,134,12223,"29TNG73","",11739,425,"Viñedo en A Calzada, entre Lobios y Vilameá, Lobios","ES","ATL_COAST","N_DUNES",85,"SW",NA,40,"8028a","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.099465518,41.87296248,"3 - UTM10x10 + Elevation",425,"Weeds (V15)","Weeds (V15)"
"R-P22261",-0.000826389857498299,-0.000732827973189492,"V15",4,322261,91,13391,"29TNG83","29TNG8235",11740,400,"Nabizal en Zapateiro, Lobios","ES","ATL_COAST","N_DUNES",90,"E",NA,50,"8028a","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.005130567,41.86653533,"2 - UTM1x1 + Centroid",400,"Weeds (V15)","Weeds (V15)"
"R-P22262",-0.00160180454966389,-0.000724701217236501,"V15",4,322262,91,13391,"29TNG83","29TNG8235",11741,395,"Barbecho y Nabizal Zapateiro, Lobios","ES","ATL_COAST","N_DUNES",90,"E",NA,50,"8028a","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.005130567,41.86653533,"2 - UTM1x1 + Centroid",395,"Weeds (V15)","Weeds (V15)"
"R-P22263",-0.00188578990726726,-0.000651081673070361,"V15",4,322263,124,14475,"29TNG43","29TNG4535",11742,700,"Pazo, Muiños","ES","ATL_COAST","N_DUNES",100,"SW",NA,50,"8028a","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.51023593,41.85933625,"3 - UTM10x10 + Elevation",700,"Weeds (V15)","Weeds (V15)"
"R-P22264",-0.000387292931915945,-0.00259308071742673,"V15",4,322264,132,11880,"29TNG73","29TNG7539",11743,350,"Nabizal en fincas bajo Fondevila, Lobios","ES","ATL_COAST","N_DUNES",90,"NW",NA,70,"8028a","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.085228607,41.90600619,"1 - UTM1x1 + Elevation",350,"Weeds (V15)","Weeds (V15)"
"R-P22265",-0.00120772442605265,-0.000354164620578829,"V15",4,322265,132,11771,"29TNG73","29TNG7539",11744,350,"Ultima finca bajo Fondevila hacia el embalse, Lobios","ES","ATL_COAST","N_DUNES",45,"NW",2,100,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.085371374,41.90780044,"1 - UTM1x1 + Elevation",350,"Weeds (V15)","Weeds (V15)"
"R-P22266",-0.00143291695421583,-0.000531962917373384,"V15",4,322266,130,12557,"29TNG73","29TNG7538",11745,420,"Quintás, Lobios","ES","ATL_COAST","N_DUNES",100,"",NA,50,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.084514966,41.89703488,"1 - UTM1x1 + Elevation",420,"Weeds (V15)","Weeds (V15)"
"R-P22268",-0.00161430538036835,-0.000412801108515155,"V15",4,322268,132,11669,"29TNG74","29TNG7741",11746,450,"Xendive, Lobios","ES","ATL_COAST","N_DUNES",90,"W",NA,60,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.062346234,41.9214247,"1 - UTM1x1 + Elevation",450,"Weeds (V15)","Weeds (V15)"
"R-P22269",-0.00124257557145159,-0.00058196611909419,"V15",4,322269,131,11831,"29TNG74","29TNG7741",11747,450,"Xendive, Lobios","ES","ATL_COAST","N_DUNES",90,"W",NA,80,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.062488437,41.92321902,"1 - UTM1x1 + Elevation",450,"Weeds (V15)","Weeds (V15)"
"R-P22270",-0.00229230358255666,-0.000452565070402665,"V15",4,322270,112,12783,"29TNG83","29TNG8239",11748,850,"Albite, Muiños","ES","ATL_COAST","N_DUNES",70,"S",3,40,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.010201192,41.90211028,"1 - UTM1x1 + Elevation",850,"Weeds (V15)","Weeds (V15)"
"R-P22271",-0.00195327484714534,-0.000579973804015369,"V15",4,322271,122,12334,"29TNG84","29TNG8545",11749,630,"Mugueimes, Muiños","ES","ATL_COAST","N_DUNES",100,"W",5,50,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-7.973276132,41.95413704,"1 - UTM1x1 + Elevation",630,"Weeds (V15)","Weeds (V15)"
"R-P22272",-0.00382650205559297,-0.000817722652191086,"V15",4,322272,122,10379,"29TNG84","",11750,665,"Entre O Barrio y Taboadela, Muiños","ES","ATL_COAST","N_DUNES",30,"S",5,100,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.033090552,41.91731228,"3 - UTM10x10 + Elevation",665,"Weeds (V15)","Weeds (V15)"
"R-P22273",-0.00164476671419291,-0.000358613600627715,"V15",4,322273,107,11581,"29TNG84","29TNG8940",11725,880,"Requiás. Salida hacia Guntumil por el embalse, Muiños","ES","ATL_COAST","N_DUNES",90,"",NA,50,"8028","Chrysantemo segeti-Raphanetum raphanistri","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-7.921455893,41.90775824,"1 - UTM1x1 + Elevation",880,"Weeds (V15)","Weeds (V15)"
"R-P22274",-0.00299895020339503,-0.00042064858933271,"V15",4,322274,110,12124,"29TNG84","29TNG8940",11752,860,"Guntumil, Muiños","ES","ATL_COAST","N_DUNES",70,"W",NA,40,"3328","Lamio amplexicaulis-Veronicetum hederifoliae","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-7.926537639,41.91114109,"1 - UTM1x1 + Elevation",860,"Weeds (V15)","Weeds (V15)"
"R-P22275",-0.00286580361154128,-0.00381237737752255,"V",9,322275,132,11436,"29TNG73","29TNG7539",11753,405,"Zapateiro, Lobios","ES","ATL_COAST","N_DUNES",20,"W",NA,30,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V     ","No forest",-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405,"Weeds (V15)","Weeds (V15)"
"R-P22276",0.000111384482186555,-0.00271200619518449,"V15",4,322276,131,14190,"29TNG73","29TNG7036",11754,400,"Compostela, Lobios","ES","ATL_COAST","N_DUNES",40,"NW",NA,50,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.15045287,41.87788344,"1 - UTM1x1 + Elevation",400,"Weeds (V15)","Weeds (V15)"
"R-P22277",-0.000391987384477965,-0.00404378413722721,"V",9,322277,133,13318,"29TNG73","29TNG7036",11755,400,"Compostela, Lobios","ES","ATL_COAST","N_DUNES",40,"NE",NA,40,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V     ","No forest",-8.148196657,41.87978546,"1 - UTM1x1 + Elevation",400,"Weeds (V15)","Weeds (V15)"
"R-P22278",-0.00220672461834416,-0.00204324383164837,"V",4,322278,134,11636,"29TNG73","29TNG7539",11756,425,"Fondevila, Lobios","ES","ATL_COAST","N_DUNES",35,"W",NA,80,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V     ","No forest",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",425,"Weeds (V15)","Weeds (V15)"
"R-P22279",-0.00169249300461197,-0.00243947390206402,"V15",4,322279,132,12105,"29TNG73","29TNG7639",11757,420,"Lobios","ES","ATL_COAST","N_DUNES",60,"W",NA,50,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.077737788,41.90273734,"1 - UTM1x1 + Elevation",420,"Weeds (V15)","Weeds (V15)"
"R-P22280",-0.000214740924660213,-0.00340260627516827,"V37",9,322280,122,11594,"29TNG84","29TNG8247",11758,560,"Santa Comba, Bande","ES","ATL_COAST","N_DUNES",40,"S",3,100,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V37   ","No forest",-8.003531808,41.97082532,"1 - UTM1x1 + Elevation",560,"Weeds (V15)","Weeds (V15)"
"R-P22281",-0.000899668290814202,-0.0029589689477476,"V15",4,322281,110,12250,"29TNG74","29TNG7445",11759,840,"Venceáns, Entrimo","ES","ATL_COAST","N_DUNES",50,"NE",NA,40,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",840,"Weeds (V15)","Weeds (V15)"
"R-P22282",-0.00178412768829581,-0.00255481501785888,"V34",7,322282,128,12217,"29TNG74","29TNG7342",11760,480,"Terrachán, Entr;mo","ES","ATL_COAST","N_DUNES",70,"SW",NA,40,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V34   ","No forest",-8.113658797,41.92994856,"1 - UTM1x1 + Elevation",480,"Weeds (V15)","Weeds (V15)"
"R-P22284",-0.00123366703662562,-0.00411829612176378,"V15",4,322284,120,12609,"29TNG73","29TNG7535",11761,410,"Vilameá, Lobios","ES","ATL_COAST","N_DUNES",50,"W",NA,80,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410,"Weeds (V15)","Weeds (V15)"
"R-P22285",-0.00228872740057602,-0.00360425185591556,"V15",4,322285,124,12759,"29TNG73","29TNG7535",11762,640,"Vilameá, Lobios","ES","ATL_COAST","N_DUNES",20,"NW",3,100,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-8.093950157,41.86420491,"1 - UTM1x1 + Elevation",640,"Weeds (V15)","Weeds (V15)"
"R-P22286",-0.00156948477678489,-0.00401868549129472,"V37",9,322286,120,11727,"29TNG84","29TNG8344",11763,600,"Cados, Muiños","ES","ATL_COAST","N_DUNES",70,"SW",NA,100,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V37   ","No forest",-7.994772141,41.95140092,"1 - UTM1x1 + Elevation",600,"Weeds (V15)","Weeds (V15)"
"R-P22287",-0.00137936174935345,-0.001985355174206,"V37",9,322287,122,11257,"29TNG84","29TNG8445",11764,625,"Martedón, Mugueimes, Muiños","ES","ATL_COAST","N_DUNES",30,"SW",NA,70,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V37   ","No forest",-7.976100077,41.95941625,"1 - UTM1x1 + Elevation",625,"Weeds (V15)","Weeds (V15)"
"R-P22288",-0.00157580780881862,-0.00249508414100371,"V15",4,322288,120,11563,"29TNG84","29TNG8545",11765,900,"Mugueimes, Muiños","ES","ATL_COAST","N_DUNES",35,"S",NA,50,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-7.968607623,41.95624458,"2 - UTM1x1 + Centroid",900,"Weeds (V15)","Weeds (V15)"
"R-P22289",-0.00289298250923316,-0.00362225903008699,"V15",4,322289,111,11484,"29TNG84","29TNG8940",11766,860,"Guntumil, Muiños","ES","ATL_COAST","N_DUNES",30,"W",NA,50,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-7.917064959,41.91334875,"1 - UTM1x1 + Elevation",860,"Weeds (V15)","Weeds (V15)"
"R-P22290",-0.00169882760761827,-0.00280889738231544,"V15",4,322290,109,11672,"29TNG84","29TNG8940",11767,865,"Guntumil, Muiños","ES","ATL_COAST","N_DUNES",40,"W",NA,50,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-7.919191453,41.90965615,"1 - UTM1x1 + Elevation",865,"Weeds (V15)","Weeds (V15)"
"R-P22291",0.000119772091542358,-0.00292347767397019,"V15",4,322291,107,11337,"29TNG84","29TNG8843",11768,720,"Maus de Salas, Muiños","ES","ATL_COAST","N_DUNES",30,"S",NA,100,"748","Lamio hybridi-Echinochloetum crus-gallii","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V15   ","No forest",-7.933282832,41.93785441,"2 - UTM1x1 + Centroid",720,"Weeds (V15)","Weeds (V15)"
"R-P22293",0.00206629836551297,0.000799818151860529,"V37",9,322293,134,11636,"29TNG73","29TNG7539",11769,390,"Fondevila, Lobios","ES","ATL_COAST","N_DUNES",100,"S",NA,2,"753","Sisymbrio officinalis-Hordeetum murini","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V37   ","No forest",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",390,"Mesic ruderals (V39)","Mesic ruderals (V39)"
"R-P22294",0.00162839985806668,0.000682832349440692,"V38",10,322294,134,11636,"29TNG73","29TNG7539",11770,392,"Fondevila, Lobios","ES","ATL_COAST","N_DUNES",100,"S",5,2,"753","Sisymbrio officinalis-Hordeetum murini","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V38   ","No forest",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",392,"Xeric ruderals (V38)","Mesic ruderals (V39)"
"R-P22295",0.00117560740840809,0.00122070130378609,"V32",5,322295,132,11436,"29TNG73","29TNG7539",11771,405,"Fondevila, Lobios","ES","ATL_COAST","N_DUNES",70,"",NA,3,"753","Sisymbrio officinalis-Hordeetum murini","Pulgar, I.","1999","La vegetación de la Baixa Limia y sierras del entorno.","Tesis doctoral. Universidade de Santiago de Compostela."," V32   ","No forest",-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405,"Trampled (V35)","Mesic ruderals (V39)"
