SIVIMID,Revised.sintaxon
S-P20349,Epilobion angustifolii
S-P20354,Epilobion angustifolii
S-P20428,Epilobion angustifolii
S-P21342,Epilobion angustifolii
S-P21343,Epilobion angustifolii
S-P21345,Epilobion angustifolii
S-P24241,Epilobion angustifolii
S-P24683,Epilobion angustifolii
S-P24686,Epilobion angustifolii
S-P25006,Epilobion angustifolii
S-P25007,Epilobion angustifolii
S-P25008,Epilobion angustifolii
S-P25011,Epilobion angustifolii
S-P25012,Epilobion angustifolii
S-P25033,Epilobion angustifolii
S-P25035,Epilobion angustifolii
S-P25038,Epilobion angustifolii
S-P25044,Epilobion angustifolii
S-P25045,Epilobion angustifolii
S-P25048,Epilobion angustifolii
S-P25054,Epilobion angustifolii
S-P25055,Epilobion angustifolii
S-P25064,Epilobion angustifolii
S-P25112,Epilobion angustifolii
S-P25131,Epilobion angustifolii
S-P25154,Epilobion angustifolii
S-P25156,Epilobion angustifolii
S-P25158,Epilobion angustifolii
S-P25159,Epilobion angustifolii
S-P25160,Epilobion angustifolii
S-P25161,Epilobion angustifolii
S-P25162,Epilobion angustifolii
S-P25163,Epilobion angustifolii
S-P25165,Epilobion angustifolii
S-P25166,Epilobion angustifolii
S-P25167,Epilobion angustifolii
S-P25258,Epilobion angustifolii
T-P02640,Epilobion angustifolii
T-P02654,Epilobion angustifolii
T-P02655,Epilobion angustifolii
T-P02657,Epilobion angustifolii
T-P02658,Epilobion angustifolii
T-P02659,Epilobion angustifolii
T-P02660,Epilobion angustifolii
T-P03115,Epilobion angustifolii
T-P04829,Epilobion angustifolii
T-P04832,Epilobion angustifolii
T-P05043,Epilobion angustifolii
T-P05049,Epilobion angustifolii
T-P05074,Epilobion angustifolii
T-P05087,Epilobion angustifolii
T-P05088,Epilobion angustifolii
T-P05089,Epilobion angustifolii
T-P05090,Epilobion angustifolii
T-P05190,Epilobion angustifolii
T-P05246,Epilobion angustifolii
T-P05323,Epilobion angustifolii
T-P05324,Epilobion angustifolii
T-P05334,Epilobion angustifolii
T-P06540,Epilobion angustifolii
T-P06632,Epilobion angustifolii
T-P06635,Epilobion angustifolii
T-P06636,Epilobion angustifolii
T-P06637,Epilobion angustifolii
T-P06638,Epilobion angustifolii
T-P06934,Epilobion angustifolii
T-P07706,Epilobion angustifolii
T-P07707,Epilobion angustifolii
T-P07708,Epilobion angustifolii
T-P07710,Epilobion angustifolii
T-P07722,Epilobion angustifolii
T-P07775,Epilobion angustifolii
T-P07777,Epilobion angustifolii
T-P07779,Epilobion angustifolii
T-P07782,Epilobion angustifolii
T-P07783,Epilobion angustifolii
T-P07784,Epilobion angustifolii
T-P07787,Epilobion angustifolii
T-P07788,Epilobion angustifolii
T-P07791,Epilobion angustifolii
T-P07792,Epilobion angustifolii
T-P07793,Epilobion angustifolii
T-P07794,Epilobion angustifolii
T-P07795,Epilobion angustifolii
T-P07796,Epilobion angustifolii
T-P07797,Epilobion angustifolii
T-P07798,Epilobion angustifolii
T-P07799,Epilobion angustifolii
T-P07801,Epilobion angustifolii
T-P07803,Epilobion angustifolii
T-P07804,Epilobion angustifolii
T-P07806,Epilobion angustifolii
T-P07808,Epilobion angustifolii
T-P07809,Epilobion angustifolii
T-P07811,Epilobion angustifolii
T-P07812,Epilobion angustifolii
T-P07813,Epilobion angustifolii
T-P07814,Epilobion angustifolii
T-P07816,Epilobion angustifolii
T-P07817,Epilobion angustifolii
T-P07818,Epilobion angustifolii
T-P07819,Epilobion angustifolii
T-P07820,Epilobion angustifolii
T-P07824,Epilobion angustifolii
T-P07830,Epilobion angustifolii
T-P07831,Epilobion angustifolii
T-P07833,Epilobion angustifolii
T-P07834,Epilobion angustifolii
T-P07835,Epilobion angustifolii
T-P07836,Epilobion angustifolii
T-P07862,Epilobion angustifolii
T-P07890,Epilobion angustifolii
T-P07907,Epilobion angustifolii
T-P07908,Epilobion angustifolii
T-P07911,Epilobion angustifolii
T-P07913,Epilobion angustifolii
T-P07914,Epilobion angustifolii
T-P07915,Epilobion angustifolii
T-P07916,Epilobion angustifolii
T-P07920,Epilobion angustifolii
T-P07921,Epilobion angustifolii
T-P07923,Epilobion angustifolii
T-P07957,Epilobion angustifolii
T-P08140,Epilobion angustifolii
T-P08141,Epilobion angustifolii
T-P11484,Epilobion angustifolii
T-P11495,Epilobion angustifolii
T-P11498,Epilobion angustifolii
T-P11616,Epilobion angustifolii
T-P11618,Epilobion angustifolii
T-P11619,Epilobion angustifolii
T-P11620,Epilobion angustifolii
T-P11621,Epilobion angustifolii
T-P11626,Epilobion angustifolii
T-P11955,Epilobion angustifolii
T-P11956,Epilobion angustifolii
T-P11957,Epilobion angustifolii
T-P11958,Epilobion angustifolii
T-P11959,Epilobion angustifolii
T-P11960,Epilobion angustifolii
T-P11961,Epilobion angustifolii
T-P12259,Epilobion angustifolii
T-P12263,Epilobion angustifolii
T-P12266,Epilobion angustifolii
T-P12284,Epilobion angustifolii
T-P12285,Epilobion angustifolii
T-P13051,Epilobion angustifolii
T-P13052,Epilobion angustifolii
T-P13053,Epilobion angustifolii
T-P13054,Epilobion angustifolii
T-P13056,Epilobion angustifolii
T-P13080,Epilobion angustifolii
T-P13082,Epilobion angustifolii
T-P13083,Epilobion angustifolii
T-P13084,Epilobion angustifolii
T-P13085,Epilobion angustifolii
T-P13086,Epilobion angustifolii
T-P13087,Epilobion angustifolii
T-P13088,Epilobion angustifolii
T-P13089,Epilobion angustifolii
T-P13090,Epilobion angustifolii
T-P13091,Epilobion angustifolii
T-P13107,Epilobion angustifolii
T-P13195,Epilobion angustifolii
T-P13212,Epilobion angustifolii
T-P13391,Epilobion angustifolii
T-P13445,Epilobion angustifolii
T-P13459,Epilobion angustifolii
T-P17233,Epilobion angustifolii
T-P17234,Epilobion angustifolii
T-P17235,Epilobion angustifolii
T-P17236,Epilobion angustifolii
T-P17237,Epilobion angustifolii
T-P17238,Epilobion angustifolii
T-P17240,Epilobion angustifolii
T-P17242,Epilobion angustifolii
T-P18070,Epilobion angustifolii
T-P18090,Epilobion angustifolii
T-P18091,Epilobion angustifolii
T-P18092,Epilobion angustifolii
