"SIVIMID","Revised.sintaxon"
"S-P15097","Spergulo arvensis-Erodion cicutariae"
"S-P15098","Spergulo arvensis-Erodion cicutariae"
"S-P15099","Spergulo arvensis-Erodion cicutariae"
"S-P15100","Spergulo arvensis-Erodion cicutariae"
"S-P15101","Spergulo arvensis-Erodion cicutariae"
"S-P15102","Spergulo arvensis-Erodion cicutariae"
"S-P15103","Spergulo arvensis-Erodion cicutariae"
"S-P15104","Spergulo arvensis-Erodion cicutariae"
"S-P15105","Spergulo arvensis-Erodion cicutariae"
"S-P15106","Spergulo arvensis-Erodion cicutariae"
"S-P15107","Spergulo arvensis-Erodion cicutariae"
"S-P15108","Spergulo arvensis-Erodion cicutariae"
"S-P15109","Spergulo arvensis-Erodion cicutariae"
"S-P15110","Spergulo arvensis-Erodion cicutariae"
"S-P15111","Spergulo arvensis-Erodion cicutariae"
"S-P15112","Spergulo arvensis-Erodion cicutariae"
"S-P15113","Spergulo arvensis-Erodion cicutariae"
"S-P15114","Spergulo arvensis-Erodion cicutariae"
"S-P15115","Spergulo arvensis-Erodion cicutariae"
"S-P15127","Spergulo arvensis-Erodion cicutariae"
"S-P15128","Spergulo arvensis-Erodion cicutariae"
"S-P15129","Spergulo arvensis-Erodion cicutariae"
"S-P15130","Spergulo arvensis-Erodion cicutariae"
"S-P18293","Spergulo arvensis-Erodion cicutariae"
"S-P18297","Spergulo arvensis-Erodion cicutariae"
"S-P18298","Spergulo arvensis-Erodion cicutariae"
"S-P18299","Spergulo arvensis-Erodion cicutariae"
"S-P18300","Spergulo arvensis-Erodion cicutariae"
"S-P18301","Spergulo arvensis-Erodion cicutariae"
"S-P18302","Spergulo arvensis-Erodion cicutariae"
"S-P18303","Spergulo arvensis-Erodion cicutariae"
"S-P18304","Spergulo arvensis-Erodion cicutariae"
"S-P18305","Spergulo arvensis-Erodion cicutariae"
"S-P18306","Spergulo arvensis-Erodion cicutariae"
"S-P19638","Spergulo arvensis-Erodion cicutariae"
"S-P19639","Spergulo arvensis-Erodion cicutariae"
"S-P19640","Scleranthion annui"
"S-P19641","Scleranthion annui"
"S-P19642","Scleranthion annui"
"S-P19643","Spergulo arvensis-Erodion cicutariae"
"S-P19644","Spergulo arvensis-Erodion cicutariae"
"S-P19648","Scleranthion annui"
"S-P20230","Spergulo arvensis-Erodion cicutariae"
"S-P20358","Spergulo arvensis-Erodion cicutariae"
"S-P20359","Spergulo arvensis-Erodion cicutariae"
"S-P20360","Spergulo arvensis-Erodion cicutariae"
"S-P20361","Spergulo arvensis-Erodion cicutariae"
"S-P20362","Spergulo arvensis-Erodion cicutariae"
"S-P20363","Spergulo arvensis-Erodion cicutariae"
"S-P20365","Spergulo arvensis-Erodion cicutariae"
"S-P20366","Spergulo arvensis-Erodion cicutariae"
"S-P20367","Spergulo arvensis-Erodion cicutariae"
"S-P20368","Spergulo arvensis-Erodion cicutariae"
"S-P20369","Spergulo arvensis-Erodion cicutariae"
"S-P20370","Spergulo arvensis-Erodion cicutariae"
"S-P20371","Spergulo arvensis-Erodion cicutariae"
"S-P20372","Spergulo arvensis-Erodion cicutariae"
"S-P20373","Spergulo arvensis-Erodion cicutariae"
"S-P20374","Spergulo arvensis-Erodion cicutariae"
"S-P20375","Spergulo arvensis-Erodion cicutariae"
"S-P20376","Spergulo arvensis-Erodion cicutariae"
"S-P20377","Spergulo arvensis-Erodion cicutariae"
"S-P20378","Spergulo arvensis-Erodion cicutariae"
"S-P20379","Spergulo arvensis-Erodion cicutariae"
"S-P20380","Spergulo arvensis-Erodion cicutariae"
"S-P20381","Spergulo arvensis-Erodion cicutariae"
"S-P20382","Spergulo arvensis-Erodion cicutariae"
"S-P20383","Spergulo arvensis-Erodion cicutariae"
"S-P20384","Spergulo arvensis-Erodion cicutariae"
"S-P20385","Spergulo arvensis-Erodion cicutariae"
"S-P20386","Spergulo arvensis-Erodion cicutariae"
"S-P20387","Spergulo arvensis-Erodion cicutariae"
"S-P20388","Spergulo arvensis-Erodion cicutariae"
"S-P20389","Spergulo arvensis-Erodion cicutariae"
"S-P20390","Spergulo arvensis-Erodion cicutariae"
"S-P20391","Spergulo arvensis-Erodion cicutariae"
"S-P20392","Spergulo arvensis-Erodion cicutariae"
"S-P20393","Spergulo arvensis-Erodion cicutariae"
"S-P20394","Spergulo arvensis-Erodion cicutariae"
"S-P20395","Spergulo arvensis-Erodion cicutariae"
"S-P20396","Spergulo arvensis-Erodion cicutariae"
"S-P20397","Spergulo arvensis-Erodion cicutariae"
"S-P20398","Spergulo arvensis-Erodion cicutariae"
"S-P20399","Spergulo arvensis-Erodion cicutariae"
"S-P20400","Spergulo arvensis-Erodion cicutariae"
"S-P20401","Spergulo arvensis-Erodion cicutariae"
"S-P20402","Spergulo arvensis-Erodion cicutariae"
"S-P20403","Spergulo arvensis-Erodion cicutariae"
"S-P20404","Spergulo arvensis-Erodion cicutariae"
"S-P20405","Spergulo arvensis-Erodion cicutariae"
"S-P20425","Spergulo arvensis-Erodion cicutariae"
"S-P20432","Spergulo arvensis-Erodion cicutariae"
"S-P20452","Spergulo arvensis-Erodion cicutariae"
"S-P20454","Spergulo arvensis-Erodion cicutariae"
"S-P20456","Spergulo arvensis-Erodion cicutariae"
"S-P20458","Spergulo arvensis-Erodion cicutariae"
"S-P21793","Spergulo arvensis-Erodion cicutariae"
"S-P21794","Spergulo arvensis-Erodion cicutariae"
"S-P21795","Spergulo arvensis-Erodion cicutariae"
"S-P21796","Spergulo arvensis-Erodion cicutariae"
"S-P21797","Spergulo arvensis-Erodion cicutariae"
"S-P31488","Spergulo arvensis-Erodion cicutariae"
"T-P01412","Spergulo arvensis-Erodion cicutariae"
"T-P01418","Spergulo arvensis-Erodion cicutariae"
"T-P02590","Scleranthion annui"
"T-P02598","Spergulo arvensis-Erodion cicutariae"
"T-P03082","Spergulo arvensis-Erodion cicutariae"
"T-P03083","Spergulo arvensis-Erodion cicutariae"
"T-P03084","Spergulo arvensis-Erodion cicutariae"
"T-P03085","Spergulo arvensis-Erodion cicutariae"
"T-P03086","Spergulo arvensis-Erodion cicutariae"
"T-P03087","Spergulo arvensis-Erodion cicutariae"
"T-P03468","Scleranthion annui"
"T-P03469","Scleranthion annui"
"T-P03470","Scleranthion annui"
"T-P03471","Scleranthion annui"
"T-P03472","Scleranthion annui"
"T-P03473","Scleranthion annui"
"T-P03479","Scleranthion annui"
"T-P03480","Scleranthion annui"
"T-P03482","Scleranthion annui"
"T-P03492","Scleranthion annui"
"T-P03500","Scleranthion annui"
"T-P03501","Spergulo arvensis-Erodion cicutariae"
"T-P03503","Scleranthion annui"
"T-P03512","Scleranthion annui"
"T-P03513","Spergulo arvensis-Erodion cicutariae"
"T-P03533","Scleranthion annui"
"T-P03856","Spergulo arvensis-Erodion cicutariae"
"T-P03872","Spergulo arvensis-Erodion cicutariae"
"T-P03876","Spergulo arvensis-Erodion cicutariae"
"T-P03877","Spergulo arvensis-Erodion cicutariae"
"T-P03896","Spergulo arvensis-Erodion cicutariae"
"T-P03897","Spergulo arvensis-Erodion cicutariae"
"T-P05142","Spergulo arvensis-Erodion cicutariae"
"T-P05143","Spergulo arvensis-Erodion cicutariae"
"T-P05144","Spergulo arvensis-Erodion cicutariae"
"T-P05145","Spergulo arvensis-Erodion cicutariae"
"T-P05146","Spergulo arvensis-Erodion cicutariae"
"T-P05147","Spergulo arvensis-Erodion cicutariae"
"T-P05148","Spergulo arvensis-Erodion cicutariae"
"T-P05149","Spergulo arvensis-Erodion cicutariae"
"T-P05150","Spergulo arvensis-Erodion cicutariae"
"T-P05151","Spergulo arvensis-Erodion cicutariae"
"T-P05152","Spergulo arvensis-Erodion cicutariae"
"T-P05153","Spergulo arvensis-Erodion cicutariae"
"T-P05154","Spergulo arvensis-Erodion cicutariae"
"T-P05155","Spergulo arvensis-Erodion cicutariae"
"T-P05156","Spergulo arvensis-Erodion cicutariae"
"T-P05157","Spergulo arvensis-Erodion cicutariae"
"T-P05158","Spergulo arvensis-Erodion cicutariae"
"T-P05159","Spergulo arvensis-Erodion cicutariae"
"T-P05160","Spergulo arvensis-Erodion cicutariae"
"T-P05161","Spergulo arvensis-Erodion cicutariae"
"T-P05162","Spergulo arvensis-Erodion cicutariae"
"T-P05163","Spergulo arvensis-Erodion cicutariae"
"T-P05164","Spergulo arvensis-Erodion cicutariae"
"T-P05165","Spergulo arvensis-Erodion cicutariae"
"T-P05166","Spergulo arvensis-Erodion cicutariae"
"T-P05167","Spergulo arvensis-Erodion cicutariae"
"T-P05168","Spergulo arvensis-Erodion cicutariae"
"T-P05169","Spergulo arvensis-Erodion cicutariae"
"T-P05170","Spergulo arvensis-Erodion cicutariae"
"T-P05171","Spergulo arvensis-Erodion cicutariae"
"T-P05172","Spergulo arvensis-Erodion cicutariae"
"T-P05173","Spergulo arvensis-Erodion cicutariae"
"T-P05174","Spergulo arvensis-Erodion cicutariae"
"T-P07935","Spergulo arvensis-Erodion cicutariae"
"T-P07937","Spergulo arvensis-Erodion cicutariae"
"T-P07943","Spergulo arvensis-Erodion cicutariae"
"T-P07949","Spergulo arvensis-Erodion cicutariae"
"T-P07953","Spergulo arvensis-Erodion cicutariae"
"T-P07954","Spergulo arvensis-Erodion cicutariae"
"T-P07961","Spergulo arvensis-Erodion cicutariae"
"T-P10738","Spergulo arvensis-Erodion cicutariae"
"T-P10739","Spergulo arvensis-Erodion cicutariae"
"T-P12049","Spergulo arvensis-Erodion cicutariae"
"T-P12050","Scleranthion annui"
"T-P12054","Scleranthion annui"
"T-P12074","Spergulo arvensis-Erodion cicutariae"
"T-P12077","Scleranthion annui"
"T-P12078","Scleranthion annui"
"T-P12081","Spergulo arvensis-Erodion cicutariae"
"T-P12082","Spergulo arvensis-Erodion cicutariae"
"T-P12084","Spergulo arvensis-Erodion cicutariae"
"T-P12085","Spergulo arvensis-Erodion cicutariae"
"T-P12086","Spergulo arvensis-Erodion cicutariae"
"T-P12087","Scleranthion annui"
"T-P12088","Scleranthion annui"
"T-P12090","Scleranthion annui"
"T-P12092","Scleranthion annui"
"T-P12093","Scleranthion annui"
"T-P12095","Scleranthion annui"
"T-P12096","Scleranthion annui"
"T-P12097","Scleranthion annui"
"T-P12098","Scleranthion annui"
"T-P12099","Scleranthion annui"
"T-P12100","Scleranthion annui"
"T-P12101","Scleranthion annui"
"T-P12102","Scleranthion annui"
"T-P12103","Scleranthion annui"
"T-P12104","Scleranthion annui"
"T-P12108","Scleranthion annui"
"T-P12293","Spergulo arvensis-Erodion cicutariae"
"T-P12294","Spergulo arvensis-Erodion cicutariae"
"T-P12295","Spergulo arvensis-Erodion cicutariae"
"T-P12298","Spergulo arvensis-Erodion cicutariae"
"T-P12299","Spergulo arvensis-Erodion cicutariae"
"T-P13207","Spergulo arvensis-Erodion cicutariae"
"T-P13216","Spergulo arvensis-Erodion cicutariae"
"T-P13249","Spergulo arvensis-Erodion cicutariae"
"T-P15406","Scleranthion annui"
"T-P15408","Scleranthion annui"
"T-P22429","Spergulo arvensis-Erodion cicutariae"
"T-P22430","Spergulo arvensis-Erodion cicutariae"
"T-P22431","Spergulo arvensis-Erodion cicutariae"
"T-P22432","Spergulo arvensis-Erodion cicutariae"
"T-P22433","Spergulo arvensis-Erodion cicutariae"
"T-P22434","Spergulo arvensis-Erodion cicutariae"
