"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Carex acutiformis Ehrh.",".","Cyperaceae",".","Hemicryptophyte","Carex acutiformis",".","Carex","acutiformis",NA,NA,"Ehrh.",".",".",".",".",".",NA,NA,NA,NA,"Native",476,"12c. Magnocaricetalia elatae","Carex acutiformis","Carex acutiformis Ehrh.","Carex","","acutiformis","","","Ehrh.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,7,5,6,5
"+","Carex asturica Boiss.",".","Cyperaceae",".","Hemicryptophyte","Carex asturica",".","Carex","asturica",NA,NA,"Boiss.",".",".",".",".",".",NA,NA,NA,NA,"Native",477,"61.4. Daboecion cantabricae","Carex asturica","Carex asturica Boiss.","Carex","","asturica","","","Boiss.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,7,3,4,5
"+","Carex atrata L.",".","Cyperaceae",".","Hemicryptophyte","Carex atrata",".","Carex","atrata",NA,NA,"L.",".",".",".",".","AtP","y",NA,NA,NA,"Native",478,"44. Carici rupestris-Kobresietea myosuroidis","Carex atrata","Carex atrata L.","Carex","","atrata","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Carex binervis Sm.",".","Cyperaceae",".","Hemicryptophyte","Carex binervis",".","Carex","binervis",NA,NA,"Sm.",".",".",".",".",".",NA,NA,NA,NA,"Native",479,"59.3. Juncion acutiflori","Carex binervis","Carex binervis Sm.","Carex","","binervis","","","Sm.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,3,4,5
"+","Carex brevicollis DC.",".","Cyperaceae",".","Hemicryptophyte","Carex brevicollis",".","Carex","brevicollis",NA,NA,"DC.",".",".",".",".",".",NA,NA,NA,NA,"Native",480,"52a. Ononidetalia striatae","Carex brevicollis","Carex brevicollis DC.","Carex","","brevicollis","","","DC.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,7,4,6,5
"+","Carex canescens L.",".","Cyperaceae",".","Hemicryptophyte","Carex canescens",".","Carex","canescens",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",481,"14.2. Caricion nigrae","Carex canescens","Carex canescens L.","Carex","","canescens","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,5,7,3,4,5
"+","Carex capillaris L.",".","Cyperaceae",".","Hemicryptophyte","Carex capillaris",".","Carex","capillaris",NA,NA,"L.",".",".",".",".","AtP","y",NA,NA,NA,"Native",482,"44. Carici rupestris-Kobresietea myosuroidis","Carex capillaris","Carex capillaris L.","Carex","","capillaris","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",5,6,8,3,7,3
"+","Carex caryophyllea Latourr.",".","Cyperaceae",".","Hemicryptophyte","Carex caryophyllea",".","Carex","caryophyllea",NA,NA,"Latourr.",".",".",".",".",".",NA,NA,NA,NA,"Native",483,"51. Festuco valesiacae-Brometea erecti","Carex caryophyllea",NA,"Carex","","caryophyllea","","","Latourr.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,7,4,5,5
"+","Carex caudata (Kük.) Pereda & Laínz",".","Cyperaceae",".","Hemicryptophyte","Carex caudata",".","Carex","caudata",NA,NA,"(Kük.) Pereda & Laínz",".",".",".",".","AtP","y",NA,NA,NA,"Native",484,"76.. Scillo liliohyacinthi-Fagenion sylvaticae","Carex caudata","Carex caudata (Kük.) Pereda & Laínz","Carex","","caudata","","","(Kük.) Pereda & Laínz","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,5,4,6,5
"+","Carex cuprina (Sándor ex Heuff.) Nendtv. ex A.Kern.",".","Cyperaceae",".","Hemicryptophyte","Carex cuprina",".","Carex","cuprina",NA,NA,"(Sándor ex Heuff.) Nendtv. ex A.Kern.",".",".",".",".",".",NA,NA,NA,NA,"Native",485,"59.15. Potentillion anserinae","Carex cuprina",NA,"Carex","","cuprina","","","(Sándor ex Heuff.) Nendtv. ex A.Kern.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,6,6,6
"+","Carex davalliana Sm.",".","Cyperaceae",".","Hemicryptophyte","Carex davalliana",".","Carex","davalliana",NA,NA,"Sm.",".",".",".",".",".",NA,NA,NA,NA,"Native",486,"14.4. Caricion davallianae","Carex davalliana","Carex davalliana Sm.","Carex","","davalliana","","","Sm.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,5,7,3,6,5
"+","Carex depauperata Curtis ex Stokes",".","Cyperaceae",".","Hemicryptophyte","Carex depauperata",".","Carex","depauperata",NA,NA,"Curtis ex Stokes",".",".",".",".",".",NA,NA,NA,NA,"Native",488,"76. Querco-Fagetea sylvaticae","Carex depauperata","Carex depauperata Curtis ex Stokes","Carex","","depauperata","","","Curtis ex Stokes","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,4,5,5,6,6
"+","Carex depressa subsp. depressa Link",".","Cyperaceae",".","Hemicryptophyte","Carex depressa subsp. depressa",".","Carex","depressa","subsp.","depressa","Link",".",".",".",".",".",NA,NA,NA,"CA: Borré involuntariamente comentario de Luís: efectivamente la subsp.basilaris es más termofila pero es posible qeu en zonas supratempladas más cálidas esté la subsp. depressa - no engo datos concretos. DUDA","Native",489,"75a. Quercetalia ilicis","Carex depressa","Carex depressa Link","Carex","","depressa","","","Link","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,7,3,4,5
"+","Carex depressa subsp. basilaris (Jord.) Cif. & Giacom.",".","Cyperaceae",".","Hemicryptophyte","Carex depressa subsp. basilaris",".","Carex","depressa","subsp.","basilaris","(Jord.) Cif. & Giacom.",".",".",".",".",".",NA,NA,NA,NA,"Native",490,"76b. Quercetalia roboris","Carex depressa","Carex depressa subsp. basilaris (Jord.) Cif. & Giacom.","Carex","","depressa","subsp.","basilaris","(Jord.) Cif. & Giacom.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,7,3,4,5
"+","Carex diandra Schrank",".","Cyperaceae",".","Hemicryptophyte","Carex diandra",".","Carex","diandra",NA,NA,"Schrank","VU",".",".",".","AtP","y",NA,NA,NA,"Native",491,"14a. Scheuchzerietalia palustris","Carex diandra","Carex diandra Schrank","Carex","","diandra","","","Schrank","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Carex distachya Desf.",".","Cyperaceae",".","Hemicryptophyte","Carex distachya",".","Carex","distachya",NA,NA,"Desf.",".",".",".",".",".",NA,NA,NA,NA,"Native",492,"75a. Quercetalia ilicis","Carex distachya","Carex distachya Desf.","Carex","","distachya","","","Desf.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",5,4,7,4,5,6
"+","Carex distans L.",".","Cyperaceae",".","Hemicryptophyte","Carex distans",".","Carex","distans",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",493,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Carex distans","Carex distans L.","Carex","","distans","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,4,5,5
"+","Carex disticha Huds.",".","Cyperaceae",".","Hemicryptophyte","Carex disticha",".","Carex","disticha",NA,NA,"Huds.",".",".",".",".",".",NA,NA,NA,NA,"Native",494,"12.4. Magnocaricion elatae","Carex disticha","Carex disticha Huds.","Carex","","disticha","","","Huds.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,5,7,4,6,5
"+","Carex divulsa subsp. divulsa Stokes",".","Cyperaceae",".","Hemicryptophyte","Carex divulsa subsp. divulsa",".","Carex","divulsa","subsp.","divulsa","Stokes",".",".",".",".",".",NA,NA,NA,"RA: Se podrían considerar la subsp. divulsa y la subsp. Leersii. CA Carex leersi debe tratarse como especie independiente que ya estaba en un comentario y ahora vuelve a faltar. BJA, por el momento incluyo C. divulsa subsp leersii por seguir E+M, pero si existe trabajo citable reciente la podemos asignar como especie y entonces como excepcion","Native",496,"43.1. Trifolion medii","Carex divulsa","Carex divulsa Stokes","Carex","","divulsa","","","Stokes","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,7,6,6,6
"+","Carex echinata Murray",".","Cyperaceae",".","Hemicryptophyte","Carex echinata",".","Carex","echinata",NA,NA,"Murray",".",".",".",".",".",NA,NA,NA,NA,"Native",498,"1b. Caricetalia nigrae","Carex echinata","Carex echinata Murray","Carex","","echinata","","","Murray","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,7,3,4,5
"-","Carex tomentosa L.",".","Cyperaceae",".","Hemicryptophyte","Carex tomentosa","see https://onlinelibrary.wiley.com/doi/abs/10.1111/njb.00385","Carex","tomentosa",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,"LC: Un embrollo nomenclatural muy antiguo, que ahora parece que se resuelve (¿Definitivamente?) de nuevo en favor de tomentosa: https://onlinelibrary.wiley.com/doi/abs/10.1111/njb.00385","Native",499,".","Carex filiformis","Carex filiformis L.","Carex","","filiformis","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Carex flacca Schreb.",".","Cyperaceae",".","Hemicryptophyte","Carex flacca",".","Carex","flacca",NA,NA,"Schreb.",".",".",".",".",".",NA,NA,NA,NA,"Native",500,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Carex flacca","Carex flacca Schreb.","Carex","","flacca","","","Schreb.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",7,5,7,4,6,5
"+","Carex frigida All.",".","Cyperaceae",".","Hemicryptophyte","Carex frigida",".","Carex","frigida",NA,NA,"All.",".",".",".",".","AtP","y",NA,NA,NA,"Native",503,"14c. Caricetalia davallianae","Carex frigida","Carex frigida All.","Carex","","frigida","","","All.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,5,7,4,6,4
"+","Carex halleriana Asso",".","Cyperaceae",".","Hemicryptophyte","Carex halleriana",".","Carex","halleriana",NA,NA,"Asso",".",".",".",".",".",NA,NA,NA,NA,"Native",505,"75. Quercetea ilicis","Carex halleriana","Carex halleriana Asso","Carex","","halleriana","","","Asso","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",4,5,7,3,7,6
"+","Carex hirta L.",".","Cyperaceae",".","Hemicryptophyte","Carex hirta",".","Carex","hirta",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",506,"59e. Plantaginetalia majoris","Carex hirta","Carex hirta L.","Carex","","hirta","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,5,7,5,6,6
"+","Carex humilis Leyss.",".","Cyperaceae",NA,"Hemicryptophyte","Carex humilis",NA,"Carex","humilis",NA,NA,"Leyss.",NA,NA,NA,NA,NA,NA,NA,NA,"Nuevo en V.6","Native",NA,NA,"Carex humilis","Carex humilis Leyss.","Carex","","humilis","","","Leyss.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,8,3,7,6
"+","Carex laevigata Sm.",".","Cyperaceae",".","Hemicryptophyte","Carex laevigata",".","Carex","laevigata",NA,NA,"Sm.",".",".",".",".",".",NA,NA,NA,"CA> Añadir Carex leersii.","Native",512,"68.1. Alnion glutinosae","Carex laevigata","Carex laevigata Sm.","Carex","","laevigata","","","Sm.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,6,5,5,6
"+","Carex leporina L.",".","Cyperaceae",".","Hemicryptophyte","Carex leporina",".","Carex","leporina",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",514,"60a. Nardetalia strictae","Carex leporina","Carex leporina L.","Carex","","leporina","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,4,5,5
"+","Carex liparocarpos Gaudin",".","Cyperaceae",".","Hemicryptophyte","Carex liparocarpos",".","Carex","liparocarpos",NA,NA,"Gaudin",".",".",".",".",".",NA,NA,NA,NA,"Native",515,"52. Festuco hystricis-Ononidetea striatae","Carex liparocarpos","Carex liparocarpos Gaudin","Carex","","liparocarpos","","","Gaudin","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",4,6,8,3,7,5
"+","Carex macrostyla Lapeyr.",".","Cyperaceae","CM+PY","Hemicryptophyte","Carex macrostyla",".","Carex","macrostyla",NA,NA,"Lapeyr.",".",".",".",".",".",NA,NA,NA,NA,"Native",516,"60.1a. Carici macrostyli-Nardenion strictae","Carex macrostyla","Carex macrostyla Lapeyr.","Carex","","macrostyla","","","Lapeyr.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,8,3,5,4
"+","Carex mairei Coss. & Germ.",".","Cyperaceae",".","Hemicryptophyte","Carex mairei",".","Carex","mairei",NA,NA,"Coss. & Germ.",".",".",".",".",".",NA,NA,NA,NA,"Native",517,"59.7a. Molinio arundinaceae-Holoschoenenion vulgaris","Carex mairei","Carex mairei Coss. & Germ.","Carex","","mairei","","","Coss. & Germ.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Carex montana L.",".","Cyperaceae",".","Hemicryptophyte","Carex montana",".","Carex","montana",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",518,"51. Festuco valesiacae-Brometea erecti","Carex montana","Carex montana L.","Carex","","montana","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,8,3,6,6
"+","Carex muricata subsp. muricata L.",".","Cyperaceae",".","Hemicryptophyte","Carex muricata subsp. muricata",".","Carex","muricata","subsp.","muricata","L.",".",".",".",".",".",NA,NA,NA,NA,"Native",519,"35. Epilobietea angustifolii","Carex muricata","Carex muricata L.","Carex","","muricata","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,6,5,5,6
"+","Carex nigra (L.) Reichard",".","Cyperaceae",".","Hemicryptophyte","Carex nigra",".","Carex","nigra",NA,NA,"(L.) Reichard",".",".",".",".",".",NA,NA,NA,NA,"Native",521,"14. Scheuchzerio palustris-Caricetea nigrae","Carex nigra","Carex nigra (L.) Reichard","Carex","","nigra","","","(L.) Reichard","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,5,7,3,4,5
"+","Carex ornithopoda Willd.",".","Cyperaceae",".","Hemicryptophyte","Carex ornithopoda",".","Carex","ornithopoda",NA,NA,"Willd.",".",".",".",".",".",NA,NA,NA,NA,"Native",522,"45. Kobresio myosuroidis-Seslerietea caeruleae","Carex ornithopoda","Carex ornithopoda Willd.","Carex","","ornithopoda","","","Willd.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",5,6,8,3,7,4
"+","Carex muricata subsp. pairae (F. W. Schultz) Celak.",".","Cyperaceae",".","Hemicryptophyte","Carex muricata subsp. pairae",".","Carex","muricata","subsp.","pairae","(F. W. Schultz) Celak.",".",".",".",".",".",NA,NA,NA,"CA: sinónimo de Carex leersii F.W.Schultz. BJA???","Native",520,"En Trifolio medii-Geranietea sanguinei","Carex pairae","Carex pairae F.W.Schultz","Carex","","pairae","","","F.W.Schultz","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,5,5,5
"+","Carex pallescens L.",".","Cyperaceae",".","Hemicryptophyte","Carex pallescens",".","Carex","pallescens",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",523,"60a. Nardetalia strictae","Carex pallescens","Carex pallescens L.","Carex","","pallescens","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",7,5,7,4,5,5
"+","Carex panicea L.",".","Cyperaceae",".","Hemicryptophyte","Carex panicea",".","Carex","panicea",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",524,"59a. Molinietalia caeruleae","Carex panicea","Carex panicea L.","Carex","","panicea","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,3,4,5
"+","Carex paniculata subsp. paniculata L.","?","Cyperaceae",".","Hemicryptophyte","Carex paniculata subsp. paniculata","In recent taxonomic treatments (v.gr. Flora iberica), subsp. lusitanica is the only recognised across Western Iberia. However, the observation of some mountain populations suggests a reassessment of such conslusion","Carex","paniculata","subsp.","paniculata","L.",".",".",".",".",".",NA,NA,NA,"LC> Si admitimos las subespecies, entiendo que por aquí solo está la lusitanica. BJA. Yo he visto la forma que corresponde con subsp. paniculata en arroyos higroturbosos de Babia, lo que coincide con las citas de Romero y Puente. Pero segun Fl Ib seria solo del E Peninsular.","Native",525,"12.4. Magnocaricion elatae","Carex paniculata","Carex paniculata L.","Carex","","paniculata","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,6,5,5,6
"+","Carex paniculata subsp. lusitanica (Willd.) Maire",".","Cyperaceae",".","Hemicryptophyte","Carex paniculata subsp. lusitanica",".","Carex","paniculata","subsp.","lusitanica","(Willd.) Maire",".",".",".",".",".",NA,NA,NA,NA,"Native",526,"12.5Caricion reuterianae","Carex paniculata","Carex paniculata subsp. lusitanica (Willd.) Maire","Carex","","paniculata","subsp.","lusitanica","(Willd.) Maire","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,6,5,5,6
"+","Carex parviflora Host",".","Cyperaceae",".","Hemicryptophyte","Carex parviflora",".","Carex","parviflora",NA,NA,"Host",".",".",".",".",".",NA,NA,NA,NA,"Native",527,"48.2. Arabidion caeruleae","Carex parviflora","Carex parviflora Host","Carex","","parviflora","","","Host","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,8,3,6,4
"+","Carex pendula Huds.",".","Cyperaceae",".","Hemicryptophyte","Carex pendula",".","Carex","pendula",NA,NA,"Huds.",".",".",".",".",".",NA,NA,NA,NA,"Native",528,"71a. Populetalia albae","Carex pendula","Carex pendula Huds.","Carex","","pendula","","","Huds.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,6,5,6,6
"+","Carex pilulifera L.",".","Cyperaceae",".","Hemicryptophyte","Carex pilulifera",".","Carex","pilulifera",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",529,"60a. Nardetalia strictae","Carex pilulifera","Carex pilulifera L.","Carex","","pilulifera","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",7,4,6,3,4,5
"+","Carex pulicaris L.",".","Cyperaceae",".","Hemicryptophyte","Carex pulicaris",".","Carex","pulicaris",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",531,"14.4. Caricion davallianae","Carex pulicaris","Carex pulicaris L.","Carex","","pulicaris","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,7,3,5,5
"+","Carex pyrenaica Wahlenb.",".","Cyperaceae",".","Hemicryptophyte","Carex pyrenaica",".","Carex","pyrenaica",NA,NA,"Wahlenb.",".",".",".",".","AtP","y",NA,NA,NA,"Native",533,"48. Salicetea herbaceae","Carex pyrenaica","Carex pyrenaica Wahlenb.","Carex","","pyrenaica","","","Wahlenb.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,8,2,3,3
"+","Carex remota L.",".","Cyperaceae",".","Hemicryptophyte","Carex remota",".","Carex","remota",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",534,"71.1. Alnion incanae","Carex remota","Carex remota L.","Carex","","remota","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,5,5,5,6
"+","Carex reuteriana Boiss.",".","Cyperaceae",".","Hemicryptophyte","Carex reuteriana",".","Carex","reuteriana",NA,NA,"Boiss.",".",".",".",".",".",NA,NA,NA,NA,"Native",535,"12.5Caricion reuterianae","Carex reuteriana","Carex reuteriana Boiss.","Carex","","reuteriana","","","Boiss.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,6,5,5,6
"+","Carex riparia Curtis",".","Cyperaceae",".","Helophyte","Carex riparia",".","Carex","riparia",NA,NA,"Curtis",".",".",".",".",".",NA,NA,NA,NA,"Native",536,"12.4. Magnocaricion elatae","Carex riparia","Carex riparia Curtis","Carex","","riparia","","","Curtis","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,5,7,6,6,6
"+","Carex rostrata Stokes",".","Cyperaceae",".","Helophyte","Carex rostrata",".","Carex","rostrata",NA,NA,"Stokes",".",".",".",".",".",NA,NA,NA,NA,"Native",537,"12.4. Magnocaricion elatae","Carex rostrata","Carex rostrata Stokes","Carex","","rostrata","","","Stokes","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,5,7,4,5,5
"+","Carex rupestris All.",".","Cyperaceae",".","Hemicryptophyte","Carex rupestris",".","Carex","rupestris",NA,NA,"All.",".",".",".",".","AtP","y",NA,NA,NA,"Native",538,"44. Carici rupestris-Kobresietea myosuroidis","Carex rupestris","Carex rupestris All.","Carex","","rupestris","","","All.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",5,6,8,3,7,4
"+","Carex sempervirens Vill.",".","Cyperaceae",".","Hemicryptophyte","Carex sempervirens",".","Carex","sempervirens",NA,NA,"Vill.",".",".",".",".",".",NA,NA,NA,"RA> Incluir Carex spicata Huds. Citado cerca de La Ercina, pliego LEB","Native",539,"45. Kobresio myosuroidis-Seslerietea caeruleae","Carex sempervirens","Carex sempervirens Vill.","Carex","","sempervirens","","","Vill.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,8,3,7,4
"+","Carex spicata subsp. andresii Molina Gonz., Acedo & Llamas",".","Cyperaceae",".","Hemicryptophyte","Carex spicata subsp. andresii",".","Carex","spicata","subsp.","andresii","Molina Gonz., Acedo & Llamas",".",".",".",".",".",NA,NA,NA,"CA; Carex spicata subsp. andresii Molina Gonz., Acedo & Llamas 
Ttodo el material estudiado corresponde a esta subespecie  (excepto contados especímenes pirenaicos)","Native",540,".","Carex spicata","Carex spicata Huds.","Carex","","spicata","","","Huds.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",6,4,7,5,5,6
"+","Carex strigosa Huds.",".","Cyperaceae",".","Hemicryptophyte","Carex strigosa",".","Carex","strigosa",NA,NA,"Huds.",".",".",".",".",".",NA,NA,NA,NA,"Native",540,"71.1. Alnion incanae","Carex strigosa","Carex strigosa Huds.","Carex","","strigosa","","","Huds.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",7,4,7,5,5,5
"+","Carex sylvatica Huds.",".","Cyperaceae",".","Hemicryptophyte","Carex sylvatica",".","Carex","sylvatica",NA,NA,"Huds.",".",".",".",".",".",NA,NA,NA,"LA> La cita de Covadonga, verosímil aunque aún no he podido comprobarla, se referirá en todo caso a un sitio cántabro-atlántico. me extrañaría que la planta apareciese fuera de los grandes valles de la vertiente norte, ya fuera de la subprovincia fitogeográfica que hoy nos ocupa. BJA Si la cita es verosimil y cae en cuadricula deberiamos incluirla por coherencia con otras citas de plantas en areas de borde biogeografico","Native",541,"76a. Fagetalia sylvaticae","Carex sylvatica","Carex sylvatica Huds.","Carex","","sylvatica","","","Huds.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",7,4,5,5,5,5
"+","Carex umbrosa Host",".","Cyperaceae",".","Hemicryptophyte","Carex umbrosa",".","Carex","umbrosa",NA,NA,"Host",".",".",".",".",".",NA,NA,NA,NA,"Native",542,"76a. Fagetalia sylvaticae","Carex umbrosa","Carex umbrosa Host","Carex","","umbrosa","","","Host","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",7,4,6,5,5,6
"+","Carex vesicaria L.",".","Cyperaceae",".","Helophyte","Carex vesicaria",".","Carex","vesicaria",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",543,"12.4. Magnocaricion elatae","Carex vesicaria","Carex vesicaria L.","Carex","","vesicaria","","","L.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",10,4,7,4,6,6
"+","Carex lepidocarpa Tausch",".","Cyperaceae",".","Hemicryptophyte","Carex lepidocarpa",".","Carex","lepidocarpa",NA,NA,"Tausch",".",".",".",".",".",NA,NA,NA,NA,"Native",513,"14.4. Caricion davallianae","Carex viridula","Carex viridula subsp. brachyrhyncha (Celak.) B.Schmid","Carex","","viridula","subsp.","brachyrhyncha","(Celak.) B.Schmid","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,7,3,5,5
"+","Carex demissa Hornem.",".","Cyperaceae",".","Hemicryptophyte","Carex demissa",".","Carex","demissa",NA,NA,"Hornem.",".",".",".",".",".",NA,NA,NA,NA,"Native",487,"14.2. Caricion nigrae","Carex viridula","Carex viridula subsp. oedocarpa (Andersson) B.Schmid","Carex","","viridula","subsp.","oedocarpa","(Andersson) B.Schmid","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,7,3,5,5
"+","Carex viridula Michx.",".","Cyperaceae",".","Hemicryptophyte","Carex viridula",".","Carex","viridula",NA,NA,"Michx.",".",".",".",".",".",NA,NA,NA,NA,"Native",544,"59.13. Agrostion stoloniferae","Carex viridula","Carex viridula Michx.","Carex","","viridula","","","Michx.","Cyperaceae","Poales","Liliopsida","Monocots","Angiosperms",9,4,7,3,5,5
"+","Carlina acaulis subsp. caulescens (Lam.) Schübl. & G. Martens",".","Compositae",".","Hemicryptophyte","Carlina acaulis subsp. caulescens",".","Carlina","acaulis","subsp.","caulescens","(Lam.) Schübl. & G. Martens",".",".",".",".",".",NA,NA,NA,"EC: Hay citas dadas como  Carlina acaulis subsp. caulescens (Lam.) Schübl. & G. Martens; BJA: De hecho, tanto E+M como Flora Iberica admiten que en la Península solo existe la subsp caulescens, así que dejamos esta subsp como único taxon cantábrico de la especie","Native",546,"51a. Brometalia erecti","Carlina acaulis","Carlina acaulis subsp. caulescens (Lam.) Schübl. & G.Martens","Carlina","","acaulis","subsp.","caulescens","(Lam.) Schübl. & G.Martens","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,5,7,5
"+","Carlina hispanica subsp. hispanica Lam.",".","Compositae",".","Hemicryptophyte","Carlina hispanica subsp. hispanica",".","Carlina","hispanica","subsp.","hispanica","Lam.",".",".",".",".",".",NA,NA,NA,"LC: Por aquí solo estaría la subsp. Hispanica; BJA, En E+M se llama C. hispanica subsp. Hispanica, por el momento lo pongo así salvo que alguien diga lo contrario","Native",547,"34d. Carthametalia lanati","Carlina hispanica","Carlina hispanica Lam.","Carlina","","hispanica","","","Lam.","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,6,6,7
"+","Carlina vulgaris subsp. spinosa (Velen.) Vandas",".","Compositae",".","Hemicryptophyte","Carlina vulgaris subsp. spinosa",".","Carlina","vulgaris","subsp.","spinosa","(Velen.) Vandas",".",".",".",".",".",NA,NA,NA,"RA: Creo que lo que tenemos corresponde a la subsp. spinosa que sí acepta Euro+Med. BJA: también Flora Iberica lo reconoce así, dejamos una única subsp","Native",549,"51a. Brometalia erecti","Carlina vulgaris","Carlina vulgaris subsp. spinosa (Velen.) Vandas","Carlina","","vulgaris","subsp.","spinosa","(Velen.) Vandas","Asteraceae","Asterales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,4,6,6
