Accepted.SIVIM,Original.EuroMed,Accepted.EuroMed,Expert.Revision,Analysis.Names,Rank,Genus,Family,Order,Class,Group,Native
Gentiana lutea subsp. luteaaurantiaca,Gentiana lutea subsp. lutea,Gentiana lutea subsp. lutea,Gentiana lutea subsp. lutea,Gentiana lutea,subsp.,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentiana nivalis,Gentiana nivalis,Gentiana nivalis,Gentiana nivalis,Gentiana nivalis,sp.,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentiana occidentalis subsp. aragonens,Gentiana occidentalis var. aragonensis,Gentiana occidentalis,Gentiana occidentalis,Gentiana occidentalis,sp.,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentiana pneumonanthe,Gentiana pneumonanthe,Gentiana pneumonanthe,Gentiana pneumonanthe,Gentiana pneumonanthe,sp.,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentiana pneumonanthe subsp. aloyana,Gentiana pneumonanthe,Gentiana pneumonanthe,Gentiana pneumonanthe,Gentiana pneumonanthe,sp.,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentiana verna,Gentiana verna,Gentiana verna,Gentiana verna,Gentiana verna,sp.,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentiana verna subsp. verna,Gentiana verna subsp. verna,Gentiana verna subsp. verna,Gentiana verna subsp. verna,Gentiana verna,subsp.,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentiana venta subsp. verna,Gentiana verna subsp. verna,Gentiana verna subsp. verna,Gentiana verna subsp. verna,Gentiana verna,subsp.,Gentiana,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentianella campestris,Gentianella campestris,Gentianella campestris,Gentianella campestris,Gentianella campestris,sp.,Gentianella,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Gentianella ciliata,Gentianella ciliata,Gentianella ciliata,Gentianella ciliata,Gentianella ciliata,sp.,Gentianella,Gentianaceae,Gentianales,Magnoliopsida,tracheophytes,Yes
Geranium,Geranium,Geranium,Geranium,Geranium,gen.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium columbinum,Geranium columbinum,Geranium columbinum,Geranium columbinum,Geranium columbinum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium dissectum,Geranium dissectum,Geranium dissectum,Geranium dissectum,Geranium dissectum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium disectum,Geranium dissectum,Geranium dissectum,Geranium dissectum,Geranium dissectum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium dolomiticum,Geranium dolomiticum,Geranium dolomiticum,Geranium dolomiticum,Geranium dolomiticum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium lucidum,Geranium lucidum,Geranium lucidum,Geranium lucidum,Geranium lucidum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Seranium molle,Geranium molle,Geranium molle,Geranium molle,Geranium molle,sp.,Seranium,NA,NA,NA,tracheophytes,Yes
Geranium molle,Geranium molle subsp. brutium,Geranium molle,Geranium molle,Geranium molle,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium molle subsp. molle,Geranium molle subsp. brutium,Geranium molle,Geranium molle,Geranium molle,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium cinereum,Geranium cinereum,Geranium cinereum,Geranium cinereum,Geranium cinereum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium phaeum,Geranium phaeum subsp. austriacum,Geranium phaeum,Geranium phaeum,Geranium phaeum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium pratense,Geranium pratense,Geranium pratense,Geranium pratense,Geranium pratense,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium purpureum,Geranium robertianum subsp. purpureum,Geranium purpureum,Geranium purpureum,Geranium purpureum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium pusillum,Geranium pusillum subsp. delicatulum,Geranium pusillum,Geranium pusillum,Geranium pusillum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium pyrenaicum,Geranium pyrenaicum subsp. pyrenaicum,Geranium pyrenaicum subsp. pyrenaicum,Geranium pyrenaicum subsp. pyrenaicum,Geranium pyrenaicum,subsp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium robertanium,Geranium robertianum,Geranium robertianum,Geranium robertianum,Geranium robertianum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium robertianum subsp. robertianum,Geranium robertianum,Geranium robertianum,Geranium robertianum,Geranium robertianum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium robertianum,Geranium robertianum,Geranium robertianum,Geranium robertianum,Geranium robertianum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium rotundifolium,Geranium rotundifolium,Geranium rotundifolium,Geranium rotundifolium,Geranium rotundifolium,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium rotunditolium,Geranium rotundifolium,Geranium rotundifolium,Geranium rotundifolium,Geranium rotundifolium,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium sanguineum,Geranium sanguineum,Geranium sanguineum,Geranium sanguineum,Geranium sanguineum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium subargenteum,Geranium subargenteum,Geranium subargenteum,Geranium subargenteum,Geranium subargenteum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium silvaticum,Geranium sylvaticum,Geranium sylvaticum,Geranium sylvaticum,Geranium sylvaticum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geranium sylvaticum,Geranium pratense subsp. sylvaticum,Geranium sylvaticum,Geranium sylvaticum,Geranium sylvaticum,sp.,Geranium,Geraniaceae,Geraniales,Magnoliopsida,tracheophytes,Yes
Geum hispidum,Geum hispidum subsp. albarracinense,Geum hispidum,Geum hispidum,Geum hispidum,sp.,Geum,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Geum montanum,Geum montanum,Geum montanum,Geum montanum,Geum montanum,sp.,Geum,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Geum pyrenaicum,Geum pyrenaicum,Geum pyrenaicum,Geum pyrenaicum,Geum pyrenaicum,sp.,Geum,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Geum rivale,Geum rivale,Geum rivale,Geum rivale,Geum rivale,sp.,Geum,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Geum sylvaticum,Geum sylvaticum,Geum sylvaticum,Geum sylvaticum,Geum sylvaticum,sp.,Geum,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Geum urbanum,Geum urbanum,Geum urbanum,Geum urbanum,Geum urbanum,sp.,Geum,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Gladiolus communis,Gladiolus communis,Gladiolus communis,Gladiolus communis,Gladiolus communis,sp.,Gladiolus,Iridaceae,Asparagales,Liliopsida,tracheophytes,Yes
Gladiolus italicus,Gladiolus italicus,Gladiolus italicus,Gladiolus italicus,Gladiolus italicus,sp.,Gladiolus,Iridaceae,Asparagales,Liliopsida,tracheophytes,Yes
Lithodora diffusa=prostrata,Lithodora,Glandora,Glandora,Glandora,sp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora diffusa/prostrata,Lithodora,Glandora,Glandora,Glandora,gen.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora diffusa,Lithodora diffusa,Glandora diffusa,Glandora diffusa,Glandora diffusa,sp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora difusa,Lithodora diffusa,Glandora diffusa,Glandora diffusa,Glandora diffusa,sp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora diffusa subsp. diffusa,Lithodora diffusa,Glandora diffusa,Glandora diffusa,Glandora diffusa,sp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora difusa subsp. diffusa,Lithodora diffusa,Glandora diffusa,Glandora diffusa,Glandora diffusa,sp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora diffusa subsp. difussa,Lithodora diffusa,Glandora diffusa,Glandora diffusa,Glandora diffusa,sp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithospermum diffusus,Lithospermum diffusum,Glandora diffusa,Glandora diffusa,Glandora diffusa,sp.,Lithospermum,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora prostrata,Lithodora prostrata,Glandora prostrata,Glandora prostrata,Glandora prostrata,sp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Litospermum postratum,Lithospermum prostratum,Glandora prostrata,Glandora prostrata,Glandora prostrata,sp.,Litospermum,NA,NA,NA,tracheophytes,Yes
Lithospermum postratum,Lithospermum prostratum,Glandora prostrata,Glandora prostrata,Glandora prostrata,sp.,Lithospermum,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora prostrata subsp. prostrata,Lithodora prostrata,Glandora prostrata,Glandora prostrata,Glandora prostrata,sp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Lithodora prostrata subsp. lusitanica,Lithodora prostrata subsp. lusitanica,Glandora prostrata subsp. lusitanica,Glandora prostrata subsp. lusitanica,Glandora prostrata,subsp.,Lithodora,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Glaucium corniculatum,Glaucium corniculatum,Glaucium corniculatum,Glaucium corniculatum,Glaucium corniculatum,sp.,Glaucium,Papaveraceae,Ranunculales,Magnoliopsida,tracheophytes,No
Glaucium flavum,Glaucium flavum,Glaucium flavum,Glaucium flavum,Glaucium flavum,sp.,Glaucium,Papaveraceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Glaux maritima,Glaux maritima,Glaux maritima,Glaux maritima,Glaux maritima,sp.,Glaux,Primulaceae,Ericales,Magnoliopsida,tracheophytes,Yes
Chrysanthemum segetum,Chrysanthemum segetum,Glebionis segetum,Glebionis segetum,Glebionis segetum,sp.,Chrysanthemum,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Crysanthemum segetum,Chrysanthemum segetum,Glebionis segetum,Glebionis segetum,Glebionis segetum,sp.,Crysanthemum,NA,NA,NA,tracheophytes,Yes
Glechoma hederacea,Glechoma hederacea,Glechoma hederacea,Glechoma hederacea,Glechoma hederacea,sp.,Glechoma,Lamiaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Globularia vulgaris subsp. willkommii,Globularia vulgaris subsp. willkommii,Globularia bisnagarica,Globularia bisnagarica,Globularia bisnagarica,sp.,Globularia,Plantaginaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Globularia Xfuxeensis,Globularia fuxeensis,Globularia fuxeensis,Globularia nudicaulis s.l.,Globularia nudicaulis s.l.,aggr.,Globularia,Plantaginaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Globularia nudicaulis subsp. occidentalis,Globularia nudicaulis subsp. nudicaulis,Globularia nudicaulis,Globularia nudicaulis,Globularia nudicaulis s.l.,sp.,Globularia,Plantaginaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Globularia nudicaulis,Globularia nudicaulis,Globularia nudicaulis,Globularia nudicaulis,Globularia nudicaulis s.l.,sp.,Globularia,Plantaginaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Globularia repens,Globularia repens,Globularia repens,Globularia repens,Globularia repens,sp.,Globularia,Plantaginaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Globularia salicina,Globularia salicina,Globularia salicina,Globularia salicina,Globularia salicina,sp.,Globularia,Plantaginaceae,Lamiales,Magnoliopsida,tracheophytes,No
Globularia vulgaris,Globularia vulgaris subsp. vulgaris,Globularia vulgaris,Globularia vulgaris,Globularia vulgaris,sp.,Globularia,Plantaginaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Glyceria,Glyceria,Glyceria,Glyceria,Glyceria,gen.,Glyceria,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Glyceria fluitans subsp. declinata,Glyceria fluitans subsp. declinata,Glyceria declinata,Glyceria declinata,Glyceria declinata,sp.,Glyceria,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Glyceria maxima,Glyceria maxima,Glyceria maxima,Glyceria maxima,Glyceria maxima,sp.,Glyceria,Poaceae,Poales,Liliopsida,tracheophytes,No
Glyceria notata,Glyceria notata,Glyceria notata,Glyceria notata,Glyceria notata,sp.,Glyceria,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Glyceria spicata,Glyceria spicata,Glyceria spicata,Glyceria spicata,Glyceria spicata,sp.,Glyceria,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Glyceria fluitans,Glyceria fluitans subsp. spicata,Glyceria spicata,Glyceria spicata,Glyceria spicata,sp.,Glyceria,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Gamochaeta coarctata,Gamochaeta coarctata,Gnaphalium coarctatum,Gnaphalium coarctatum,Gnaphalium coarctatum,sp.,Gamochaeta,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Gamochaeta spicata,Gamochaeta spicata,Gnaphalium coarctatum,Gnaphalium coarctatum,Gnaphalium coarctatum,sp.,Gamochaeta,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Omalotheca hoppeana,Omalotheca hoppeana,Gnaphalium hoppeanum,Gnaphalium hoppeanum,Gnaphalium hoppeanum,sp.,Omalotheca,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Gnaphalium pensylvanicum,Gnaphalium pensylvanicum,Gnaphalium pensylvanicum,Gnaphalium pensylvanicum,Gnaphalium pensylvanicum,sp.,Gnaphalium,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Gamochaeta purpurea,Gamochaeta purpurea,Gnaphalium purpureum,Gnaphalium purpureum,Gnaphalium purpureum,sp.,Gamochaeta,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Omalotheca supina,Omalotheca supina,Gnaphalium supinum,Gnaphalium supinum,Gnaphalium supinum,sp.,Omalotheca,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Omalotheca sylvatica,Omalotheca sylvatica,Gnaphalium sylvaticum,Gnaphalium sylvaticum,Gnaphalium sylvaticum,sp.,Omalotheca,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Gnaphalium uliginosum,Gnaphalium uliginosum subsp. nudum,Gnaphalium uliginosum,Gnaphalium uliginosum,Gnaphalium uliginosum,sp.,Gnaphalium,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Gratiola officinalis,Gratiola officinalis,Gratiola officinalis,Gratiola officinalis,Gratiola officinalis,sp.,Gratiola,Plantaginaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Groenlandia densa,Groenlandia densa,Groenlandia densa,Groenlandia densa,Groenlandia densa,sp.,Groenlandia,Potamogetonaceae,Alismatales,Liliopsida,tracheophytes,Yes
Gymnadenia conopsea,Gymnadenia conopsea,Gymnadenia conopsea,Gymnadenia conopsea,Gymnadenia conopsea,sp.,Gymnadenia,Orchidaceae,Asparagales,Liliopsida,tracheophytes,Yes
Nigritella gabassiana,Nigritella gabasiana,Gymnadenia gabasiana,Gymnadenia gabasiana,Gymnadenia gabasiana,sp.,Nigritella,Orchidaceae,Asparagales,Liliopsida,tracheophytes,Yes
Nigritella nigra,Nigritella nigra,Gymnadenia nigra,Gymnadenia gabasiana,Gymnadenia gabasiana,sp.,Nigritella,Orchidaceae,Asparagales,Liliopsida,tracheophytes,Yes
Gymnocarpium,Gymnocarpium,Gymnocarpium,Gymnocarpium,Gymnocarpium,gen.,Gymnocarpium,Cystopteridaceae,Polypodiales,Polypodiopsida,tracheophytes,Yes
Gymnocarpium dryopteris,Gymnocarpium dryopteris,Gymnocarpium dryopteris,Gymnocarpium dryopteris,Gymnocarpium dryopteris,sp.,Gymnocarpium,Cystopteridaceae,Polypodiales,Polypodiopsida,tracheophytes,Yes
Gymnocarpium robertianum,Gymnocarpium robertianum,Gymnocarpium robertianum,Gymnocarpium robertianum,Gymnocarpium robertianum,sp.,Gymnocarpium,Cystopteridaceae,Polypodiales,Polypodiopsida,tracheophytes,Yes
Gypsophila repens,Gypsophila repens,Gypsophila repens,Gypsophila repens,Gypsophila repens,sp.,Gypsophila,Caryophyllaceae,Caryophyllales,Magnoliopsida,tracheophytes,Yes
Hainardia cylindrica,Hainardia cylindrica,Hainardia cylindrica,Hainardia cylindrica,Hainardia cylindrica,sp.,Hainardia,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Bainardia cilindrica,Hainardia cylindrica,Hainardia cylindrica,Hainardia cylindrica,Hainardia cylindrica,sp.,Bainardia,NA,NA,NA,tracheophytes,Yes
Hakea sericea,Hakea sericea,Hakea sericea,Hakea sericea,Hakea sericea,sp.,Hakea,Proteaceae,Proteales,Magnoliopsida,tracheophytes,Yes
Halionione portulacoides,Halimione portulacoides,Halimione portulacoides,Halimione portulacoides,Halimione portulacoides,sp.,Halionione,NA,NA,NA,tracheophytes,Yes
Halimione portulacoides,Halimione portulacoides,Halimione portulacoides,Halimione portulacoides,Halimione portulacoides,sp.,Halimione,Amaranthaceae,Caryophyllales,Magnoliopsida,tracheophytes,Yes
Hedera canariensis,Hedera canariensis,Hedera canariensis,Hedera canariensis,Hedera helix s.l.,sp.,Hedera,Araliaceae,Apiales,Magnoliopsida,tracheophytes,No
Hedera helix,Hedera helix subsp. helix,Hedera helix subsp. helix,Hedera helix subsp. helix,Hedera helix s.l.,subsp.,Hedera,Araliaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Hedera helix subsp. helix,Hedera helix subsp. helix,Hedera helix subsp. helix,Hedera helix subsp. helix,Hedera helix s.l.,subsp.,Hedera,Araliaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Hedera hibernica,Hedera hibernica,Hedera hibernica,Hedera hibernica,Hedera helix s.l.,sp.,Hedera,Araliaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Hedera hiberna,Hedera hibernica,Hedera hibernica,Hedera hibernica,Hedera helix s.l.,sp.,Hedera,Araliaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Hedypnois rhagadioloides,Hedypnois rhagadioloides subsp. cretica,Hedypnois rhagadioloides,Arnoseris minima,Arnoseris minima,sp.,Hedypnois,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Helianthemum,Helianthemum,Helianthemum,Helianthemum,Helianthemum,gen.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum aegyptiacum,Helianthemum aegyptiacum,Helianthemum aegyptiacum,Helianthemum aegyptiacum,Helianthemum aegyptiacum,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum alypoides,Helianthemum alypoides,Helianthemum alypoides,Helianthemum alypoides,Helianthemum alypoides,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum appenninum,Helianthemum apenninum,Helianthemum apenninum,Helianthemum apenninum,Helianthemum apenninum,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum apenninum,Helianthemum apenninum,Helianthemum apenninum,Helianthemum apenninum,Helianthemum apenninum,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum apenninum subsp. cantabricum,Helianthemum apenninum subsp. cantabricum,Helianthemum apenninum subsp. cantabricum,Helianthemum apenninum subsp. cantabricum,Helianthemum apenninum,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum rothmaleri,Helianthemum rothmaleri ,Helianthemum apenninum subsp. stoechadifolium,Helianthemum apenninum subsp. stoechadifolium,Helianthemum apenninum,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum apenninum subsp. urrielense,Helianthemum apenninum subsp. urrielense,Helianthemum apenninum subsp. urrielense,Helianthemum apenninum subsp. urrielense,Helianthemum apenninum,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum canum,Helianthemum canum,Helianthemum canum,Helianthemum canum,Helianthemum canum,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum cinereum,Helianthemum cinereum,Helianthemum cinereum,Helianthemum cinereum,Helianthemum cinereum,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum cinereum subsp. rotundifolium,Helianthemum cinereum subsp. rotundifolium,Helianthemum cinereum subsp. rotundifolium,Helianthemum cinereum subsp. rotundifolium,Helianthemum cinereum,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum croceum,Helianthemum croceum subsp. croceum,Helianthemum croceum subsp. croceum,Helianthemum croceum subsp. croceum,Helianthemum croceum,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum oelandicum subsp. italicum,Helianthemum oelandicum subsp. italicum,Helianthemum italicum,Helianthemum italicum,Helianthemum italicum,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum ledifolium,Helianthemum ledifolium,Helianthemum ledifolium,Helianthemum ledifolium,Helianthemum ledifolium,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum nummularium,Helianthemum nummularium,Helianthemum nummularium,Helianthemum nummularium,Helianthemum nummularium,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum nummulariu subsp. nunmmulari,Helianthemum nummularium subsp. nummularium,Helianthemum nummularium subsp. nummularium,Helianthemum nummularium subsp. nummularium,Helianthemum nummularium,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum chamaecistus subsp. discolo,Helianthemum chamaecistus,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum ovatum,Helianthemum ovatum,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum nummularium var. obscurum,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum chamaecistus subsp. scopoli,Helianthemum chamaecistus,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium subsp. obscurum,Helianthemum nummularium,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum tomentosum,Helianthemum tomentosum,Helianthemum nummularium subsp. tomentosum,Helianthemum nummularium subsp. tomentosum,Helianthemum nummularium,subsp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum hirtum,Helianthemum hirtum,Helianthemum hirtum,Helianthemum hirtum,Helianthemum hirtum,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,No
Helianthemum salicifolium,Helianthemum salicifolium,Helianthemum salicifolium,Helianthemum salicifolium,Helianthemum salicifolium,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum violaceum,Helianthemum violaceum,Helianthemum violaceum,Helianthemum violaceum,Helianthemum violaceum,sp.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthemum Xrivasmartinezii,Helianthemum x rivasmartinezii,Helianthemum x rivasmartinezii,Helianthemum x rivasmartinezii,Helianthemum x rivasmartinezii,hyb.,Helianthemum,Cistaceae,Malvales,Magnoliopsida,tracheophytes,Yes
Helianthus Xlaetiflorus,Helianthus x laetiflorus,Helianthus x laetiflorus,Helianthus x laetiflorus,Helianthus x laetiflorus,hyb.,Helianthus,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Helichrysum foetidum,Helichrysum foetidum,Helichrysum foetidum,Helichrysum foetidum,Helichrysum foetidum,sp.,Helichrysum,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Helichrysum italicum,Helichrysum italicum,Helichrysum italicum,Helichrysum italicum,Helichrysum italicum,sp.,Helichrysum,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Helichrysum italicum subsp. serotinum,Helichrysum italicum subsp. serotinum,Helichrysum italicum subsp. serotinum,Helichrysum italicum subsp. serotinum,Helichrysum italicum,subsp.,Helichrysum,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Helichrysum picardii,Helichrysum picardii,Helichrysum italicum subsp. picardii,Helichrysum italicum subsp. picardii,Helichrysum italicum,subsp.,Helichrysum,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Helychrison stoechas,Helichrysum stoechas,Helichrysum stoechas,Helichrysum stoechas,Helichrysum stoechas,sp.,Helychrison,NA,NA,NA,tracheophytes,Yes
Helichrysum stoechas,Helichrysum stoechas,Helichrysum stoechas,Helichrysum stoechas,Helichrysum stoechas,sp.,Helichrysum,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Helichrysum stoechas subsp. stoechas,Helichrysum stoechas subsp. stoechas,Helichrysum stoechas subsp. stoechas,Helichrysum stoechas subsp. stoechas,Helichrysum stoechas,subsp.,Helichrysum,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Helictochloa bromoides,Helictochloa bromoides,Helictochloa bromoides,Helictochloa bromoides,Helictochloa bromoides,sp.,Helictochloa,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Helictochloa bromoides subsp. bromoides,Helictochloa bromoides subsp. bromoides,Helictochloa bromoides subsp. bromoides,Helictochloa bromoides subsp. bromoides,Helictochloa bromoides,subsp.,Helictochloa,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Helictochloa bromoides subsp. pauneroi,Helictochloa bromoides subsp. pauneroi,Helictochloa bromoides subsp. pauneroi,Helictochloa bromoides subsp. bromoides,Helictochloa bromoides,subsp.,Helictochloa,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Helictochloa lusitanica,Helictochloa lusitanica,Helictochloa lusitanica,Helictochloa lusitanica,Helictochloa lusitanica,sp.,Helictochloa,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Avenula marginata subsp. prenaica,Avenula marginata,Helictochloa marginata,Helictochloa marginata,Helictochloa marginata,sp.,Avenula,Poaceae,Poales,Liliopsida,tracheophytes,Yes
