Accepted.SIVIM,Original.EuroMed,Accepted.EuroMed,Expert.Revision,Analysis.Names,Rank,Genus,Family,Order,Class,Group,Native
Adenostyles alpina subsp. pyrenaica,Adenostyles alpina subsp. pyrenaica,Adenostyles alpina subsp. pyrenaica,Adenostyles alpina subsp. pyrenaica,Adenostyles alpina,subsp.,Adenostyles,Asteraceae,Asterales,Magnoliopsida,tracheophytes,Yes
Adiantum,Adiantum,Adiantum,Adiantum,Adiantum,gen.,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,tracheophytes,Yes
Adiantum capillusveneris,Adiantum capillus-veneris,Adiantum capillus-veneris,Adiantum capillus-veneris,Adiantum capillus-veneris,sp.,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,tracheophytes,Yes
Adiantum reniforme,Adiantum reniforme,Adiantum reniforme,Adiantum reniforme,Adiantum reniforme,sp.,Adiantum,Pteridaceae,Polypodiales,Polypodiopsida,tracheophytes,No
Adonis aestivalis,Adonis aestivalis,Adonis aestivalis,Adonis aestivalis,Adonis aestivalis,sp.,Adonis,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Adonis flammea,Adonis flammea,Adonis flammea,Adonis flammea,Adonis flammea,sp.,Adonis,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Adonis microcarpa,Adonis microcarpa,Adonis microcarpa,Adonis microcarpa,Adonis microcarpa,sp.,Adonis,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Adonis vernalis,Adonis vernalis,Adonis vernalis,Adonis vernalis,Adonis vernalis,sp.,Adonis,Ranunculaceae,Ranunculales,Magnoliopsida,tracheophytes,Yes
Aegilops geniculata,Aegilops geniculata,Aegilops geniculata,Aegilops geniculata,Aegilops geniculata,sp.,Aegilops,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aegilops triuncialis,Aegilops triuncialis,Aegilops triuncialis,Aegilops triuncialis,Aegilops triuncialis,sp.,Aegilops,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Lithospermum purpureocoeruleum,Lithospermum purpurocaeruleum,Aegonychon purpurocaeruleum,Aegonychon purpurocaeruleum,Aegonychon purpurocaeruleum,sp.,Lithospermum,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Aegonychon purpurocaeruleum,Aegonychon purpurocaeruleum,Aegonychon purpurocaeruleum,Aegonychon purpurocaeruleum,Aegonychon purpurocaeruleum,sp.,Aegonychon,Boraginaceae,Boraginales,Magnoliopsida,tracheophytes,Yes
Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria,Aegopodium podagraria,sp.,Aegopodium,Apiaceae,Apiales,Magnoliopsida,tracheophytes,No
Aeonium glandulosum,Aeonium glandulosum,Aeonium glandulosum,Aeonium glandulosum,Aeonium glandulosum,sp.,Aeonium,Crassulaceae,Saxifragales,Magnoliopsida,tracheophytes,No
Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,Aethionema saxatile,sp.,Aethionema,Brassicaceae,Brassicales,Magnoliopsida,tracheophytes,Yes
Aethionema marginatum,Aethionema marginatum,Aethionema saxatile subsp. ovalifolium,Aethionema saxatile subsp. ovalifolium,Aethionema saxatile,subsp.,Aethionema,Brassicaceae,Brassicales,Magnoliopsida,tracheophytes,Yes
Aethionema thomasianum,Aethionema saxatile subsp. thomasianum,Aethionema thomasianum,Aethionema thomasianum,Aethionema thomasianum,sp.,Aethionema,Brassicaceae,Brassicales,Magnoliopsida,tracheophytes,Yes
Aethusa cynapium,Aethusa cynapium,Aethusa cynapium,Aethusa cynapium,Aethusa cynapium,sp.,Aethusa,Apiaceae,Apiales,Magnoliopsida,tracheophytes,Yes
Ageratina adenophora,Ageratina adenophora,Ageratina adenophora,Ageratina adenophora,Ageratina adenophora,sp.,Ageratina,Asteraceae,Asterales,Magnoliopsida,tracheophytes,No
Agrimonia eupatorta,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,sp.,Agrimonia,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,Agrimonia eupatoria,sp.,Agrimonia,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Agrimonia eupatoria subsp. eupatoria,Agrimonia eupatoria subsp. eupatoria,Agrimonia eupatoria subsp. eupatoria,Agrimonia eupatoria subsp. eupatoria,Agrimonia eupatoria,subsp.,Agrimonia,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Agrimonia procera,Agrimonia procera,Agrimonia procera,Agrimonia procera,Agrimonia procera,sp.,Agrimonia,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Agropyron,Agropyron,Agropyron,Agropyron,Agropyron,gen.,Agropyron,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostemma githago,Agrostemma githago,Agrostemma githago,Agrostemma githago,Agrostemma githago,sp.,Agrostemma,Caryophyllaceae,Caryophyllales,Magnoliopsida,tracheophytes,Yes
Agrostis,Agrostis,Agrostis,Agrostis,Agrostis,gen.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis x,Agrostis,Agrostis,Agrostis,Agrostis,gen.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis alpina,Agrostis alpina,Agrostis alpina,Agrostis alpina,Agrostis alpina,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis canina,Agrostis canina,Agrostis canina,Agrostis canina,Agrostis canina,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
