TaxonConcept,AccordingTo,TaxonRank,Hybrid,EIVE1-M,EIVE1-M.nw3,EIVE1-M.n,EIVE1-N,EIVE1-N.nw3,EIVE1-N.n,EIVE1-R,EIVE1-R.nw3,EIVE1-R.n,EIVE1-L,EIVE1-L.nw3,EIVE1-L.n,EIVE1-T,EIVE1-T.nw3,EIVE1-T.n
Rosa x nitidula,addition,hyb.-sp.,TRUE,"3,6","2,7",4,"3,4","2,8",2,"7,5","2,1",3,"8,0","2,5",3,"4,2","3,2",4
Rosa x pervirens,addition,hyb.-sp.,TRUE,"3,3","2,5",1,"3,9","2,0",1,"7,3","1,9",1,"8,2","2,0",1,"6,2","2,1",1
Rosa x spaethiana,addition,hyb.-sp.,TRUE,"6,2","2,5",1,"6,1","1,8",1,"5,1","1,7",1,"6,1","1,6",1,"3,4","1,9",1
Rosa x verticillantha,addition,hyb.-sp.,TRUE,"4,1","2,5",1,"5,1","2,0",1,"4,9","1,9",1,"8,2","2,0",1,"4,2","2,1",1
Rosmarinus officinalis,Euro+Med,Species,,"2,0","2,5",2,"2,3","2,6",2,"7,0","2,7",2,"7,4","5,1",2,"6,6","2,3",2
Rostraria cristata,Euro+Med,Species,,"2,3","4,7",10,"3,6","5,7",8,"7,5","4,6",8,"8,2","4,0",8,"5,4","5,7",8
Rostraria hispida,Euro+Med,Species,,"4,2","2,2",1,"1,9","2,0",1,"8,8","1,9",1,"7,0","1,9",1,"6,4","2,3",1
Rostraria obtusiflora,Euro+Med,Species,,"1,1","2,2",1,"6,0","2,0",1,"8,4","2,2",1,"8,7","2,0",1,"8,1","1,9",1
Rostraria pubescens,Euro+Med,Species,,"4,2","2,2",1,"1,9","2,0",1,"8,8","1,9",1,"7,0","1,9",1,"6,4","2,3",1
Rostraria smyrnacea,Euro+Med,Species,,"3,6","4,4",1,"4,9","2,0",1,"8,4","2,2",1,"8,7","2,0",1,"8,1","1,9",1
Rosularia serrata,Euro+Med,Species,,"1,1","4,4",1,"4,9","2,0",1,"8,4","1,1",1,"8,7","2,0",1,"6,6","3,8",1
Rotala densiflora,Euro+Med,Species,,"7,5","2,2",1,"7,7","2,0",1,"5,3","1,9",1,"7,0","1,9",1,"6,4","2,3",1
Rotala filiformis,Euro+Med,Species,,"7,5","2,2",1,"7,7","2,0",1,"5,3","1,9",1,"7,0","1,9",1,"6,4","2,3",1
Rotala indica,Euro+Med,Species,,"7,5","2,2",1,"7,7","2,0",1,"5,3","1,9",1,"7,0","1,9",1,"6,4","2,3",1
Rotala ramosior,Euro+Med,Species,,"7,5","2,2",1,"7,7","2,0",1,"5,3","1,9",1,"7,0","1,9",1,"6,4","2,3",1
Rouya polygama,Euro+Med,Species,,"2,5","2,2",1,"4,2","2,0",1,"5,3","1,9",1,"9,4","1,9",1,"9,1","2,3",1
Rubia peregrina,Euro+Med,Species,,"3,1","3,8",9,"3,4","3,9",9,"6,3","4,3",8,"5,8","3,8",9,"6,8","3,9",8
Rubia peregrina subsp. peregrina,Euro+Med,Subspecies,,"3,3","2,5",1,"2,8","2,0",1,"6,1","1,9",1,"4,5","2,0",1,"5,2","2,1",1
Rubia tatarica,Euro+Med,Species,,"5,9","3,5",1,,,,,,,,,,,,
Rubia tenuifolia,Euro+Med,Species,,"3,2","6,5",1,"5,2","5,9",1,"8,4","2,2",1,"6,3","2,0",1,"8,1","3,8",1
Rubia tinctorium,Euro+Med,Species,,"3,6","4,3",8,"4,8","7,3",7,"6,7","4,6",5,"7,1","5,0",6,"6,2","4,4",7
Rubrivena polystachya,Euro+Med,Species,,"4,4","3,6",4,"7,4","3,3",4,"5,0","2,4",3,"7,0","3,9",4,"5,1","3,4",3
Rubus acanthodes,Euro+Med,Species,,"4,3","2,3",2,"4,3","1,9",2,"4,7","2,0",2,"6,9","2,1",2,"2,8","2,4",2
Rubus adscitus,Euro+Med,Species,,"4,2","3,0",3,"5,6","6,9",2,"4,1","3,2",3,"4,9","2,6",2,"4,8","3,1",3
Rubus adspersus,Euro+Med,Species,,"4,3","2,3",1,"4,3","1,9",1,"2,3","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus albiflorus,Euro+Med,Species,,"4,5","2,6",3,"5,3","2,3",3,"5,7","2,2",3,"8,0","2,3",3,"5,3","2,6",3
Rubus allegheniensis,Euro+Med,Species,,"4,3","2,5",1,"4,0","1,8",1,"5,1","1,7",1,"7,4","1,6",1,"4,8","1,9",1
Rubus amiantinus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"5,9","1,9",1,"8,2","2,1",1,"4,6","2,3",1
Rubus amisiensis,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"3,5","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus ammobius,Euro+Med,Species,,"4,3","2,5",1,"3,2","2,3",1,"2,4","1,9",1,"8,2","2,1",1,"3,7","2,3",1
Rubus ammobius subsp. ammobius,Euro+Med,Subspecies,,"4,3","2,3",1,"3,2","1,9",1,"2,3","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus amphimalacus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"7,0","1,9",1,"8,2","2,1",1,"4,6","2,3",1
Rubus amphistrophos,Euro+Med,Species,,"4,8","1,9",1,"5,0","2,0",1,"5,4","1,8",1,"7,6","1,8",1,"4,2","2,1",1
Rubus angustipaniculatus,Euro+Med,Species,,"4,3","0,4",1,"4,3","1,0",1,"5,1","1,7",1,"7,5","1,6",1,"4,6","0,3",1
Rubus anisacanthiopsis,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"5,9","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus anisacanthos,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"4,7","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus apricus,Euro+Med,Species,,"4,3","2,3",2,"4,3","1,9",2,"3,5","2,0",2,"6,9","2,1",2,"2,8","2,4",2
Rubus arcticus,Euro+Med,Species,,"5,3","4,6",5,"3,6","3,1",2,"4,9","5,2",2,"6,3","6,3",3,"2,1","3,5",2
Rubus arduennensis,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"5,9","2,0",2,"8,2","2,1",2,"4,6","2,4",2
Rubus armeniacus,Euro+Med,Species,,"4,2","2,4",4,"6,8","2,6",4,"6,4","5,1",3,"7,5","3,2",4,"4,9","3,2",4
Rubus arrhenii,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"3,5","2,0",2,"8,2","2,1",2,"3,7","2,4",2
Rubus atrichantherus,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"4,7","2,0",2,"8,2","2,1",2,"3,7","2,4",2
Rubus atrovinosus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,,,,"6,9","2,1",1,"1,8","2,3",1
Rubus axillaris,Euro+Med,Species,,"4,9","2,5",1,"7,1","1,8",1,"5,1","1,7",1,"4,8","1,6",1,"4,5","1,9",1
Rubus baruthicus,Euro+Med,Species,,"4,0","1,9",1,"7,3","2,0",1,"7,6","1,8",1,"7,6","1,8",1,"5,8","2,1",1
Rubus bavaricus,Euro+Med,Species,,"4,5","2,6",3,"5,3","4,4",3,"4,1","5,9",3,"6,4","3,0",3,"3,8","2,7",3
Rubus bertramii,Euro+Med,Species,,"4,4","2,6",4,"4,6","4,7",4,"3,3","3,7",4,"7,2","4,1",4,"3,8","2,7",3
Rubus betckei,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"4,7","1,9",1,"6,9","2,1",1,"3,6","2,3",1
Rubus bifrons,Euro+Med,Species,,"4,0","2,7",9,"5,8","3,6",7,"5,3","4,1",8,"7,5","2,8",7,"4,7","2,1",7
Rubus boraeanus,Euro+Med,Species,,"4,3","2,4",2,"5,1","2,0",1,"5,7","2,3",2,"5,7","2,0",1,"4,6","3,3",2
Rubus braeuckeri,Euro+Med,Species,,"4,3","2,3",2,"3,2","1,9",2,"2,4","2,0",2,"8,2","2,1",2,"3,7","2,4",2
Rubus braeuckeriformis,Euro+Med,Species,,"4,3","2,3",1,"4,3","1,9",1,"3,5","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus bregutiensis,Euro+Med,Species,,"4,2","2,5",3,"5,3","2,3",3,"5,7","2,2",3,"6,4","3,0",3,"4,1","3,4",3
Rubus buhnensis,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"4,7","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus caesius,Euro+Med,Species,,"5,4","5,2",23,"7,3","5,4",18,"7,2","3,9",21,"6,1","5,9",18,"4,4","3,4",20
Rubus caflischii,Euro+Med,Species,,"4,5","2,6",3,"6,0","3,5",3,"4,9","2,4",3,"7,1","2,4",3,"3,8","2,7",3
Rubus calvus,Euro+Med,Species,,"4,3","2,3",1,"4,3","1,9",1,"3,5","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus camptostachys,Euro+Med,Species,,"4,3","2,3",1,"4,5","5,8",1,"6,3","5,7",1,"8,2","2,1",1,"3,6","2,3",1
Rubus canadensis,Euro+Med,Species,,,,,,,,,,,"6,1","1,6",1,,,
Rubus canaliculatus,Euro+Med,Species,,"4,6","2,6",2,"4,6","2,5",2,"3,9","3,1",2,"6,8","4,1",2,"3,9","2,7",2
Rubus canescens,Euro+Med,Species,,"3,5","3,3",13,"5,2","3,1",9,"6,5","4,4",10,"7,9","4,1",9,"5,7","3,5",11
Rubus cardiophyllus,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"5,9","2,0",2,"8,2","2,1",2,"3,7","2,4",2
Rubus castellarnaui,Euro+Med,Species,,"3,4","1,4",1,"2,8","1,8",1,"2,2","1,6",1,"6,7","2,2",1,"6,4","1,6",1
Rubus chaerophyllus,Euro+Med,Species,,"4,2","2,5",3,"4,2","2,2",3,"3,6","2,1",3,"7,4","3,9",3,"2,9","2,8",3
Rubus chamaemorus,Euro+Med,Species,,"6,4","3,1",10,"0,8","3,2",7,"0,9","3,5",7,"8,0","6,1",7,"2,3","2,9",6
Rubus chloocladus,Euro+Med,Species,,"4,0","2,8",3,"5,3","2,2",2,"5,4","2,7",3,"7,0","4,1",2,"4,0","2,7",3
Rubus chlorothyrsos,Euro+Med,Species,,"4,1","3,6",5,"5,8","3,3",4,"4,7","3,5",5,"6,7","4,4",4,"4,2","3,5",4
Rubus christianseniorum,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"4,7","2,0",2,"6,9","2,1",2,"2,8","2,4",2
Rubus cimbricus,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"3,5","2,0",2,"8,2","2,1",2,"3,7","2,4",2
Rubus cinerascens,Euro+Med,Species,,"4,1","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"4,5","2,0",1,"3,3","2,1",1
Rubus circipanicus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"3,5","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus clusii,Euro+Med,Species,,"4,4","2,6",4,"5,3","2,3",4,"5,0","2,4",2,"7,7","2,8",4,"4,5","2,5",4
Rubus condensatus,Euro+Med,Species,,"4,5","2,6",3,"5,3","2,3",3,"4,2","3,0",3,"7,1","2,4",3,"4,1","3,4",3
Rubus confusidens,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"5,9","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus conothyrsoides,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"2,3","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus conspicuus,Euro+Med,Species,,"4,2","2,5",3,"5,3","2,3",3,"5,7","2,2",3,"8,0","2,3",3,"5,3","2,6",3
Rubus constrictus,Euro+Med,Species,,"4,2","2,5",3,"4,9","2,8",3,"6,1","4,8",3,"8,0","2,3",3,"4,4","3,3",3
Rubus contractipes,Euro+Med,Species,,"4,3","2,3",1,"4,3","1,9",1,"3,5","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus cordiformis,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"5,9","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus correctispinosus,Euro+Med,Species,,"4,3","2,3",2,"4,3","1,9",2,"3,5","2,0",2,"8,2","2,1",2,"3,7","2,4",2
Rubus crassidens,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"4,7","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus cuspidatus,Euro+Med,Species,,"4,6","2,6",2,"5,2","2,4",2,"7,3","2,3",2,"7,9","2,3",2,"4,8","2,7",2
Rubus dasyphyllus,Euro+Med,Species,,"4,6","3,0",2,"5,4","1,9",1,"4,3","3,2",2,"7,1","3,5",2,"4,1","3,1",2
Rubus decurrentispinus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"7,0","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus dethardingii,Euro+Med,Species,,"4,3","2,3",1,"6,5","1,9",1,"7,0","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus dissimulans,Euro+Med,Species,,"4,3","2,3",1,"3,2","1,9",1,"2,3","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus distractus,Euro+Med,Species,,"3,9","2,9",4,"4,9","5,1",4,"4,5","3,8",4,"6,8","4,1",4,"4,0","3,6",4
Rubus divaricatus,Euro+Med,Species,,"4,5","3,1",8,"4,9","4,5",7,"3,8","4,2",8,"6,7","3,8",7,"4,2","3,0",7
Rubus doerrii,Euro+Med,Species,,"4,8","1,9",1,"5,0","2,0",1,"5,4","1,8",1,"7,6","1,8",1,"4,2","2,1",1
Rubus dollnensis,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"4,7","2,0",2,"6,9","2,1",2,"3,7","2,4",2
Rubus drejeri,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"5,9","2,0",2,"8,2","2,1",2,"3,7","2,4",2
