TaxonConcept,AccordingTo,TaxonRank,Hybrid,EIVE1-M,EIVE1-M.nw3,EIVE1-M.n,EIVE1-N,EIVE1-N.nw3,EIVE1-N.n,EIVE1-R,EIVE1-R.nw3,EIVE1-R.n,EIVE1-L,EIVE1-L.nw3,EIVE1-L.n,EIVE1-T,EIVE1-T.nw3,EIVE1-T.n
Anoda cristata,Euro+Med,Species,,"4,5","6,7",2,"6,9","5,3",2,"5,3","1,9",2,"7,9","2,3",2,"6,1","3,2",2
Anogramma leptophylla,Euro+Med,Species,,"2,9","5,2",8,"2,9","5,4",8,"5,7","6,2",8,"5,2","5,2",8,"6,0","7,1",7
Anredera cordifolia,Euro+Med,Species,,"5,0","2,2",1,"6,5","2,0",1,,,,"9,4","1,9",1,"6,4","2,3",1
Antennaria alpina,Euro+Med,Species,,"4,3","1,8",2,"1,9","1,8",1,"7,4","1,7",1,"8,7","1,6",1,"0,6","1,9",1
Antennaria carpatica,Euro+Med,Species,,"4,6","3,2",8,"2,1","2,6",6,"5,7","3,0",7,"8,3","2,4",6,"0,7","2,1",7
Antennaria caucasica,Euro+Med,Species,,"4,4","2,0",1,"3,4","1,4",1,"5,7","1,2",1,"5,4","1,7",1,"2,5","1,6",1
Antennaria dioica,Euro+Med,Species,,"3,5","2,9",26,"2,3","4,3",19,"3,4","3,8",22,"7,7","2,8",19,"2,9","4,9",16
Antennaria villifera,Euro+Med,Species,,"6,2","2,5",1,"1,9","1,8",1,"8,6","1,7",1,"7,4","1,6",1,"0,6","1,9",1
Anthemis abrotanifolia,Euro+Med,Species,,"1,9","4,4",1,,,,,,,"8,7","2,0",1,"6,6","3,8",1
Anthemis aetnensis,Euro+Med,Species,,"1,7","2,2",1,"0,8","2,0",1,"0,6","1,9",1,"9,4","1,9",1,"2,0","2,3",1
Anthemis ammanthus subsp. ammanthus,Euro+Med,Subspecies,,"1,1","4,4",1,"6,0","2,0",1,"9,8","1,1",1,"8,7","2,0",1,"8,1","1,9",1
Anthemis ammanthus subsp. paleacea,Euro+Med,Subspecies,,"1,1","4,4",1,"6,0","2,0",1,"9,8","1,1",1,"9,8","2,0",1,"8,1","1,9",1
Anthemis arvensis,Euro+Med,Species,,"3,6","3,0",19,"5,7","4,7",17,"4,5","4,6",18,"7,1","2,6",16,"4,6","3,7",17
Anthemis arvensis agg.,addition,Species Aggregate.,,"3,1","3,9",1,"2,6","2,0",1,"5,4","3,6",1,"7,6","1,8",1,"5,0","4,2",1
Anthemis arvensis subsp. arvensis,Euro+Med,Subspecies,,"3,4","5,8",3,"5,8","3,0",3,"5,0","4,6",3,"7,9","3,1",3,"5,8","6,3",3
Anthemis arvensis subsp. glabra,Euro+Med,Subspecies,,"4,1","2,5",1,"6,3","2,0",1,"6,1","1,9",1,"8,2","2,0",1,"5,2","2,1",1
Anthemis arvensis subsp. incrassata,Euro+Med,Subspecies,,"2,9","4,3",4,"5,0","4,5",4,"5,1","4,6",4,"7,8","2,9",4,"6,2","5,3",4
Anthemis arvensis subsp. sphacelata,Euro+Med,Subspecies,,"3,3","2,5",1,"5,1","2,0",1,"3,8","1,9",1,"7,0","2,0",1,"5,2","2,1",1
Anthemis chia,Euro+Med,Species,,"2,2","5,5",2,"7,4","2,4",2,"7,1","2,2",1,"7,3","2,3",2,"7,0","4,5",2
Anthemis cotula,Euro+Med,Species,,"3,7","4,0",21,"6,1","4,7",19,"6,1","5,1",16,"7,3","3,2",18,"5,0","3,6",19
Anthemis cretica,Euro+Med,Species,,"2,9","4,9",2,"2,4","4,8",2,"6,3","4,1",2,"8,2","4,0",2,"2,6","3,4",2
Anthemis cretica subsp. carpatica,Euro+Med,Subspecies,,"3,4","3,0",5,"2,3","4,0",4,"4,8","3,1",5,"8,1","3,4",4,"2,1","3,7",5
Anthemis cretica subsp. columnae,Euro+Med,Subspecies,,"3,2","3,9",2,"2,1","2,9",2,"3,5","4,1",2,"7,9","2,3",2,"1,9","3,2",2
Anthemis cretica subsp. cretica,Euro+Med,Subspecies,,"2,4","4,3",2,"5,2","5,9",1,"7,2","2,2",2,"8,7","2,0",1,"6,2","3,8",2
Anthemis cretica subsp. gerardiana,Euro+Med,Subspecies,,"2,8","4,8",2,"2,1","2,9",2,"2,3","5,0",2,"8,5","3,3",2,"3,6","6,3",2
Anthemis cretica subsp. iberica,Euro+Med,Subspecies,,"1,6","2,0",1,"4,9","1,4",1,"7,1","1,2",1,"9,5","1,7",1,"2,5","1,6",1
Anthemis cretica subsp. pyrethriformis,Euro+Med,Subspecies,,"2,9","2,1",1,,,,"5,4","1,7",1,,,,"1,5","2,2",1
Anthemis cretica subsp. saxatilis,Euro+Med,Subspecies,,"4,1","2,5",1,"1,6","2,0",1,"1,5","1,9",1,"9,5","2,0",1,"1,3","2,1",1
Anthemis cupaniana,Euro+Med,Species,,"4,2","2,2",1,"3,1","2,0",1,"7,6","1,9",1,"4,7","1,9",1,"5,5","2,3",1
Anthemis filicaulis,Euro+Med,Species,,"1,1","4,4",1,"6,0","2,0",1,"9,8","1,1",1,"8,7","2,0",1,"8,1","1,9",1
Anthemis glaberrima,Euro+Med,Species,,"1,9","4,4",1,"6,0","2,0",1,"9,8","1,1",1,"8,7","2,0",1,"8,1","1,9",1
Anthemis hydruntina,Euro+Med,Species,,"1,7","2,2",1,"1,9","2,0",1,"6,5","1,9",1,"9,4","1,9",1,"8,2","2,3",1
Anthemis ismelia,Euro+Med,Species,,"2,5","2,2",1,"1,9","2,0",1,"8,8","1,9",1,"5,9","1,9",1,"7,3","2,3",1
Anthemis maritima,Euro+Med,Species,,"3,3","2,4",2,"4,7","2,8",2,"7,3","1,9",1,"9,4","2,0",2,"7,7","2,9",2
Anthemis maritima subsp. maritima,Euro+Med,Subspecies,,"3,3","2,5",1,"5,1","2,0",1,"7,3","1,9",1,"9,5","2,0",1,"8,1","2,1",1
Anthemis muricata,Euro+Med,Species,,"1,7","2,2",1,"1,9","2,0",1,"6,5","1,9",1,"9,4","1,9",1,"8,2","2,3",1
Anthemis peregrina,Euro+Med,Species,,,,,,,,,,,"8,7","2,0",1,,,
Anthemis peregrina subsp. peregrina,Euro+Med,Subspecies,,"0,9","2,2",1,"0,8","2,0",1,,,,"9,4","1,9",1,"7,3","2,3",1
Anthemis pseudocotula,Euro+Med,Species,,"3,2","6,5",1,"7,2","2,0",1,"8,4","2,2",1,"8,7","2,0",1,"7,6","3,8",1
Anthemis rhodensis,Euro+Med,Species,,"0,3","4,4",1,"1,4","2,0",1,"8,4","2,2",1,"8,7","2,0",1,"8,1","1,9",1
Anthemis rigida,Euro+Med,Species,,"3,3","2,5",1,"7,5","2,0",1,"6,1","1,9",1,"7,0","2,0",1,"7,2","2,1",1
Anthemis rigida subsp. ammanthiformis,Euro+Med,Subspecies,,,,,,,,,,,"8,7","2,0",1,,,
Anthemis rigida subsp. liguliflora,Euro+Med,Subspecies,,"1,1","4,4",1,"6,0","2,0",1,"8,4","2,2",1,"8,7","2,0",1,"8,6","1,9",1
Anthemis rigida subsp. rigida,addition,,,"3,2","6,5",1,"6,0","2,0",1,"7,7","6,7",1,"8,7","2,0",1,"6,6","3,8",1
Anthemis ruthenica,Euro+Med,Species,,"2,9","3,5",15,"3,8","3,9",10,"5,7","4,4",11,"7,9","3,4",11,"5,2","2,8",13
Anthemis scopulorum,Euro+Med,Species,,"2,8","4,4",1,,,,"9,8","1,1",1,"9,8","2,0",1,"8,1","1,9",1
Anthemis secundiramea,Euro+Med,Species,,"3,3","4,0",2,"6,4","3,8",2,"6,9","2,6",2,"9,4","2,0",2,"8,1","4,0",2
Anthemis secundiramea subsp. urvilleana,Euro+Med,Subspecies,,"1,7","2,2",1,"5,4","2,0",1,"7,6","1,9",1,"9,4","1,9",1,"8,2","2,3",1
Anthemis sterilis,Euro+Med,Species,,"1,7","4,4",1,"2,0","3,8",1,"7,2","3,0",1,"8,1","2,3",1,"6,2","0,6",1
Anthemis tomentella,Euro+Med,Species,,"1,9","4,4",1,"3,7","2,0",1,"9,8","1,1",1,"8,7","2,0",1,"6,6","3,8",1
Anthemis tomentosa,Euro+Med,Species,,"3,5","5,8",2,"7,3","2,2",2,"8,5","3,2",2,"9,7","2,3",2,"7,6","2,8",2
Anthericum liliago,Euro+Med,Species,,"2,7","2,7",17,"2,6","4,0",14,"6,2","3,8",16,"7,1","3,1",13,"4,9","3,1",16
Anthericum ramosum,Euro+Med,Species,,"3,1","3,1",21,"3,3","3,9",15,"7,2","2,7",18,"6,5","3,9",15,"4,5","3,3",18
Anthoxanthum alpinum,Euro+Med,Species,,"4,6","3,1",10,"3,2","4,0",10,"3,4","4,4",10,"7,2","2,4",10,"1,8","3,1",10
Anthoxanthum amarum,Euro+Med,Species,,"5,9","2,7",2,"2,3","2,9",2,"2,2","3,5",2,"7,8","2,4",2,"4,8","3,7",2
Anthoxanthum aristatum,Euro+Med,Species,,"3,2","5,1",7,"3,4","3,6",10,"2,1","3,0",10,"6,9","3,1",10,"5,0","3,1",9
Anthoxanthum australe,Euro+Med,Species,,"4,2","2,2",1,"5,4","2,0",1,"7,6","1,9",1,"5,9","1,9",1,"4,7","2,3",1
Anthoxanthum gracile,Euro+Med,Species,,"2,7","4,6",2,"4,0","3,6",2,"5,6","4,6",2,"7,9","3,3",2,"7,0","3,0",2
Anthoxanthum nitens,addition,,,"7,5","2,2",1,"5,4","2,0",1,"4,1","1,9",1,"5,9","1,9",1,"2,9","2,3",1
Anthoxanthum odoratum,Euro+Med,Species,,"4,6","4,7",23,"3,8","5,8",21,"4,3","3,8",24,"7,0","3,7",17,"4,1","5,5",16
Anthoxanthum odoratum agg.,addition,Species Aggregate.,,"4,6","5,0",4,"3,6","4,3",3,"4,5","4,4",4,"7,1","2,5",3,"3,8","5,2",4
Anthoxanthum ovatum,Euro+Med,Species,,"2,5","2,2",1,"2,3","2,6",2,"4,9","3,5",2,"7,0","1,9",1,"7,3","3,5",2
Anthoxanthum pauciflorum,Euro+Med,Species,,"5,3","4,4",1,"2,6","2,0",1,"7,1","2,2",1,"8,7","2,0",1,"6,1","1,9",1
Anthriscus caucalis,Euro+Med,Species,,"4,2","3,2",19,"7,1","4,3",17,"6,1","4,0",17,"7,0","3,5",16,"5,1","3,5",17
Anthriscus cerefolium,Euro+Med,Species,,"4,2","2,8",16,"8,5","4,9",12,"6,7","4,0",10,"5,9","3,0",12,"5,4","2,6",15
Anthriscus nitidus,Euro+Med,Species,,"5,2","3,2",16,"8,0","4,0",11,"7,3","3,2",14,"3,7","4,1",11,"3,0","3,2",13
Anthriscus ruprechtii,Euro+Med,Species,,"4,4","2,0",1,"4,9","1,4",1,"5,7","1,2",1,"7,4","1,7",1,"2,5","1,6",1
Anthriscus sylvestris,Euro+Med,Species,,"4,5","3,1",27,"8,2","4,0",20,"6,4","4,4",20,"6,4","5,1",19,"3,8","4,2",17
Anthriscus sylvestris agg.,addition,Species Aggregate.,,"5,6","3,9",1,"7,3","4,0",1,"7,6","3,6",1,"7,2","5,5",1,"4,2","6,3",1
Anthriscus sylvestris subsp. alpinus,Euro+Med,Subspecies,,"4,2","2,5",2,"7,5","4,1",2,"6,8","6,5",2,"7,6","3,1",2,"3,1","8,5",2
Anthriscus sylvestris subsp. nemorosus,Euro+Med,Subspecies,,"4,0","3,9",4,"5,5","2,8",3,"6,1","3,2",3,"2,8","3,5",3,"4,0","5,0",4
Anthriscus sylvestris subsp. stenophyllus,Euro+Med,Subspecies,,"4,3","2,3",1,"8,8","1,9",1,"6,3","5,7",1,"6,9","2,1",1,"3,9","7,0",1
Anthriscus sylvestris subsp. sylvestris,Euro+Med,Subspecies,,"4,3","2,3",1,"8,8","1,9",1,"6,3","5,7",1,"6,9","2,1",1,"3,9","7,0",1
Anthriscus tenerrimus,Euro+Med,Species,,"2,8","4,4",1,"3,7","2,0",1,"7,1","2,2",1,"5,1","2,0",1,"7,6","1,9",1
Anthyllis barba-jovis,Euro+Med,Species,,"3,3","4,0",2,"4,7","4,8",2,"6,9","3,2",2,"8,8","3,0",2,"8,2","2,3",2
Anthyllis cytisoides,Euro+Med,Species,,"1,5","2,5",1,"3,9","2,0",1,"8,4","1,9",1,"8,2","2,0",1,"7,2","2,1",1
Anthyllis hermanniae,Euro+Med,Species,,"1,7","4,7",3,"2,8","3,4",3,"5,0","6,2",3,"8,3","3,6",3,"5,9","7,6",3
Anthyllis montana,Euro+Med,Species,,"2,2","3,4",4,"2,7","3,1",4,"9,3","3,1",4,"8,6","3,2",4,"4,8","2,9",4
Anthyllis montana subsp. jacquinii,Euro+Med,Subspecies,,"2,2","3,0",2,"3,1","2,7",2,"9,3","2,4",2,"7,1","3,2",2,"4,3","1,4",2
Anthyllis montana subsp. montana,Euro+Med,Subspecies,,"3,3","2,5",1,"1,6","2,0",1,"9,6","1,9",1,"9,5","2,0",1,"5,2","2,1",1
Anthyllis splendens,addition,,,"1,9","4,4",1,"6,0","2,0",1,"8,4","2,2",1,"8,7","2,0",1,"7,6","1,9",1
Anthyllis variegata,Euro+Med,Species,,"4,4","2,0",1,"3,4","1,4",1,"5,7","1,2",1,"5,4","1,7",1,"2,5","1,6",1
Anthyllis vulneraria,Euro+Med,Species,,"3,1","3,2",21,"2,9","3,7",17,"7,3","3,0",18,"8,1","2,1",15,"4,2","3,3",16
Anthyllis vulneraria subsp. alpestris,Euro+Med,Subspecies,,"3,4","3,6",10,"2,5","3,6",7,"8,0","2,8",9,"7,9","2,2",7,"2,0","3,5",9
Anthyllis vulneraria subsp. boissieri,Euro+Med,Subspecies,,"3,7","4,2",2,"3,0","3,5",2,"6,4","4,2",2,"6,7","4,5",2,"4,0","4,6",2
Anthyllis vulneraria subsp. carpatica,Euro+Med,Subspecies,,"3,5","3,3",6,"2,6","3,1",4,"7,2","2,6",5,"7,9","2,3",5,"4,1","2,9",5
Anthyllis vulneraria subsp. forondae,Euro+Med,Subspecies,,"3,0","2,1",2,"2,2","2,8",2,"7,4","4,0",2,"7,8","2,2",2,"3,3","4,3",2
Anthyllis vulneraria subsp. maritima,Euro+Med,Subspecies,,"2,7","2,3",1,"2,1","1,9",1,"7,0","1,9",1,"8,2","2,1",1,"4,6","2,3",1
Anthyllis vulneraria subsp. polyphylla,Euro+Med,Subspecies,,"3,2","3,8",11,"2,8","4,0",7,"7,2","3,9",8,"7,0","5,4",7,"4,3","3,6",9
Anthyllis vulneraria subsp. pulchella,Euro+Med,Subspecies,,"3,7","1,1",1,"3,6","6,6",1,"7,2","3,0",1,"7,4","1,2",1,"3,6","0,6",1
Anthyllis vulneraria subsp. pyrenaica,Euro+Med,Subspecies,,"2,9","1,4",1,"1,8","1,8",1,"7,1","1,6",1,"8,1","2,2",1,"3,3","1,6",1
Anthyllis vulneraria subsp. rubriflora,Euro+Med,Subspecies,,"2,5","3,7",2,"3,2","2,9",2,"8,0","2,7",2,"7,5","2,0",2,"6,6","4,1",2
Anthyllis vulneraria subsp. vulneraria,addition,,,"2,5","2,6",2,"1,8","2,3",2,"7,1","2,1",2,"8,2","2,1",2,"4,4","2,6",2
Anthyllis vulneraria subsp. vulnerarioides,Euro+Med,Subspecies,,"3,1","3,5",3,"2,4","2,8",3,"7,7","4,5",3,"8,7","3,1",3,"2,4","3,3",3
Anthyllis vulneraria subsp. weldeniana,Euro+Med,Subspecies,,"2,3","1,9",1,"2,6","2,0",1,"7,6","1,8",1,"7,6","1,8",1,"3,4","2,1",1
Antinoria agrostidea,Euro+Med,Species,,"7,8","2,0",2,"2,8","2,0",1,"4,1","3,2",2,"7,9","2,5",2,"4,5","3,2",2
Antinoria agrostidea subsp. agrostidea,Euro+Med,Subspecies,,"7,7","2,5",1,"2,8","2,0",1,"4,9","1,9",1,"8,2","2,0",1,"5,2","2,1",1
Antinoria insularis,Euro+Med,Species,,"6,8","4,6",3,"4,4","3,6",3,"4,1","3,6",3,"8,8","2,8",3,"6,5","2,0",3
Antirrhinum braun-blanquetii,Euro+Med,Species,,"2,1","2,5",2,"1,8","3,7",2,"7,9","2,1",2,"8,8","3,2",2,"6,0","3,5",2
Antirrhinum latifolium,Euro+Med,Species,,"2,4","3,4",2,"2,9","5,6",2,"7,6","1,8",1,"8,5","3,3",2,"6,1","2,7",2
Antirrhinum majus,Euro+Med,Species,,"3,6","4,2",13,"6,3","3,2",12,"7,1","2,8",10,"7,2","3,5",12,"5,9","3,6",11
Antirrhinum majus agg.,addition,Species Aggregate.,,"3,1","1,9",1,"5,0","2,0",1,"7,6","3,6",1,"7,6","1,8",1,"5,8","2,1",1
Antirrhinum majus subsp. majus,Euro+Med,Subspecies,,"4,1","2,5",1,"7,5","2,0",1,"7,3","1,9",1,"4,5","2,0",1,"6,2","2,1",1
Antirrhinum majus subsp. tortuosum,Euro+Med,Subspecies,,"2,9","4,9",2,"6,4","3,8",2,"7,3","1,9",1,"6,9","6,0",2,"7,2","4,1",2
Antirrhinum meonanthum,Euro+Med,Species,,"2,4","1,4",1,"1,8","1,8",1,"6,2","1,6",1,"8,1","2,2",1,"5,2","1,6",1
Antirrhinum siculum,Euro+Med,Species,,"1,7","2,2",1,"0,8","2,0",1,,,,"9,4","1,9",1,"8,2","2,3",1
Apera interrupta,Euro+Med,Species,,"3,0","3,9",14,"3,0","5,7",12,"4,9","4,5",13,"8,6","3,9",11,"5,1","3,2",12
Apera spica-venti,Euro+Med,Species,,"4,1","4,2",19,"5,2","6,8",13,"4,3","3,7",17,"6,5","4,0",16,"4,4","3,3",14
Apera spica-venti subsp. maritima,Euro+Med,Subspecies,,"2,4","3,8",2,"3,1","3,8",1,"5,7","3,2",2,"8,1","2,3",1,"5,0","3,4",2
Apera spica-venti subsp. spica-venti,Euro+Med,Subspecies,,"4,7","3,2",2,"6,3","2,0",1,"4,1","2,1",2,"8,2","2,0",1,"4,2","6,6",2
Aphanes arvensis,Euro+Med,Species,,"4,4","4,1",20,"4,8","4,1",18,"4,6","4,5",16,"6,5","3,4",17,"4,7","3,3",18
Aphanes arvensis agg.,addition,Species Aggregate.,,"3,7","4,3",2,"3,5","3,4",2,"4,5","5,7",2,"7,2","2,5",2,"5,8","4,2",1
Aphanes australis,Euro+Med,Species,,"3,6","3,7",12,"3,9","3,7",11,"3,8","4,3",12,"7,4","3,3",10,"5,1","2,9",11
Aphanes cornucopioides,Euro+Med,Species,,"2,4","1,4",1,"4,9","1,8",1,"5,2","1,6",1,"8,1","2,2",1,"5,2","1,6",1
Aphanes floribunda,Euro+Med,Species,,"3,1","4,9",2,"5,1","3,6",2,"4,9","3,5",2,"7,8","2,6",2,"6,8","4,5",2
Aphanes microcarpa,Euro+Med,Species,,"3,3","2,8",6,"3,7","3,5",5,"4,2","2,7",5,"7,2","2,0",5,"5,4","2,5",5
Aphanes minutiflora,Euro+Med,Species,,"2,3","1,9",1,"4,3","4,9",2,"5,4","1,8",1,"8,1","2,8",2,"6,9","2,4",2
Aphanes pusilla,Euro+Med,Species,,"2,5","2,2",1,"1,9","2,0",1,"4,1","1,9",1,"8,2","1,9",1,"7,3","2,3",1
Aphyllanthes monspeliensis,Euro+Med,Species,,"2,8","4,5",5,"2,9","3,2",5,"6,1","3,3",5,"8,1","3,2",5,"5,8","3,5",5
Apios americana,Euro+Med,Species,,"5,7","2,1",2,"5,8","3,4",2,"5,3","1,9",2,"7,3","2,3",2,"6,1","3,2",2
Apium graveolens,Euro+Med,Species,,"6,1","4,9",15,"7,7","4,6",14,"7,1","3,8",15,"8,3","3,6",14,"5,3","4,1",14
Aposeris foetida,Euro+Med,Species,,"4,5","2,6",12,"5,4","3,3",7,"6,3","3,1",9,"3,5","3,6",8,"3,3","3,2",9
Aquilegia alpina,Euro+Med,Species,,"4,7","2,7",3,"6,3","3,8",3,"6,3","4,4",3,"6,4","5,7",3,"1,7","2,6",3
Aquilegia atrata,Euro+Med,Species,,"3,6","3,2",8,"3,1","2,7",6,"8,3","2,5",6,"5,7","3,1",6,"2,8","2,8",6
Aquilegia barbaricina,Euro+Med,Species,,"4,2","2,2",1,"3,1","2,0",1,"4,1","1,9",1,"5,9","1,9",1,"4,7","2,3",1
Aquilegia bertolonii,Euro+Med,Species,,"3,7","3,0",2,"2,9","2,4",2,"7,0","2,7",2,"6,7","5,1",2,"3,1","4,7",2
Aquilegia confusa,Euro+Med,Species,,"3,4","2,2",1,"1,9","2,0",1,"7,6","1,9",1,"8,2","1,9",1,"2,0","2,3",1
Aquilegia dichroa,Euro+Med,Species,,"7,5","1,4",1,"6,0","1,8",1,"5,2","1,6",1,"5,4","2,2",1,"6,4","1,6",1
Aquilegia discolor,Euro+Med,Species,,"3,9","3,0",2,"2,3","2,9",2,"7,4","2,3",2,"8,8","3,2",2,"2,2","2,2",2
Aquilegia dumeticola,Euro+Med,Species,,"3,3","2,4",2,"6,4","4,2",2,"7,5","2,2",2,"5,8","2,1",2,"5,9","4,5",2
Aquilegia einseleana,Euro+Med,Species,,"4,1","3,4",5,"3,3","3,8",4,"9,1","3,2",4,"7,2","3,4",4,"2,3","3,6",4
Aquilegia einseleana agg.,addition,Species Aggregate.,,"4,8","3,9",1,"2,6","2,0",1,"9,8","3,6",1,"7,6","3,7",1,"4,2","6,3",1
Aquilegia litardierei,Euro+Med,Species,,"5,9","2,5",1,"2,8","2,0",1,"4,9","1,9",1,"7,0","2,0",1,"2,3","2,1",1
Aquilegia magellensis,Euro+Med,Species,,"3,4","2,2",1,"5,4","2,0",1,"7,6","1,9",1,"4,7","1,9",1,"2,9","2,3",1
Aquilegia nigricans,Euro+Med,Species,,"4,0","3,5",6,"3,4","4,5",4,"5,9","4,8",5,"6,1","5,0",3,"3,1","4,0",5
Aquilegia nugorensis,Euro+Med,Species,,"4,2","2,2",1,"3,1","2,0",1,"6,5","1,9",1,"5,9","1,9",1,"2,9","2,3",1
Aquilegia pyrenaica,Euro+Med,Species,,"4,4","2,6",1,,,,,,,,,,,,
Aquilegia subscaposa,Euro+Med,Species,,"3,7","2,1",1,,,,"6,4","1,7",1,,,,"2,3","2,2",1
Aquilegia transsilvanica,Euro+Med,Species,,"4,1","3,9",2,"1,5","2,8",1,"5,4","5,0",2,"8,1","2,3",1,"2,2","2,0",2
Aquilegia vulgaris,Euro+Med,Species,,"4,0","3,3",25,"4,5","3,3",19,"7,0","3,4",22,"6,0","4,9",19,"4,4","3,2",21
Aquilegia vulgaris agg.,addition,Species Aggregate.,,"4,8","3,9",1,"2,6","4,0",1,"7,6","1,8",1,"5,4","3,7",1,"3,4","4,2",1
Aquilegia wittmanniana,Euro+Med,Species,,"4,4","2,0",1,"3,4","1,4",1,"5,7","1,2",1,"3,3","1,7",1,"2,5","1,6",1
Arabidopsis arenosa,Euro+Med,Species,,"3,4","3,1",17,"2,8","3,6",13,"6,0","4,2",14,"7,7","4,3",13,"4,1","3,5",10
Arabidopsis arenosa subsp. arenosa,Euro+Med,Subspecies,,"3,6","2,4",3,"2,4","2,5",2,"6,4","3,0",3,"8,2","4,1",2,"3,9","4,1",3
Arabidopsis arenosa subsp. borbasii,Euro+Med,Subspecies,,"3,8","2,4",4,"3,5","3,8",4,"6,9","3,2",4,"7,6","3,2",4,"3,4","5,2",4
Arabidopsis cebennensis,Euro+Med,Species,,"5,0","2,5",1,"6,3","2,0",1,"7,3","1,9",1,"5,7","2,0",1,"1,3","2,1",1
Arabidopsis halleri,Euro+Med,Species,,"4,9","2,6",15,"4,9","6,5",8,"3,5","3,5",13,"7,2","4,6",11,"3,0","3,7",12
Arabidopsis halleri subsp. halleri,Euro+Med,Subspecies,,"4,6","3,3",2,"3,3","7,2",2,"4,3","3,1",2,"7,6","3,1",2,"3,1","2,6",2
Arabidopsis halleri subsp. ovirensis,Euro+Med,Subspecies,,"5,1","3,1",2,"4,9","7,4",2,"4,4","4,4",2,"6,4","5,2",2,"2,6","1,7",2
Arabidopsis neglecta,Euro+Med,Species,,"4,8","3,0",5,"1,7","2,3",2,"4,4","2,6",3,"8,3","1,7",2,"1,0","2,2",3
Arabidopsis pedemontana,Euro+Med,Species,,"2,0","2,5",2,"2,3","2,6",2,"2,5","3,0",2,"9,6","2,2",2,"2,3","3,2",2
Arabidopsis petraea,Euro+Med,Species,,"3,2","4,1",13,"2,0","3,9",12,"8,0","4,4",12,"8,1","4,1",10,"2,5","4,1",10
Arabidopsis suecica,Euro+Med,Species,,"3,0","2,5",1,"2,9","1,8",1,"5,1","1,7",1,"8,7","1,6",1,"2,7","1,9",1
Arabidopsis thaliana,Euro+Med,Species,,"3,3","3,3",22,"4,1","4,5",19,"4,9","3,8",21,"7,0","4,4",18,"4,6","4,1",18
Arabis allionii,Euro+Med,Species,,"3,4","5,3",3,"5,2","5,7",2,"4,5","5,1",3,"6,2","5,0",2,"2,9","4,8",3
Arabis alpina,Euro+Med,Species,,"4,5","4,0",19,"3,1","3,3",15,"8,5","4,1",17,"7,4","3,5",14,"2,1","4,5",16
Arabis alpina subsp. alpina,Euro+Med,Subspecies,,"3,3","1,8",1,"2,9","1,9",1,"10,0","1,8",1,"7,5","1,7",1,"2,3","1,9",1
Arabis alpina subsp. caucasica,Euro+Med,Subspecies,,"3,2","4,7",4,"2,4","4,1",4,"7,9","4,0",4,"7,8","2,6",4,"4,3","6,8",4
Arabis auriculata,Euro+Med,Species,,"2,8","3,7",19,"3,2","3,5",16,"7,5","3,0",18,"7,3","3,8",15,"5,2","3,6",18
Arabis blepharophylla,addition,,,"4,3","2,5",1,"4,0","1,8",1,"7,4","1,7",1,"6,1","1,6",1,"5,2","1,9",1
Arabis caerulea,Euro+Med,Species,,"6,2","2,8",5,"3,9","3,1",5,"9,2","3,2",5,"8,5","2,9",5,"0,7","3,1",5
Arabis ciliata,Euro+Med,Species,,"4,1","2,7",8,"2,8","3,4",7,"8,9","4,0",7,"9,0","3,0",7,"1,4","4,0",7
Arabis collina,Euro+Med,Species,,"3,3","2,5",4,"3,0","4,5",3,"7,9","2,6",4,"7,5","2,4",3,"4,7","3,2",4
Arabis cretica,Euro+Med,Species,,"2,8","4,4",1,"2,6","2,0",1,"7,1","2,2",1,"7,5","2,0",1,"5,6","3,8",1
Arabis hirsuta,Euro+Med,Species,,"3,3","3,0",20,"3,4","4,3",14,"7,6","3,3",19,"7,0","3,1",18,"4,0","2,7",18
Arabis hirsuta agg.,addition,Species Aggregate.,,"3,9","4,7",6,"4,7","4,8",4,"7,3","3,6",5,"7,6","3,7",3,"4,3","3,6",5
Arabis hornungiana,Euro+Med,Species,,"3,5","5,4",2,"1,5","2,8",1,"6,6","3,4",2,"8,1","2,3",1,"2,2","2,0",2
Arabis nemorensis,Euro+Med,Species,,"5,4","5,2",6,"4,8","3,4",5,"6,6","3,0",6,"6,6","3,9",5,"4,7","3,0",6
Arabis nova,Euro+Med,Species,,"3,4","3,0",4,"4,0","8,1",3,"7,5","3,8",4,"6,8","3,0",3,"4,6","5,3",4
Arabis planisiliqua,Euro+Med,Species,,"4,9","3,9",6,"4,1","4,6",5,"7,1","3,6",5,"7,1","3,0",7,"5,2","3,7",7
Arabis procurrens,Euro+Med,Species,,"3,1","4,3",3,"3,0","5,4",2,"6,3","3,3",3,"5,5","3,9",2,"4,6","3,8",3
Arabis pumila,Euro+Med,Species,,"3,7","7,4",3,"2,2","2,5",3,"8,2","3,2",3,"9,2","3,0",3,"1,0","2,4",3
Arabis pumila agg.,addition,Species Aggregate.,,"3,1","3,9",1,"2,4","2,4",2,"8,5","5,1",2,"9,0","3,2",2,"0,9","2,2",2
Arabis rosea,Euro+Med,Species,,"2,0","3,1",2,"2,3","2,6",2,"5,4","1,8",1,"7,9","2,3",2,"6,1","3,2",2
Arabis sagittata,Euro+Med,Species,,"3,3","4,5",8,"3,5","5,2",6,"7,7","3,2",8,"7,1","4,2",7,"4,6","4,1",8
