Percentage synoptic table with fidelity {Phi coeff. C } (29 columns)
;;;34;56;56;127;47;43;10;14;100;5;59;34;69;41;12;80;188;34;24;206;16;71;169;39;228;30;145;144;427
Agrostis stolonifera; 0;   ;  ---;  ---;  ---;  ---;    40.9;  ---;  ---;  ---;  ---;  ---;  ---;     0.6;     5.8;  ---;  ---;     1.5;  ---;  ---;  ---;  ---;     4.6;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     5.2;
Veronica beccabunga; 0;   ;  ---;  ---;  ---;  ---;    40.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Setaria parviflora; 0;   ;  ---;  ---;  ---;  ---;    38.0;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Galinsoga quadriradiata; 0;   ;  ---;  ---;  ---;  ---;    37.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Setaria faberi; 0;   ;  ---;  ---;  ---;  ---;    35.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Symphyotrichum squamatum; 0;   ;  ---;  ---;  ---;  ---;    34.7;  ---;  ---;  ---;  ---;  ---;     8.8;  ---;    16.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Symphyotrichum lanceolatum; 0;   ;  ---;  ---;  ---;  ---;    32.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Salix salviifolia; 0;   ;  ---;  ---;  ---;  ---;    32.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Panicum dichotomiflorum; 0;   ;  ---;  ---;  ---;  ---;    32.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Rorippa palustris; 0;   ;  ---;  ---;  ---;  ---;    31.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Onopordum acanthium; 0;   ;  ---;  ---;  ---;  ---;  ---;    86.3;  ---;  ---;     5.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Reseda luteola; 0;   ;  ---;  ---;  ---;  ---;  ---;    47.9;  ---;  ---;    20.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Echium vulgare; 0;   ;  ---;  ---;    17.4;  ---;  ---;    42.5;  ---;  ---;    19.4;  ---;  ---;  ---;     0.7;    25.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.1;
Verbascum pulverulentum; 0;   ;  ---;  ---;     0.7;     0.3;  ---;    41.2;  ---;     4.8;    11.3;  ---;  ---;  ---;     8.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Centaurea langei; 0;   ;  ---;  ---;  ---;  ---;  ---;    39.5;  ---;  ---;     4.1;  ---;  ---;  ---;     3.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Rumex papillaris; 0;   ;  ---;  ---;  ---;  ---;  ---;    36.1;  ---;  ---;     8.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Dipsacus fullonum; 0;   ;    12.1;  ---;  ---;     8.7;  ---;    35.9;  ---;  ---;    17.6;  ---;  ---;  ---;    27.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Isatis tinctoria; 0;   ;  ---;  ---;  ---;  ---;  ---;    35.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.5;
Lactuca virosa; 0;   ;     6.7;  ---;  ---;     3.8;  ---;    35.3;    26.5;  ---;     5.4;  ---;  ---;  ---;     9.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     2.7;  ---;  ---;
Melilotus indicus; 0;   ;  ---;  ---;  ---;     1.4;  ---;    31.4;  ---;  ---;     0.3;  ---;  ---;  ---;     4.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.0;  ---;     2.5;
Cyanus segetum; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    91.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     4.1;  ---;  ---;  ---;  ---;
Papaver rhoeas; 0;   ;  ---;  ---;  ---;     0.8;  ---;    15.4;    66.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.7;  ---;     7.1;  ---;     3.7;
Lolium temulentum; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    59.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     2.4;  ---;  ---;  ---;  ---;
Anacyclus clavatus; 0;   ;  ---;  ---;  ---;  ---;  ---;     2.6;    57.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.2;  ---;    10.3;  ---;  ---;
Trifolium arvense; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    53.7;  ---;  ---;  ---;  ---;  ---;     0.1;  ---;  ---;  ---;  ---;  ---;     6.3;  ---;  ---;     3.2;     0.1;  ---;     1.8;  ---;  ---;  ---;  ---;
Viola arvensis; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    50.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.7;  ---;  ---;  ---;  ---;    15.2;  ---;  ---;  ---;  ---;
Vicia cracca; 0;   ;     1.0;  ---;  ---;  ---;     2.7;  ---;    48.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.7;  ---;     4.3;  ---;     0.8;
Scandix pecten-veneris; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    48.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.3;  ---;  ---;  ---;  ---;     3.0;  ---;  ---;  ---;     0.2;
Agrostemma githago; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    48.0;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     8.8;  ---;  ---;  ---;  ---;
Trifolium campestre; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    47.2;  ---;  ---;  ---;  ---;  ---;  ---;    11.2;  ---;  ---;  ---;  ---;     9.1;  ---;  ---;     0.6;  ---;  ---;  ---;  ---;     3.4;  ---;     0.9;
Vicia lutea; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    46.5;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    10.6;  ---;  ---;  ---;  ---;
Aphanes microcarpa; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    46.3;  ---;  ---;  ---;  ---;  ---;  ---;     6.1;  ---;  ---;  ---;  ---;  ---;     0.0;  ---;     2.2;  ---;  ---;    15.4;  ---;  ---;  ---;  ---;
Valerianella eriocarpa; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    44.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Neslia paniculata; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    43.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
