Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
192	511853	2	T-P11853	V37	9	
193	502591	2	T-P02591	V37	9	
194	512304	2	T-P12304	V37	9	
195	208744	2	Q-P08744	V37	9	
196	328994	2	R-P28994	V37	9	
197	417955	2	S-P17955	V37	9	
198	512300	2	T-P12300	V37	9	
199	417959	2	S-P17959	V37	9	
200	210024	2	Q-P10024	V37	9	
201	324048	2	R-P24048	V37	9	
202	417957	2	S-P17957	V37	9	
203	505176	2	T-P05176	V37	9	
204	315141	2	R-P15141	V37	9	
205	315134	2	R-P15134	V37	9	
206	315140	2	R-P15140	V37	9	
207	415120	2	S-P15120	V37	9	
208	324915	2	R-P24915	V37	9	
209	513244	2	T-P13244	V37	9	
210	420454	2	S-P20454	V37	9	
211	323988	2	R-P23988	V37	9	
212	417961	2	S-P17961	V37	9	
213	417958	2	S-P17958	V37	9	
214	503080	2	T-P03080	V37	9	
215	419649	2	S-P19649	V37	9	
216	415125	2	S-P15125	V37	9	
217	323984	2	R-P23984	V37	9	
218	417962	2	S-P17962	V37	9	
