Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
56	504816	6	T-P04816	V39	11	
57	209152	6	Q-P09152	V39	11	
58	523961	6	T-P23961	V39	11	
59	418288	6	S-P18288	V	11	
60	504819	6	T-P04819	V39	11	
61	418286	6	S-P18286	V39	11	
62	504820	6	T-P04820	V39	11	
63	503071	6	T-P03071	V	11	
64	523962	6	T-P23962	V39	11	
65	512041	6	T-P12041	V	11	
66	503074	6	T-P03074	V39	11	
67	315157	6	R-P15157	V39	11	
68	535973	6	T-P35973	V39	11	
69	606406	6	U-P06406	V39	11	
70	504813	6	T-P04813	V39	11	
71	506629	6	T-P06629	V39	11	
72	614255	6	U-P14255	?	11	
73	512268	6	T-P12268	V39	11	
74	606411	6	U-P06411	V39	11	
75	411134	6	S-P11134	V	11	
76	511883	6	T-P11883	V39	11	
77	418287	6	S-P18287	V39	11	
78	417971	7	S-P17971	V39	11	
79	600647	7	U-P00647	V39	11	
80	415141	7	S-P15141	?	11	
81	323935	7	R-P23935	V39	11	
82	513202	7	T-P13202	V39	11	
83	511650	7	T-P11650	V39	11	
84	210101	7	Q-P10101	V39	11	
85	511658	7	T-P11658	V39	11	
86	506609	7	T-P06609	V	11	
87	324675	7	R-P24675	V39	11	
88	209153	7	Q-P09153	V	11	
89	506562	7	T-P06562	V39	11	
90	210097	7	Q-P10097	V	11	
91	511583	7	T-P11583	+	11	
92	210098	7	Q-P10098	?	11	
93	536747	7	T-P36747	V39	11	
94	512280	7	T-P12280	V39	11	
95	506564	7	T-P06564	V39	11	
96	417969	7	S-P17969	V	11	
97	506624	7	T-P06624	V39	11	
98	411145	7	S-P11145	V39	11	
99	600122	7	U-P00122	V	11	
100	511656	7	T-P11656	V39	11	
101	421810	7	S-P21810	V39	11	
102	411140	7	S-P11140	V39	11	
103	419751	7	S-P19751	V39	11	
104	312717	7	R-P12717	V39	11	
105	506569	7	T-P06569	V39	11	
106	415137	7	S-P15137	?	11	
107	506622	7	T-P06622	V39	11	
108	506579	7	T-P06579	V39	11	
109	210104	7	Q-P10104	V39	11	
110	415152	7	S-P15152	V	11	
111	208751	7	Q-P08751	V39	11	
112	329004	7	R-P29004	V39	11	
113	511657	7	T-P11657	V39	11	
114	512278	7	T-P12278	V39	11	
115	506591	7	T-P06591	V39	11	
116	506585	7	T-P06585	V39	11	
117	506560	7	T-P06560	V39	11	
118	616708	7	U-P16708	V39	11	
119	210100	7	Q-P10100	V39	11	
120	506610	7	T-P06610	V39	11	
121	315154	7	R-P15154	V39	11	
122	616707	7	U-P16707	V39	11	
123	411143	7	S-P11143	V39	11	
124	512279	7	T-P12279	V39	11	
125	511661	7	T-P11661	V39	11	
126	210093	7	Q-P10093	?	11	
127	506614	7	T-P06614	V39	11	
128	411137	7	S-P11137	V39	11	
129	506572	7	T-P06572	V39	11	
130	208750	7	Q-P08750	V39	11	
131	506563	7	T-P06563	V	11	
132	506571	7	T-P06571	V39	11	
133	324674	7	R-P24674	V39	11	
134	506612	7	T-P06612	V39	11	
135	506616	7	T-P06616	V	11	
136	323936	7	R-P23936	V39	11	
137	208747	7	Q-P08747	V	11	
138	411138	7	S-P11138	V39	11	
139	506577	7	T-P06577	V39	11	
140	328996	7	R-P28996	V39	11	
141	513201	7	T-P13201	V39	11	
142	511873	7	T-P11873	V39	11	
143	506621	7	T-P06621	V39	11	
144	506625	7	T-P06625	V39	11	
145	506603	7	T-P06603	V39	11	
146	323934	7	R-P23934	V39	11	
147	512281	7	T-P12281	V39	11	
148	511872	7	T-P11872	V39	11	
149	209156	7	Q-P09156	V39	11	
150	511655	7	T-P11655	V39	11	
151	314808	7	R-P14808	?	11	
152	210090	7	Q-P10090	?	11	
153	421812	7	S-P21812	V39	11	
154	506568	7	T-P06568	V39	11	
155	324672	7	R-P24672	V39	11	
156	324673	7	R-P24673	V39	11	
157	511871	7	T-P11871	V39	11	
158	506618	7	T-P06618	V39	11	
159	505183	7	T-P05183	?	11	
160	506623	7	T-P06623	V39	11	
161	210103	7	Q-P10103	V39	11	
162	510797	7	T-P10797	V39	11	
163	210102	7	Q-P10102	V39	11	
164	506613	7	T-P06613	V39	11	
165	506561	7	T-P06561	V39	11	
166	506615	7	T-P06615	V39	11	
167	416234	8	S-P16234	V39	11	
168	210123	8	Q-P10123	V39	11	
169	208752	8	Q-P08752	V39	11	
170	536756	8	T-P36756	V39	11	
171	506549	8	T-P06549	V39	11	
172	323941	8	R-P23941	V39	11	
173	324664	8	R-P24664	V39	11	
174	512282	8	T-P12282	?	11	
175	411141	8	S-P11141	V39	11	
176	509642	8	T-P09642	V	11	
177	600649	8	U-P00649	V39	11	
178	416230	8	S-P16230	V39	11	
179	411144	8	S-P11144	V39	11	
180	324668	8	R-P24668	V39	11	
181	506544	8	T-P06544	V39	11	
182	209159	8	Q-P09159	V39	11	
183	509648	8	T-P09648	V39	11	
184	509650	8	T-P09650	V39	11	
185	210099	8	Q-P10099	V39	11	
186	322241	8	R-P22241	V39	11	
187	324667	8	R-P24667	V39	11	
188	324689	8	R-P24689	V39	11	
189	324656	8	R-P24656	V39	11	
190	536752	8	T-P36752	V39	11	
191	416231	8	S-P16231	V39	11	
192	506583	8	T-P06583	V39	11	
193	324663	8	R-P24663	V39	11	
194	506626	8	T-P06626	V39	11	
195	506550	8	T-P06550	V39	11	
196	323944	8	R-P23944	V39	11	
197	506584	8	T-P06584	V39	11	
198	511880	8	T-P11880	V39	11	
199	322244	8	R-P22244	V39	11	
200	513252	8	T-P13252	V39	11	
201	322246	8	R-P22246	V39	11	
202	506574	8	T-P06574	V39	11	
203	323945	8	R-P23945	V39	11	
204	509647	8	T-P09647	V39	11	
205	416233	8	S-P16233	V39	11	
206	416235	8	S-P16235	V39	11	
207	504812	8	T-P04812	V39	11	
208	506541	8	T-P06541	V39	11	
209	323994	8	R-P23994	V39	11	
210	329001	8	R-P29001	V	11	
211	511662	8	T-P11662	V39	11	
212	210126	8	Q-P10126	V	11	
213	511890	8	T-P11890	V39	11	
214	506567	8	T-P06567	V39	11	
215	509638	8	T-P09638	V39	11	
216	506593	8	T-P06593	V39	11	
217	324665	8	R-P24665	V39	11	
218	416229	8	S-P16229	V39	11	
219	509649	8	T-P09649	V39	11	
220	416228	8	S-P16228	V39	11	
221	324659	8	R-P24659	V39	11	
222	506547	8	T-P06547	V39	11	
223	615258	8	U-P15258	V39	11	
224	506542	8	T-P06542	V39	11	
225	323948	8	R-P23948	V39	11	
226	322243	8	R-P22243	V39	11	
227	210095	8	Q-P10095	?	11	
228	536755	8	T-P36755	V39	11	
229	509640	8	T-P09640	V39	11	
230	506592	8	T-P06592	V	11	
231	329002	8	R-P29002	V39	11	
232	416236	8	S-P16236	V39	11	
233	509651	8	T-P09651	V39	11	
234	324669	8	R-P24669	V39	11	
235	324692	8	R-P24692	V39	11	
236	315156	8	R-P15156	V39	11	
237	323993	8	R-P23993	V39	11	
238	323950	8	R-P23950	V39	11	
239	209157	8	Q-P09157	V39	11	
240	323996	8	R-P23996	V39	11	
241	324690	8	R-P24690	V39	11	
242	323942	8	R-P23942	V39	11	
243	506558	8	T-P06558	V	11	
244	513196	8	T-P13196	V39	11	
245	536754	8	T-P36754	V39	11	
246	506573	8	T-P06573	V39	11	
247	536750	8	T-P36750	V39	11	
248	526414	8	T-P26414	V39	11	
249	509645	8	T-P09645	V39	11	
250	416232	8	S-P16232	V39	11	
251	323991	8	R-P23991	V39	11	
252	324655	8	R-P24655	V39	11	
253	506548	8	T-P06548	V39	11	
254	536757	8	T-P36757	V39	11	
255	324671	8	R-P24671	V39	11	
256	509641	8	T-P09641	V39	11	
257	324657	8	R-P24657	V39	11	
258	509643	8	T-P09643	V39	11	
259	324670	8	R-P24670	V39	11	
260	324691	8	R-P24691	V39	11	
261	512283	8	T-P12283	V39	11	
262	509639	8	T-P09639	V39	11	
263	509646	8	T-P09646	?	11	
264	323949	8	R-P23949	V39	11	
265	323786	8	R-P23786	V39	11	
266	322242	8	R-P22242	V39	11	
267	323992	8	R-P23992	V	11	
268	323989	8	R-P23989	V39	11	
269	536761	8	T-P36761	V39	11	
270	210107	8	Q-P10107	V39	11	
271	324666	8	R-P24666	V39	11	
272	324660	8	R-P24660	V39	11	
273	506552	8	T-P06552	V39	11	
274	411142	8	S-P11142	V39	11	
275	523970	8	T-P23970	V39	11	
