Sequence No	Turboveg No	Group No	SIVIMID	EUNIS2020	Class	
86	210047	6	Q-P10047	V15	4	
87	210045	6	Q-P10045	V15	4	
88	512090	6	T-P12090	V15	4	
89	210050	6	Q-P10050	V15	4	
90	321298	6	R-P21298	V15	4	
91	512101	6	T-P12101	V15	4	
92	210053	6	Q-P10053	V15	4	
93	512103	6	T-P12103	V15	4	
94	210049	6	Q-P10049	V15	4	
95	210037	6	Q-P10037	V15	4	
96	527808	6	T-P27808	V15	4	
97	512100	6	T-P12100	V15	4	
98	321306	6	R-P21306	V15	4	
99	610345	6	U-P10345	V15	4	
100	610346	6	U-P10346	V15	4	
101	512098	6	T-P12098	V15	4	
102	419641	6	S-P19641	V15	4	
103	323999	6	R-P23999	V15	4	
104	322254	6	R-P22254	V15	4	
105	321296	6	R-P21296	V15	4	
106	527809	6	T-P27809	V15	4	
107	512093	6	T-P12093	V15	4	
108	536777	6	T-P36777	V15	4	
109	210041	6	Q-P10041	V15	4	
110	321305	6	R-P21305	V15	4	
111	533563	6	T-P33563	V15	4	
112	512204	6	T-P12204	V15	4	
113	536769	6	T-P36769	V15	4	
114	536775	6	T-P36775	V15	4	
115	502590	6	T-P02590	V15	4	
116	210061	6	Q-P10061	V15	4	
117	324617	6	R-P24617	V15	4	
118	536771	6	T-P36771	V15	4	
119	512092	6	T-P12092	V15	4	
120	324009	6	R-P24009	V15	4	
121	210231	6	Q-P10231	V15	4	
122	419640	6	S-P19640	V15	4	
123	210151	6	Q-P10151	V15	4	
124	210038	6	Q-P10038	V15	4	
125	210048	6	Q-P10048	V15	4	
126	533543	6	T-P33543	V15	4	
127	210340	6	Q-P10340	V15	4	
128	210040	6	Q-P10040	V15	4	
129	512102	6	T-P12102	V15	4	
130	512087	6	T-P12087	V15	4	
131	536773	6	T-P36773	V15	4	
132	533566	6	T-P33566	V15	4	
133	610357	7	U-P10357	V15	4	
134	523954	7	T-P23954	V15	4	
135	503087	7	T-P03087	V15	4	
136	415103	7	S-P15103	V15	4	
137	420396	7	S-P20396	V15	4	
138	412080	7	S-P12080	V15	4	
139	532612	7	T-P32612	V15	4	
140	507943	7	T-P07943	V15	4	
141	324645	7	R-P24645	V15	4	
142	613632	7	U-P13632	V15	4	
143	512294	7	T-P12294	V15	4	
144	610347	7	U-P10347	V15	4	
145	415104	7	S-P15104	V15	4	
146	412083	7	S-P12083	V15	4	
147	412046	7	S-P12046	V15	4	
148	415109	7	S-P15109	V15	4	
149	505147	7	T-P05147	V15	4	
150	536807	7	T-P36807	V15	4	
151	412061	7	S-P12061	V15	4	
152	415098	7	S-P15098	V15	4	
153	322290	7	R-P22290	V15	4	
154	412047	7	S-P12047	V	4	
155	527791	7	T-P27791	V15	4	
156	415114	7	S-P15114	V15	4	
157	415091	7	S-P15091	V15	4	
158	415099	7	S-P15099	V15	4	
159	322291	7	R-P22291	V15	4	
160	415095	7	S-P15095	V15	4	
161	412043	7	S-P12043	V15	4	
162	322278	7	R-P22278	V	4	
163	412067	7	S-P12067	V15	4	
164	420389	7	S-P20389	V	4	
165	412058	7	S-P12058	V15	4	
166	532619	7	T-P32619	V15	4	
167	412045	7	S-P12045	V15	4	
168	533578	7	T-P33578	V15	4	
169	523944	7	T-P23944	V15	4	
170	415093	7	S-P15093	V15	4	
171	412057	7	S-P12057	V15	4	
172	507949	7	T-P07949	V15	4	
173	536796	7	T-P36796	V15	4	
174	507954	7	T-P07954	V15	4	
175	610349	7	U-P10349	V15	4	
176	322284	7	R-P22284	V15	4	
177	522477	7	T-P22477	V15	4	
178	420392	7	S-P20392	V15	4	
179	412048	7	S-P12048	V15	4	
180	527796	7	T-P27796	V15	4	
181	505143	7	T-P05143	V15	4	
182	315005	7	R-P15005	V15	4	
183	505142	7	T-P05142	V15	4	
184	415108	7	S-P15108	V15	4	
185	610322	7	U-P10322	V15	4	
186	533577	7	T-P33577	V15	4	
187	412079	7	S-P12079	V15	4	
188	533575	7	T-P33575	V15	4	
189	412051	7	S-P12051	V15	4	
190	532615	7	T-P32615	V15	4	
191	610354	7	U-P10354	V15	4	
192	536809	7	T-P36809	V15	4	
193	532608	7	T-P32608	V15	4	
194	210073	7	Q-P10073	V15	4	
195	412054	7	S-P12054	V15	4	
196	610338	7	U-P10338	V15	4	
197	412059	7	S-P12059	V15	4	
198	412062	7	S-P12062	V15	4	
199	312815	7	R-P12815	V15	4	
200	420388	7	S-P20388	V15	4	
201	207764	7	Q-P07764	V15	4	
202	527794	7	T-P27794	V15	4	
203	412056	7	S-P12056	V15	4	
204	415092	7	S-P15092	V15	4	
205	415113	7	S-P15113	V	4	
206	610348	7	U-P10348	V15	4	
207	412068	7	S-P12068	V15	4	
208	320760	7	R-P20760	V15	4	
209	420390	7	S-P20390	V15	4	
210	420393	7	S-P20393	V15	4	
211	412063	7	S-P12063	V15	4	
212	322285	7	R-P22285	V15	4	
213	415110	7	S-P15110	V15	4	
214	419639	7	S-P19639	V15	4	
215	324639	7	R-P24639	V15	4	
216	420397	7	S-P20397	V15	4	
217	412053	7	S-P12053	V15	4	
218	412055	7	S-P12055	V15	4	
219	412082	7	S-P12082	V15	4	
220	324636	7	R-P24636	V15	4	
221	312792	7	R-P12792	V15	4	
222	412044	7	S-P12044	V15	4	
223	322276	7	R-P22276	V15	4	
224	610352	7	U-P10352	V15	4	
225	536805	7	T-P36805	V15	4	
226	322279	7	R-P22279	V15	4	
227	420398	7	S-P20398	V15	4	
228	412050	7	S-P12050	V15	4	
229	527799	7	T-P27799	V15	4	
230	415090	7	S-P15090	V15	4	
231	324336	7	R-P24336	V15	4	
232	210077	7	Q-P10077	V15	4	
233	610350	7	U-P10350	V15	4	
234	532606	7	T-P32606	V15	4	
235	536808	7	T-P36808	V	4	
236	507941	7	T-P07941	V15	4	
237	527800	7	T-P27800	V15	4	
238	412066	7	S-P12066	V15	4	
239	415107	7	S-P15107	V15	4	
240	210078	7	Q-P10078	V15	4	
241	412052	7	S-P12052	V15	4	
242	421797	7	S-P21797	V15	4	
243	419638	7	S-P19638	V15	4	
244	322288	7	R-P22288	V15	4	
245	536810	7	T-P36810	V15	4	
246	527801	7	T-P27801	V15	4	
247	322289	7	R-P22289	V15	4	
248	532618	7	T-P32618	V	4	
249	415115	7	S-P15115	V15	4	
250	505145	7	T-P05145	V15	4	
251	536797	7	T-P36797	V15	4	
252	533571	7	T-P33571	V15	4	
253	420391	7	S-P20391	V15	4	
254	415096	7	S-P15096	V15	4	
255	412081	7	S-P12081	V15	4	
256	532620	7	T-P32620	V15	4	
257	412060	7	S-P12060	V15	4	
258	210071	7	Q-P10071	V15	4	
259	527789	7	T-P27789	V15	4	
260	610342	7	U-P10342	V15	4	
261	532607	7	T-P32607	V15	4	
262	323975	7	R-P23975	V15	4	
263	610353	7	U-P10353	V15	4	
264	507935	7	T-P07935	V15	4	
265	323978	7	R-P23978	V15	4	
266	507937	7	T-P07937	V15	4	
267	412065	7	S-P12065	V15	4	
268	507953	7	T-P07953	V15	4	
269	418306	7	S-P18306	V15	4	
270	415105	7	S-P15105	V15	4	
271	536798	7	T-P36798	V15	4	
272	533568	7	T-P33568	V15	4	
273	314890	7	R-P14890	V15	4	
274	421795	7	S-P21795	V15	4	
275	415111	7	S-P15111	V15	4	
276	523952	7	T-P23952	V15	4	
277	522429	7	T-P22429	V15	4	
278	420354	7	S-P20354	V15	4	
279	412064	7	S-P12064	V15	4	
280	610334	7	U-P10334	V15	4	
281	532617	7	T-P32617	V15	4	
282	323976	7	R-P23976	V15	4	
283	322281	7	R-P22281	V15	4	
284	610324	7	U-P10324	V15	4	
285	536802	7	T-P36802	V15	4	
286	533548	8	T-P33548	V15	4	
287	610331	8	U-P10331	V15	4	
288	420405	8	S-P20405	V15	4	
289	533533	8	T-P33533	V15	4	
290	610358	8	U-P10358	V15	4	
291	610333	8	U-P10333	V15	4	
292	610330	8	U-P10330	V15	4	
293	610351	8	U-P10351	V15	4	
294	533573	8	T-P33573	V15	4	
295	533531	8	T-P33531	V15	4	
296	214997	8	Q-P14997	V15	4	
297	420359	8	S-P20359	V15	4	
298	533544	8	T-P33544	V15	4	
299	533576	8	T-P33576	V15	4	
300	420394	8	S-P20394	V15	4	
301	420381	8	S-P20381	V15	4	
302	533534	8	T-P33534	V15	4	
303	533542	8	T-P33542	V15	4	
304	214990	8	Q-P14990	V15	4	
305	533579	8	T-P33579	V15	4	
306	420376	8	S-P20376	V15	4	
307	533553	8	T-P33553	V15	4	
308	610343	8	U-P10343	V15	4	
309	610325	8	U-P10325	V15	4	
310	610323	8	U-P10323	V15	4	
311	610341	8	U-P10341	V15	4	
312	420395	8	S-P20395	V15	4	
313	412099	8	S-P12099	V15	4	
314	420379	8	S-P20379	V15	4	
315	420365	8	S-P20365	V15	4	
316	610332	8	U-P10332	V15	4	
317	533532	8	T-P33532	V15	4	
318	610344	8	U-P10344	V15	4	
319	533570	8	T-P33570	V15	4	
320	533536	8	T-P33536	V15	4	
321	610339	8	U-P10339	V15	4	
322	214976	8	Q-P14976	V15	4	
323	533541	8	T-P33541	V15	4	
324	533574	8	T-P33574	V15	4	
325	419643	8	S-P19643	V15	4	
326	533555	8	T-P33555	V15	4	
327	533572	8	T-P33572	V15	4	
328	536782	8	T-P36782	V15	4	
329	610356	8	U-P10356	V15	4	
330	533551	8	T-P33551	V15	4	
331	533549	8	T-P33549	V15	4	
332	420370	8	S-P20370	V15	4	
333	610355	8	U-P10355	V15	4	
334	532596	8	T-P32596	V15	4	
335	533552	8	T-P33552	V15	4	
336	214984	8	Q-P14984	V15	4	
337	207737	8	Q-P07737	V15	4	
338	533569	8	T-P33569	V15	4	
339	610335	8	U-P10335	V15	4	
340	420358	8	S-P20358	V15	4	
341	214980	8	Q-P14980	V15	4	
342	533547	8	T-P33547	V15	4	
343	533559	8	T-P33559	V15	4	
344	214975	8	Q-P14975	V15	4	
345	419644	8	S-P19644	V15	4	
346	533557	8	T-P33557	V15	4	
347	610340	8	U-P10340	V15	4	
348	533554	8	T-P33554	V15	4	
349	420401	8	S-P20401	V15	4	
350	533540	8	T-P33540	V15	4	
351	420387	8	S-P20387	V15	4	
352	214989	8	Q-P14989	V15	4	
353	505100	8	T-P05100	V15	4	
354	533556	8	T-P33556	V15	4	
355	533538	8	T-P33538	V15	4	
356	214988	8	Q-P14988	V15	4	
357	613638	8	U-P13638	V15	4	
358	613523	8	U-P13523	V15	4	
359	610336	8	U-P10336	V15	4	
360	533560	8	T-P33560	V15	4	
361	210068	8	Q-P10068	V15	4	
362	536786	8	T-P36786	V15	4	
363	533539	8	T-P33539	V15	4	
364	322270	8	R-P22270	V15	4	
365	610337	8	U-P10337	V15	4	
366	533558	8	T-P33558	V15	4	
367	610327	8	U-P10327	V15	4	
368	533550	8	T-P33550	V15	4	
369	610329	8	U-P10329	V15	4	
370	536793	9	T-P36793	V15	4	
371	505153	9	T-P05153	V15	4	
372	522436	9	T-P22436	V15	4	
373	323972	9	R-P23972	V15	4	
374	503872	9	T-P03872	V15	4	
375	512085	9	T-P12085	V15	4	
376	522446	9	T-P22446	V15	4	
377	503086	9	T-P03086	V15	4	
378	320105	9	R-P20105	V15	4	
379	415100	9	S-P15100	V15	4	
380	505167	9	T-P05167	V15	4	
381	322264	9	R-P22264	V15	4	
382	523950	9	T-P23950	V15	4	
383	532593	9	T-P32593	V15	4	
384	208741	9	Q-P08741	V15	4	
385	324011	9	R-P24011	V15	4	
386	415094	9	S-P15094	V15	4	
387	527798	9	T-P27798	V15	4	
388	323967	9	R-P23967	V15	4	
389	536779	9	T-P36779	V15	4	
390	512074	9	T-P12074	V15	4	
391	503501	9	T-P03501	V15	4	
392	522455	9	T-P22455	V15	4	
393	418298	9	S-P18298	V15	4	
394	512083	9	T-P12083	V15	4	
395	512082	9	T-P12082	V15	4	
396	214973	9	Q-P14973	V15	4	
397	532595	9	T-P32595	V15	4	
398	214999	9	Q-P14999	V15	4	
399	412070	9	S-P12070	V15	4	
400	214993	9	Q-P14993	V15	4	
401	214992	9	Q-P14992	V15	4	
402	324018	9	R-P24018	V15	4	
403	532603	9	T-P32603	V15	4	
404	214985	9	Q-P14985	V15	4	
405	536784	9	T-P36784	V15	4	
406	536787	9	T-P36787	V15	4	
407	214977	9	Q-P14977	V15	4	
408	210069	9	Q-P10069	V15	4	
409	214996	9	Q-P14996	V15	4	
410	322273	9	R-P22273	V15	4	
411	214979	9	Q-P14979	V15	4	
412	527797	9	T-P27797	V15	4	
413	322257	9	R-P22257	V15	4	
414	527793	9	T-P27793	V15	4	
415	322265	9	R-P22265	V15	4	
416	214983	9	Q-P14983	V15	4	
417	522481	9	T-P22481	V15	4	
418	532594	9	T-P32594	V15	4	
419	532600	9	T-P32600	V15	4	
420	324019	9	R-P24019	V15	4	
421	322262	9	R-P22262	V15	4	
422	420402	9	S-P20402	V15	4	
423	322255	9	R-P22255	V15	4	
424	214974	9	Q-P14974	V15	4	
425	522485	9	T-P22485	V15	4	
426	522462	9	T-P22462	V	4	
427	505168	9	T-P05168	V15	4	
428	522448	9	T-P22448	V15	4	
429	324625	9	R-P24625	V15	4	
430	527792	9	T-P27792	V15	4	
431	324624	9	R-P24624	V15	4	
432	522458	9	T-P22458	V15	4	
433	522471	9	T-P22471	V	4	
434	505159	9	T-P05159	V15	4	
435	522478	9	T-P22478	V15	4	
436	415112	9	S-P15112	V15	4	
437	418301	9	S-P18301	V15	4	
438	210062	9	Q-P10062	V15	4	
439	420230	9	S-P20230	V15	4	
440	522437	9	T-P22437	V15	4	
441	505169	9	T-P05169	V15	4	
442	202783	9	Q-P02783	V15	4	
443	503877	9	T-P03877	V15	4	
444	522444	9	T-P22444	V	4	
445	505156	9	T-P05156	V15	4	
446	532589	9	T-P32589	V15	4	
447	210088	9	Q-P10088	V15	4	
448	532604	9	T-P32604	V15	4	
449	522457	9	T-P22457	V15	4	
450	421796	9	S-P21796	V15	4	
451	512084	9	T-P12084	V15	4	
452	600123	9	U-P00123	V15	4	
453	505172	9	T-P05172	V15	4	
454	527810	9	T-P27810	V15	4	
455	210084	9	Q-P10084	V	4	
456	505164	9	T-P05164	V15	4	
457	503897	9	T-P03897	V15	4	
458	324631	9	R-P24631	V15	4	
459	505155	9	T-P05155	V15	4	
460	503876	9	T-P03876	V15	4	
461	324630	9	R-P24630	V15	4	
462	210082	9	Q-P10082	V	4	
463	415101	9	S-P15101	V15	4	
464	210087	9	Q-P10087	V	4	
465	522432	9	T-P22432	V15	4	
466	522479	9	T-P22479	V15	4	
467	323970	9	R-P23970	V15	4	
468	527795	9	T-P27795	V15	4	
469	210086	9	Q-P10086	V15	4	
470	503896	9	T-P03896	V15	4	
471	505174	9	T-P05174	V15	4	
472	522435	9	T-P22435	V15	4	
473	523943	9	T-P23943	V15	4	
474	324632	9	R-P24632	V15	4	
475	415106	9	S-P15106	V15	4	
476	323969	9	R-P23969	V15	4	
477	522449	9	T-P22449	V15	4	
478	523951	9	T-P23951	V15	4	
479	522459	9	T-P22459	V15	4	
480	505157	9	T-P05157	V15	4	
481	523949	9	T-P23949	V15	4	
482	323973	9	R-P23973	V15	4	
483	324628	9	R-P24628	V15	4	
484	323966	9	R-P23966	V15	4	
485	415097	9	S-P15097	V15	4	
486	513207	9	T-P13207	V15	4	
487	214978	9	Q-P14978	V15	4	
488	505160	9	T-P05160	V15	4	
489	503083	9	T-P03083	V15	4	
490	527824	9	T-P27824	V15	4	
491	505158	9	T-P05158	V15	4	
492	503500	9	T-P03500	V15	4	
493	322266	9	R-P22266	V15	4	
494	322260	9	R-P22260	V15	4	
495	208740	9	Q-P08740	V15	4	
496	532592	9	T-P32592	V15	4	
497	324629	9	R-P24629	V15	4	
498	208737	9	Q-P08737	V15	4	
499	322274	9	R-P22274	V15	4	
500	420348	9	S-P20348	V15	4	
501	536792	9	T-P36792	V15	4	
502	322268	9	R-P22268	V15	4	
503	322263	9	R-P22263	V15	4	
504	536795	9	T-P36795	V15	4	
505	214991	9	Q-P14991	V15	4	
506	207849	9	Q-P07849	V15	4	
507	536785	9	T-P36785	V15	4	
508	210067	9	Q-P10067	V15	4	
509	523945	9	T-P23945	V15	4	
510	322272	9	R-P22272	V15	4	
511	522482	9	T-P22482	V15	4	
512	503082	9	T-P03082	V15	4	
513	522440	9	T-P22440	V15	4	
514	420409	9	S-P20409	V15	4	
515	522447	9	T-P22447	V15	4	
516	522441	9	T-P22441	V15	4	
517	522433	9	T-P22433	V15	4	
518	522453	9	T-P22453	V15	4	
519	522467	9	T-P22467	V15	4	
520	418297	9	S-P18297	V15	4	
521	418299	9	S-P18299	V15	4	
522	523953	9	T-P23953	V15	4	
523	210085	9	Q-P10085	V15	4	
524	536780	9	T-P36780	V15	4	
525	532590	9	T-P32590	V15	4	
526	600623	9	U-P00623	V15	4	
527	527790	9	T-P27790	V15	4	
528	522484	9	T-P22484	V15	4	
529	420458	9	S-P20458	V15	4	
530	324016	9	R-P24016	V15	4	
531	322269	9	R-P22269	V15	4	
532	536794	9	T-P36794	V15	4	
533	503085	9	T-P03085	V15	4	
534	322271	9	R-P22271	V15	4	
535	532597	9	T-P32597	V15	4	
536	322261	9	R-P22261	V15	4	
537	532602	9	T-P32602	V15	4	
538	322256	9	R-P22256	V15	4	
539	532601	9	T-P32601	V15	4	
540	532605	9	T-P32605	V15	4	
541	503513	9	T-P03513	V15	4	
542	536783	9	T-P36783	V15	4	
543	214981	9	Q-P14981	V15	4	
544	324855	9	R-P24855	V15	4	
545	512299	9	T-P12299	V15	4	
546	214995	9	Q-P14995	V15	4	
547	412105	9	S-P12105	V	4	
548	323968	9	R-P23968	V15	4	
549	210064	9	Q-P10064	V15	4	
550	214986	9	Q-P14986	V15	4	
551	536790	9	T-P36790	V15	4	
552	210066	9	Q-P10066	V15	4	
553	322259	9	R-P22259	V15	4	
554	324015	9	R-P24015	V15	4	
555	523948	9	T-P23948	V15	4	
556	522483	9	T-P22483	V15	4	
557	505152	9	T-P05152	V15	4	
558	512081	9	T-P12081	V15	4	
559	536791	9	T-P36791	V15	4	
560	215000	9	Q-P15000	V15	4	
561	523947	9	T-P23947	V15	4	
562	324626	9	R-P24626	V15	4	
563	522445	9	T-P22445	V15	4	
564	512086	9	T-P12086	V15	4	
565	522434	9	T-P22434	V15	4	
566	418303	9	S-P18303	V15	4	
567	323971	9	R-P23971	V15	4	
568	418300	9	S-P18300	V15	4	
569	505163	9	T-P05163	V15	4	
570	522452	9	T-P22452	V15	4	
571	210081	9	Q-P10081	V15	4	
572	324498	9	R-P24498	V15	4	
573	210083	9	Q-P10083	V15	4	
574	415102	9	S-P15102	V15	4	
575	503084	9	T-P03084	V15	4	
576	421793	9	S-P21793	V15	4	
577	522430	9	T-P22430	V15	4	
578	505154	9	T-P05154	V15	4	
579	522480	9	T-P22480	V15	4	
580	522486	9	T-P22486	V15	4	
