Alliance (Mucina et al. 2016),Association,Authors of associations,Original association names,Taxonomic references used to revise association names
Polygono-Coronopodion,Polycarpo tetraphylli-Lepidietum squamati,"Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993 nom. mut. nov.","Polycarpo tetraphylli-Coronopodetum squamati, Rivas-Martínez, Wildpret, Del Arco, O. Rodríguez, Pérez de Paz, García Gallo, Acebes, T.E. Díaz & Fernández-González 1993.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Saginion procumbentis,Sagino-Bryetum argentei,"Diemont, Sissingh & Westhoff 1940",,
Scleranthion annui,Bunio erucagini-Vicietum tetraspermae,"Rivas-Martínez, Izco & Costa 1971",,
Scleranthion annui,Catapodietum patentis,"Br.-Bl., P. Silva, Rozeira & Fontes 1952",,
Scleranthion annui,Centaureo cyani-Raphanetum raphanistri,"Penas, T.E. Díaz, P. Morales, Puente, M.E. García & Terrón 1988 nom. corr.","Centaureo cyani-Raphanetum microcarpi, Penas, T.E. Díaz, P. Morales, Puente, M.E. García & Terrón 1988 nom. inept.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Scleranthion annui,Glebiono segeti-Raphanetum raphanistri,Bellot 1951 nom. corr. et mut. nov.,"Chrysanthemo segetum-Raphanetum microcarpi, Bellot 1951 nom. inept.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Scleranthion annui,Linario amethysteae-Calenduletum arvensis,Izco 1982,,
Scleranthion annui,Linario elegantis-Anthoxanthetum aristati,Tüxen & Oberdorfer 1958,,
Scleranthion annui,Linario elegantis-Arnoseridetum minimae,Bellot & Casaseca in Casaseca 1959 nom. corr.,"Linario amethysteae-Calenduletum arvensis, Bellot & Casaseca in Casaseca 1959 nom. inept.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Scleranthion annui,Miboro minimae-Arabidopsietum thalianae,Rivas-Martínez & C. Rivas-Martínez 1970,,
