"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"46","R-P24046","Bromo diandri-Carduetum tenuiflori",4,1986,-6.80201604,42.33755677,"3 - UTM10x10 + Elevation",880,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"47","R-P24047","Bromo diandri-Carduetum tenuiflori",4,1986,-6.815516372,42.40013733,"3 - UTM10x10 + Elevation",680,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"48","R-P24048","Bromo diandri-Carduetum tenuiflori",2,1986,-6.809750844,42.30488424,"3 - UTM10x10 + Elevation",900,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"49","R-P24049","Bromo diandri-Carduetum tenuiflori",3,1986,-6.797320285,42.29989455,"3 - UTM10x10 + Elevation",1000,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"50","R-P24646","Sisymbrio officinalis-Hordeetum murini",5,2012,-6.58359246,42.25275488,"1 - UTM1x1 + Elevation",1020,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"51","R-P24647","Sisymbrio officinalis-Hordeetum murini",6,2012,-6.553245783,42.27351033,"1 - UTM1x1 + Elevation",891,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"52","R-P24648","Sisymbrio officinalis-Hordeetum murini",40,2012,-6.455859282,42.31070755,"1 - UTM1x1 + Elevation",1250,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"53","R-P24649","Sisymbrio officinalis-Hordeetum murini",5,2012,-6.733813531,42.41543733,"1 - UTM1x1 + Elevation",693,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"54","R-P24650","Sisymbrio officinalis-Hordeetum murini",4,2012,-6.505303681,42.32721412,"1 - UTM1x1 + Elevation",991,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"55","R-P24651","Sisymbrio officinalis-Hordeetum murini",10,2012,-6.828515861,42.41411,"1 - UTM1x1 + Elevation",351,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"56","R-P24652","Sisymbrio officinalis-Hordeetum murini",15,2012,-6.807093734,42.46164624,"1 - UTM1x1 + Elevation",381,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"57","R-P24653","Sisymbrio officinalis-Hordeetum murini",4,2012,-6.700382632,42.42552714,"1 - UTM1x1 + Elevation",501,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"58","R-P24654","Sisymbrio officinalis-Hordeetum murini",6,2012,-6.801401816,42.40781028,"1 - UTM1x1 + Elevation",574,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"59","R-P28993","Sisymbrio officinalis-Hordeetum murini",2,2014,-3.660936039,43.05253414,"1 - UTM1x1 + Elevation",730,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"60","R-P28994","Sisymbrio officinalis-Hordeetum murini",10,2014,-3.558188735,43.09630514,"1 - UTM1x1 + Elevation",830,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"61","S-P11128","Sisymbrio officinalis-Hordeetum murini",15,1989,-4.414395552,42.92503589,"1 - UTM1x1 + Elevation",1220,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"62","S-P12069","Sisymbrio officinalis-Hordeetum murini",40,1975,-7.128062641,43.55794164,"3 - UTM10x10 + Elevation",5,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"63","S-P12070","Sisymbrio officinalis-Hordeetum murini",20,1975,-6.429127933,43.50184547,"3 - UTM10x10 + Elevation",30,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"64","S-P12071","Sisymbrio officinalis-Hordeetum murini",10,1975,-6.696716828,43.54931699,"3 - UTM10x10 + Elevation",85,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"65","S-P12072","Sisymbrio officinalis-Hordeetum murini",10,1975,-6.554916089,43.53761392,"3 - UTM10x10 + Elevation",60,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"66","S-P12073","Sisymbrio officinalis-Hordeetum murini",15,1975,-6.591547598,43.53512218,"4 - UTM10x10 + Centroid",96,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"67","S-P12074","Sisymbrio officinalis-Hordeetum murini",20,1975,-6.555973863,43.55558765,"3 - UTM10x10 + Elevation",15,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"68","S-P12075","Sisymbrio officinalis-Hordeetum murini",20,1975,-7.102997578,43.55344364,"3 - UTM10x10 + Elevation",10,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"69","S-P12076","Sisymbrio officinalis-Hordeetum murini",20,1975,-6.949739134,43.54130303,"4 - UTM10x10 + Centroid",47,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"70","S-P12077","Sisymbrio officinalis-Hordeetum murini",30,1975,-6.943029184,43.56808488,"3 - UTM10x10 + Elevation",10,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"71","S-P12078","Sisymbrio officinalis-Hordeetum murini",15,1975,-7.085709279,43.55406381,"3 - UTM10x10 + Elevation",20,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"72","S-P15116","Sisymbrio officinalis-Hordeetum murini",100,1967,-2.254396908,43.20149416,"2 - UTM1x1 + Centroid",70,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"73","S-P15117","Sisymbrio officinalis-Hordeetum murini",50,1967,-1.791346831,43.33800985,"1 - UTM1x1 + Elevation",50,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"74","S-P15118","Sisymbrio officinalis-Hordeetum murini",10,1967,-2.212078809,43.04632731,"1 - UTM1x1 + Elevation",160,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"75","S-P15119","Sisymbrio officinalis-Hordeetum murini",5,1967,-1.504837161,43.14912973,"1 - UTM1x1 + Elevation",210,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"76","S-P15120","Sisymbrio officinalis-Hordeetum murini",10,1967,-2.194891416,43.04620769,"1 - UTM1x1 + Elevation",160,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"77","S-P15121","Sisymbrio officinalis-Hordeetum murini",50,1967,-2.209623461,43.04631038,"1 - UTM1x1 + Elevation",159,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"78","S-P15123","Sisymbrio officinalis-Hordeetum murini",100,1967,-1.79821425,43.36509548,"1 - UTM1x1 + Elevation",2,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"79","S-P15124","Sisymbrio officinalis-Hordeetum murini",20,1967,-1.784413475,43.31452479,"2 - UTM1x1 + Centroid",20,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"80","S-P15125","Sisymbrio officinalis-Hordeetum murini",20,1967,-1.772084529,43.31439308,"2 - UTM1x1 + Centroid",25,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"81","S-P15126","Sisymbrio officinalis-Hordeetum murini",50,1967,-2.420162466,43.11420728,"1 - UTM1x1 + Elevation",300,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"82","S-P17955","Sisymbrio officinalis-Hordeetum murini",20,1982,-2.611516269,43.17624989,"2 - UTM1x1 + Centroid",356,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"83","S-P17956","Sisymbrio officinalis-Hordeetum murini",20,1982,-2.611516269,43.17624989,"2 - UTM1x1 + Centroid",356,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"84","S-P17957","Sisymbrio officinalis-Hordeetum murini",30,1982,-2.611516269,43.17624989,"2 - UTM1x1 + Centroid",356,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"85","S-P17958","Sisymbrio officinalis-Hordeetum murini",20,1982,-2.611687398,43.14923601,"2 - UTM1x1 + Centroid",304,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"86","S-P17959","Sisymbrio officinalis-Hordeetum murini",30,1982,-2.611687398,43.14923601,"2 - UTM1x1 + Centroid",304,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"87","S-P17960","Sisymbrio officinalis-Hordeetum murini",30,1982,-2.684642517,43.31154527,"2 - UTM1x1 + Centroid",137,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"88","S-P17961","Sisymbrio officinalis-Hordeetum murini",30,1982,-2.684642517,43.31154527,"2 - UTM1x1 + Centroid",137,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"89","S-P17962","Sisymbrio officinalis-Hordeetum murini",20,1982,-2.722045556,43.22159565,"2 - UTM1x1 + Centroid",208,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"90","S-P18290","Sisymbrio officinalis-Hordeetum murini",15,1974,-5.969432129,43.15636831,"2 - UTM1x1 + Centroid",420,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"91","S-P18291","Sisymbrio officinalis-Hordeetum murini",8,1974,-5.969432129,43.15636831,"2 - UTM1x1 + Centroid",380,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"92","S-P18292","Sisymbrio officinalis-Hordeetum murini",10,1974,-5.993299718,43.19176191,"3 - UTM10x10 + Elevation",350,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"93","S-P18293","Sisymbrio officinalis-Hordeetum murini",15,1974,-5.993299718,43.19176191,"3 - UTM10x10 + Elevation",360,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"94","S-P18294","Sisymbrio officinalis-Hordeetum murini",15,1974,-5.993299718,43.19176191,"3 - UTM10x10 + Elevation",370,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"95","S-P18295","Sisymbrio officinalis-Hordeetum murini",20,1974,-5.874621222,43.23262495,"1 - UTM1x1 + Elevation",310,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"96","S-P18296","Sisymbrio officinalis-Hordeetum murini",15,1974,-5.272624467,43.10479993,"4 - UTM10x10 + Centroid",290,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"97","T-P02591","Bromo-Hordeetum murini",2,1984,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",900,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"98","T-P02592","Bromo-Hordeetum murini",3,1984,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",900,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"99","T-P02593","Bromo-Hordeetum murini",6,1984,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",900,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"100","T-P02594","Bromo-Hordeetum murini",10,1984,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",900,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"101","T-P02595","Bromo-Hordeetum murini",3,1984,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",900,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"102","T-P03078","Sisymbrio officinalis-Hordeetum murini",4,1986,-3.185348801,43.3316399,"3 - UTM10x10 + Elevation",200,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"103","T-P03079","Sisymbrio officinalis-Hordeetum murini",4,1986,-3.175449564,43.32085003,"3 - UTM10x10 + Elevation",200,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"104","T-P03080","Sisymbrio officinalis-Hordeetum murini",6,1986,-3.081713734,43.31735357,"3 - UTM10x10 + Elevation",100,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"105","T-P03081","Sisymbrio officinalis-Hordeetum murini",6,1986,-3.05950675,43.30836268,"3 - UTM10x10 + Elevation",100,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
