"SIVIMID","CANTEUNIS","Original","Alliance","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation"
"S-P11158","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1989,-4.478008438,42.92063011,"1 - UTM1x1 + Elevation",1100
"T-P17234","V38Y","Rhamno-Juniperetum lyciae","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",NA,1975,-7.103282071,42.84195365,"4 - UTM10x10 + Centroid",638
"S-P21799","V38Y","Onopordion acanthii","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1981,-6.247104232,42.96513607,"3 - UTM10x10 + Elevation",1248
"U-P16705","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",60,2009,-5.141324671,43.03980847,"2 - UTM1x1 + Centroid",1180
"T-P03076","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1986,-2.806308577,43.05247778,"3 - UTM10x10 + Elevation",1200
"U-P00600","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,2002,-4.758959542,43.06253486,"1 - UTM1x1 + Elevation",1610
"S-P11160","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",40,1989,-4.429271113,43.03831306,"1 - UTM1x1 + Elevation",1630
"U-P00599","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,2002,-4.964406642,42.95833895,"1 - UTM1x1 + Elevation",1130
"T-P17235","V38Y","Rhamno-Juniperetum lyciae","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",NA,1975,-7.108824928,42.6618699,"4 - UTM10x10 + Centroid",1067
"T-P04823","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",15,1984,-6.008270155,43.04550291,"3 - UTM10x10 + Elevation",1350
"T-P22332","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1988,-4.782988275,43.0441535,"3 - UTM10x10 + Elevation",1610
"T-P04821","V38Y","Cirsio chodati-Carduetum cantabrici","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1984,-4.764954781,43.10026214,"3 - UTM10x10 + Elevation",1340
"T-P22334","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",120,1988,-4.82246974,43.05073515,"3 - UTM10x10 + Elevation",1280
"Q-P08758","V38Y","Carduo carpetani-Onopordetum acanthii","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1990,-4.66851798,42.80634914,"3 - UTM10x10 + Elevation",1130
"T-P23960","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",5,1982,-2.458383216,42.96130953,"3 - UTM10x10 + Elevation",910
"T-P22344","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1988,-5.024032771,43.01942117,"4 - UTM10x10 + Centroid",1070
"T-P23965","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",2,1982,-2.087472614,43.00397868,"3 - UTM10x10 + Elevation",1200
"R-P24573","V38Y","Carduo carpetani-Onopordetum acanthii","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,2012,-6.594293849,42.27042867,"1 - UTM1x1 + Elevation",1000
"T-P04824","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1984,-6.002846057,43.08526369,"3 - UTM10x10 + Elevation",1480
"T-P22335","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",200,1988,-4.971931033,42.96361238,"3 - UTM10x10 + Elevation",1090
"Q-P08756","V38Y",NA,"Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",350,NA,-4.677118412,42.85304978,"3 - UTM10x10 + Elevation",1330
"Q-P08768","V38Y","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",60,1990,-4.491578057,42.87362795,"3 - UTM10x10 + Elevation",1020
"T-P04817","V38Y","Cirsio chodati-Carduetum cantabrici","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1984,-4.764516188,43.17050472,"3 - UTM10x10 + Elevation",1430
"R-P24575","V38Y","Carduo carpetani-Onopordetum acanthii","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",15,2012,-6.553448027,42.27710588,"1 - UTM1x1 + Elevation",869
"S-P11157","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",30,1989,-4.385277639,42.93799902,"1 - UTM1x1 + Elevation",1540
"S-P11156","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",60,1989,-4.485400983,42.92233541,"1 - UTM1x1 + Elevation",1080
"Q-P08766","V38Y","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1990,-4.648957603,42.80663255,"3 - UTM10x10 + Elevation",1120
"T-P11667","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",12,1988,-5.813277885,42.9694278,"3 - UTM10x10 + Elevation",1460
"T-P03075","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",8,1986,-2.811236774,43.047083,"3 - UTM10x10 + Elevation",1100
"Q-P08765","V38Y","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1990,-4.69316451,42.81319133,"3 - UTM10x10 + Elevation",1080
"T-P22340","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1988,-5.219266299,43.09054916,"3 - UTM10x10 + Elevation",1510
"T-P22338","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1988,-5.000524256,43.01354245,"3 - UTM10x10 + Elevation",1140
"T-P11666","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-5.72477104,42.96436699,"3 - UTM10x10 + Elevation",1460
"Q-P08767","V38Y","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",40,1990,-4.668372809,42.80094819,"3 - UTM10x10 + Elevation",1120
"T-P23959","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",5,1982,-2.343289989,42.94629889,"3 - UTM10x10 + Elevation",1100
"S-P11154","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",90,1989,-4.38515655,42.93259749,"1 - UTM1x1 + Elevation",1400
"T-P11668","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",5,1988,-5.616602709,42.95788807,"3 - UTM10x10 + Elevation",1350
"S-P11159","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,1989,-4.449034093,43.04346739,"1 - UTM1x1 + Elevation",1340
"T-P22341","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",150,1988,-5.293533307,43.10529203,"3 - UTM10x10 + Elevation",1440
"Q-P08764","V38Y","Comunidad de Cirsium richterianum","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",100,1990,-4.527275081,42.83173387,"3 - UTM10x10 + Elevation",1100
"T-P11669","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",40,1988,-5.640469736,42.88530357,"3 - UTM10x10 + Elevation",1140
"T-P04822","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",10,1984,-4.802200937,43.02944492,"3 - UTM10x10 + Elevation",1600
"T-P22343","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",50,1988,-5.095502023,43.13610515,"3 - UTM10x10 + Elevation",1200
"T-P22342","V38Y","Carduo nutantis-Cirsietum chodati","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",60,1988,-5.132614525,43.14262273,"3 - UTM10x10 + Elevation",1270
"R-P28999","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",20,2014,-3.506374025,43.07133235,"1 - UTM1x1 + Elevation",765
"S-P11151","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",40,1989,-4.406193952,42.9953756,"1 - UTM1x1 + Elevation",1420
"R-P29000","V38Y","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",15,2014,-3.553176554,43.08552358,"1 - UTM1x1 + Elevation",780
"T-P11665","V38Y","Cirsio chodati-Carduetum carpetani","Cirsion richterano-chodati","Onopordetalia acanthii","Artemisietea vulgaris",25,1988,-5.805924994,42.91558207,"3 - UTM10x10 + Elevation",1540
"Q-P08706","V38V","Comunidad de Elytrigia repens y Poa compressa","Convolvulo arvensis-Agropyrion repentis","Agropyretalia intermedio-repentis","Artemisietea vulgaris",20,1990,-4.715216753,42.90291311,"3 - UTM10x10 + Elevation",1280
"Q-P08705","V38V","Comunidad de Elytrigia repens y Poa compressa","Convolvulo arvensis-Agropyrion repentis","Agropyretalia intermedio-repentis","Artemisietea vulgaris",20,1990,-4.686223697,42.91775185,"3 - UTM10x10 + Elevation",1300
"Q-P08709","V38V","Comunidad de Elytrigia repens y Poa compressa","Convolvulo arvensis-Agropyrion repentis","Agropyretalia intermedio-repentis","Artemisietea vulgaris",10,1990,-4.730194438,42.82524474,"3 - UTM10x10 + Elevation",1230
"Q-P08708","V38V","Comunidad de Elytrigia repens y Poa compressa","Convolvulo arvensis-Agropyrion repentis","Agropyretalia intermedio-repentis","Artemisietea vulgaris",15,1990,-4.790762016,42.88914911,"3 - UTM10x10 + Elevation",1240
"Q-P08707","V38V","Comunidad de Elytrigia repens y Poa compressa","Convolvulo arvensis-Agropyrion repentis","Agropyretalia intermedio-repentis","Artemisietea vulgaris",30,1990,-4.732307704,42.90085472,"3 - UTM10x10 + Elevation",1230
"T-P11545","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",10,1988,-5.639847717,42.81328114,"3 - UTM10x10 + Elevation",1100
"S-P17954","U3DZ","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",6,1982,-2.650846951,43.18358051,"1 - UTM1x1 + Elevation",150
"T-P11547","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",8,1988,-5.682372596,42.89153242,"3 - UTM10x10 + Elevation",1120
"T-P12130","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",6,1988,-6.38672846,42.91786629,"3 - UTM10x10 + Elevation",1080
"Q-P02794","U3DZ","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",100,1969,-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275
"T-P32457","U3DZ","Parietarietum judaicae","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",10,1966,-2.266898901,43.18536643,"1 - UTM1x1 + Elevation",130
"Xixon34","U3DZ","N4D","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",16,2023,-5.6342316,43.5364683,"1",NA
"T-P13304","U3DZ","Parietarietum judaicae","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",20,1997,-2.990447076,43.36420603,"1 - UTM1x1 + Elevation",60
"T-P03105","U3DZ","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",6,1986,-3.064475134,43.30297494,"4 - UTM10x10 + Centroid",127
"T-P11544","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",10,1988,-5.61899362,42.84077425,"3 - UTM10x10 + Elevation",1090
"T-P32458","U3DZ","Parietarietum judaicae","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",10,1966,-2.271820797,43.18539786,"1 - UTM1x1 + Elevation",160
