"SIVIMID","CANTEUNIS","Original","Alliance","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation"
"R-P21296","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1995,-7.434860876,42.50026169,"1 - UTM1x1 + Elevation",480
"Q-P10060","V10Y","Comunidad de Chrysanthemum segetum y Lolium rigidum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",12,2000,-6.635274238,41.88553598,"3 - UTM10x10 + Elevation",640
"Q-P10062","V10Y","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",4,2000,-6.592963053,41.86165553,"3 - UTM10x10 + Elevation",840
"T-P36775","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1993,-7.526632876,42.55788955,"1 - UTM1x1 + Elevation",360
"T-P32601","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1995,-7.568575781,42.56522482,"2 - UTM1x1 + Centroid",320
"T-P03472","V10Y","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.721037279,41.99264297,"3 - UTM10x10 + Elevation",890
"T-P33551","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.537542381,42.86086828,"1 - UTM1x1 + Elevation",250
"Q-P14987","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1982,-8.003649301,42.37055361,"3 - UTM10x10 + Elevation",230
"T-P27807","V10Y","Asociación de Linaria delphinoides-Anthoxanthum aristatum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1958,-6.222917172,42.59484247,"3 - UTM10x10 + Elevation",1090
"T-P36782","V10Y","Lamio amplexicaulis-Veronicetum hederifoliae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1993,-7.352759013,42.64927296,"1 - UTM1x1 + Elevation",590
"T-P03503","V10Y","Cnico benedicti-Papaveretum argemones","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-5.944573422,42.63655899,"3 - UTM10x10 + Elevation",960
"U-P10335","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.658494113,42.55066614,"3 - UTM10x10 + Elevation",106
"R-P21305","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1995,-7.595267542,42.49753063,"1 - UTM1x1 + Elevation",300
"Q-P14993","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.428593106,41.89185351,"3 - UTM10x10 + Elevation",400
"T-P33558","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.397752265,42.88556894,"1 - UTM1x1 + Elevation",350
"R-P24019","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",8,1986,-6.845822858,42.41893234,"3 - UTM10x10 + Elevation",500
"T-P36791","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1993,-7.556365816,42.56481157,"2 - UTM1x1 + Centroid",320
"T-P03471","V10Y","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.630956118,41.97932291,"3 - UTM10x10 + Elevation",850
"T-P36777","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1993,-7.273824138,42.67205843,"1 - UTM1x1 + Elevation",1000
"Q-P08735","V10Y","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1990,-4.490192325,42.81601335,"3 - UTM10x10 + Elevation",1090
"U-P10327","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.710079662,42.68852996,"3 - UTM10x10 + Elevation",48
"S-P15173","V10Y","Lolio perennis-Plantaginetum majoris","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1967,-1.846059432,43.3151634,"1 - UTM1x1 + Elevation",200
"T-P33544","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.538321195,42.89683922,"3 - UTM10x10 + Elevation",350
"S-P20405","V10Y","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1972,-8.643611937,42.4127703,"3 - UTM10x10 + Elevation",80
"Q-P14991","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1982,-7.443074562,41.96152318,"3 - UTM10x10 + Elevation",400
"R-P24015","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-6.843947086,42.4279995,"3 - UTM10x10 + Elevation",500
"S-P20370","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1972,-8.778387429,42.31961549,"3 - UTM10x10 + Elevation",110
"Q-P10038","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",8,NA,-6.570114655,41.88398082,"3 - UTM10x10 + Elevation",900
"T-P27809","V10Y","Associació-Desconeguda","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1958,-7.455813041,42.92980784,"3 - UTM10x10 + Elevation",420
"T-P36774","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1993,-7.442382618,42.64042379,"1 - UTM1x1 + Elevation",440
"U-P10322","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.652913711,42.70397763,"3 - UTM10x10 + Elevation",40
"Q-P10046","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,NA,-6.602866544,41.82352414,"3 - UTM10x10 + Elevation",880
"T-P32598","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1995,-7.477027036,42.85159596,"2 - UTM1x1 + Centroid",350
"T-P03470","V10Y","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.449399262,42.05884169,"4 - UTM10x10 + Centroid",800
"T-P33546","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.370150002,42.87786845,"2 - UTM1x1 + Centroid",30
"R-P21302","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",70,1995,-7.461822219,42.57124082,"1 - UTM1x1 + Elevation",380
"Q-P14988","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1982,-7.85573292,42.31030624,"3 - UTM10x10 + Elevation",130
"R-P24617","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,2012,-6.640694864,42.40222875,"1 - UTM1x1 + Elevation",693
"T-P03469","V10Y","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.517054166,42.20037363,"4 - UTM10x10 + Centroid",760
"Q-P14978","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.705778309,42.44621971,"3 - UTM10x10 + Elevation",140
"T-P15408","V10Y","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",80,1986,-5.359937067,42.85001204,"3 - UTM10x10 + Elevation",980
"T-P36773","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1993,-7.377916818,42.59069009,"1 - UTM1x1 + Elevation",500
"T-P33559","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.534435887,42.88082377,"1 - UTM1x1 + Elevation",300
"R-P24018","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1986,-6.805342058,42.31223428,"3 - UTM10x10 + Elevation",1000
"T-P12104","V10Y","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1988,-6.608611707,42.60494081,"3 - UTM10x10 + Elevation",560
"T-P22443","V10Y","Fumario capreolatae-Veronicetum persicae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-4.598229966,43.39805967,"3 - UTM10x10 + Elevation",5
"T-P33547","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.596345619,42.88860735,"3 - UTM10x10 + Elevation",250
"Q-P10045","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,NA,-6.813546977,41.92476961,"3 - UTM10x10 + Elevation",1030
"T-P12108","V10Y","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.74677412,42.51045856,"3 - UTM10x10 + Elevation",530
"T-P27838","V10Y","Asociación de Lolium perenne-Plantago major","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",2,1958,-5.004129257,43.27460978,"3 - UTM10x10 + Elevation",1050
"U-P10344","V10Y","Linaria delphinioides-Arnoseretum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.578880115,42.47716376,"3 - UTM10x10 + Elevation",235
"T-P12101","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1988,-6.921664848,43.31492976,"3 - UTM10x10 + Elevation",670
"T-P33540","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.613811988,43.26763759,"3 - UTM10x10 + Elevation",150
"R-P24016","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1986,-6.867644676,42.37857876,"3 - UTM10x10 + Elevation",600
"U-P10337","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.634095825,42.60408439,"3 - UTM10x10 + Elevation",60
"R-P21298","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1995,-7.273824138,42.67205843,"1 - UTM1x1 + Elevation",1000
"Q-P10055","V10Y","Catapodietum patentis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",9,2000,-7.059109571,41.88032087,"3 - UTM10x10 + Elevation",840
"T-P36786","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1993,-7.660414587,42.42466861,"1 - UTM1x1 + Elevation",200
"T-P36776","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1993,-7.526811306,42.493058,"1 - UTM1x1 + Elevation",320
"Q-P14985","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1982,-6.873981065,42.38751452,"4 - UTM10x10 + Centroid",663
"T-P33548","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.50051025,42.85725756,"1 - UTM1x1 + Elevation",150
"Q-P10043","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",4,NA,-7.159197525,41.90014462,"3 - UTM10x10 + Elevation",820
"S-P20386","V10Y","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1972,-8.763843749,42.18712146,"3 - UTM10x10 + Elevation",100
"T-P12099","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.730196674,42.84414942,"3 - UTM10x10 + Elevation",980
"T-P03500","V10Y","Cnico benedicti-Papaveretum argemones","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.689756159,42.61675948,"3 - UTM10x10 + Elevation",500
"T-P27808","V10Y","Asociación de Linaria delphinoides-Anthoxanthum aristatum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1958,-6.282723413,42.5733329,"3 - UTM10x10 + Elevation",1070
"U-P10345","V10Y","Linaria delphinioides-Arnoseretum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.874753862,42.05185083,"3 - UTM10x10 + Elevation",70
"S-P19640","V10Y","Chenopodietalia albi","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1972,-8.097725607,43.10641983,"3 - UTM10x10 + Elevation",470
"T-P32592","V10Y","Lamio amplexicaulis-Veronicetum hederifoliae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1995,-7.482994553,42.45876992,"3 - UTM10x10 + Elevation",590
"T-P36787","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1993,-7.427131223,41.60572943,"4 - UTM10x10 + Centroid",400
"Q-P14982","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1982,-7.964200947,42.42448997,"3 - UTM10x10 + Elevation",290
"Q-P14984","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1982,-7.235944714,42.48391415,"4 - UTM10x10 + Centroid",547
"T-P32595","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1995,-7.59002046,42.49233933,"1 - UTM1x1 + Elevation",310
"S-P19648","V10Y","Associació-Desconeguda","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1972,-7.898781588,43.16914822,"3 - UTM10x10 + Elevation",470
"T-P32597","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1995,-7.427131223,41.60572943,"4 - UTM10x10 + Centroid",400
"S-P20399","V10Y","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1972,-8.783931179,42.27432557,"3 - UTM10x10 + Elevation",60
"Q-P10047","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",16,NA,-6.596850701,41.80210099,"3 - UTM10x10 + Elevation",750
"Q-P14989","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.839421323,42.35061128,"3 - UTM10x10 + Elevation",130
"T-P03480","V10Y","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.391625954,42.64939611,"3 - UTM10x10 + Elevation",720
"R-P21303","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1995,-7.558860206,42.56561259,"1 - UTM1x1 + Elevation",370
"Q-P10053","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",15,NA,-7.067007472,41.89084622,"3 - UTM10x10 + Elevation",860
"T-P36785","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1993,-7.590152029,42.49413472,"1 - UTM1x1 + Elevation",310
"Q-P10040","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,NA,-6.844864028,41.8841034,"3 - UTM10x10 + Elevation",900
"Q-P14995","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1982,-7.246860191,42.45517451,"3 - UTM10x10 + Elevation",240
"T-P36772","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",70,1993,-7.461822219,42.57124082,"1 - UTM1x1 + Elevation",380
"Q-P10041","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,NA,-7.163941607,41.93598928,"3 - UTM10x10 + Elevation",780
"R-P24622","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",5,2012,-6.773378052,42.42674593,"1 - UTM1x1 + Elevation",430
"T-P12092","V10Y","Spergulario-Arnoseretum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",150,1988,-6.332840023,42.1864851,"3 - UTM10x10 + Elevation",1150
"T-P12088","V10Y","Spergulario-Arnoseretum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1988,-6.626525465,42.70342003,"3 - UTM10x10 + Elevation",830
"T-P12090","V10Y","Spergulario-Arnoseretum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.125389091,42.49669509,"3 - UTM10x10 + Elevation",960
"S-P20387","V10Y","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1972,-8.812854767,42.32506898,"3 - UTM10x10 + Elevation",100
"T-P03482","V10Y","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.579063781,42.5572459,"3 - UTM10x10 + Elevation",610
"Q-P14979","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1982,-7.712649168,42.4729465,"3 - UTM10x10 + Elevation",235
"S-P20365","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",5,1972,-8.741504596,42.42049594,"3 - UTM10x10 + Elevation",100
"T-P33539","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.516963469,42.82225509,"3 - UTM10x10 + Elevation",150
"Q-P14992","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1982,-7.430913896,41.85574815,"3 - UTM10x10 + Elevation",400
"R-P24017","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1986,-6.906233053,42.41328501,"3 - UTM10x10 + Elevation",350
"Q-P14981","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-8.138331873,42.38438722,"3 - UTM10x10 + Elevation",210
"T-P33542","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.515541619,42.91571092,"2 - UTM1x1 + Centroid",200
"Q-P10042","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,NA,-7.128977716,41.91744476,"3 - UTM10x10 + Elevation",780
"R-P23999","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",200,1986,-6.995282441,42.38985921,"4 - UTM10x10 + Centroid",98
"T-P33543","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.590665094,42.82587088,"3 - UTM10x10 + Elevation",200
"Q-P10054","V10Y","Catapodietum patentis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",16,2000,-6.597757147,41.81828152,"3 - UTM10x10 + Elevation",830
"T-P33532","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.511500273,42.8981376,"3 - UTM10x10 + Elevation",300
"T-P12096","V10Y","Spergulario-Arnoseretum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1988,-5.774226342,42.7002455,"3 - UTM10x10 + Elevation",1120
"R-P21301","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1995,-7.521570042,42.48786327,"1 - UTM1x1 + Elevation",320
"U-P10343","V10Y","Linaria delphinioides-Arnoseretum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.527323959,42.71912874,"3 - UTM10x10 + Elevation",163
"Q-P14975","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1982,-7.720513206,42.60947055,"3 - UTM10x10 + Elevation",340
"T-P36768","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1993,-7.500174758,42.5625352,"1 - UTM1x1 + Elevation",410
"S-P19641","V10Y","Chenopodietalia albi","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1972,-8.090827989,43.11212926,"3 - UTM10x10 + Elevation",490
"T-P36770","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1993,-7.561289117,42.56551573,"1 - UTM1x1 + Elevation",370
"S-P19642","V10Y","Chenopodietalia albi","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1972,-8.02314755,43.12593125,"3 - UTM10x10 + Elevation",490
"S-P20395","V10Y","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",8,1972,-8.850157672,42.30876246,"3 - UTM10x10 + Elevation",20
"T-P12087","V10Y","Spergulario-Arnoseretum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.612293157,42.62643471,"3 - UTM10x10 + Elevation",620
"S-P20381","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",5,1972,-8.655053696,42.32398425,"3 - UTM10x10 + Elevation",50
"Q-P10051","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,NA,-6.962255002,41.75584432,"3 - UTM10x10 + Elevation",850
"T-P33536","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.574588079,42.83745977,"3 - UTM10x10 + Elevation",250
"S-P12055","V10Y","Chrysanthemum-Oxalidetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1975,-6.578877179,43.52426077,"3 - UTM10x10 + Elevation",220
"T-P12078","V10Y","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1988,-6.352558095,42.64874654,"3 - UTM10x10 + Elevation",870
"T-P12100","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.68302659,42.79165488,"3 - UTM10x10 + Elevation",950
"T-P36769","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1993,-7.592446428,42.49224194,"1 - UTM1x1 + Elevation",300
"T-P12097","V10Y","Spergulario-Arnoseretum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1988,-5.748270154,42.72068205,"3 - UTM10x10 + Elevation",1170
"U-P10358","V10Y","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.63877358,42.5210343,"3 - UTM10x10 + Elevation",79
"Q-P10036","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",12,NA,-6.594360057,41.84360189,"3 - UTM10x10 + Elevation",940
"Q-P14976","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.706338961,42.61545689,"3 - UTM10x10 + Elevation",370
"S-P20382","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",5,1972,-8.73873381,42.28380534,"3 - UTM10x10 + Elevation",40
"R-P21306","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1995,-7.375360467,42.58898722,"1 - UTM1x1 + Elevation",500
"Q-P10052","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,NA,-6.951235016,41.88949185,"3 - UTM10x10 + Elevation",790
"Q-P10050","V10Y",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,NA,-6.956713676,41.78304936,"3 - UTM10x10 + Elevation",880
"Q-P07847","V10Y","Associació-Desconeguda","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1953,-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49
"T-P12098","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.708827691,42.81423125,"3 - UTM10x10 + Elevation",860
"Q-P14990","V10Y","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1982,-7.891862858,42.30696634,"3 - UTM10x10 + Elevation",230
"T-P12095","V10Y","Spergulario-Arnoseretum minimae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",910
"T-P33537","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.544830183,42.887521,"3 - UTM10x10 + Elevation",250
"T-P36771","V10Y","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1993,-7.43013428,42.50224556,"1 - UTM1x1 + Elevation",480
"T-P33535","V10Y","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.535426896,42.86457177,"1 - UTM1x1 + Elevation",300
