"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"39","R-P15155","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",15,1983,-2.443928241,43.20437335,"1 - UTM1x1 + Elevation",530,"",NA,"Balloto-Conion maculati"
"40","R-P15156","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","V39",30,1983,-2.343251697,42.94990072,"2 - UTM1x1 + Centroid",1050,"",NA,"Cirsion richterano-chodati"
"41","R-P15157","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","V39",6,1983,-2.343251697,42.94990072,"2 - UTM1x1 + Centroid",1000,"",NA,"Cirsion richterano-chodati"
"42","R-P22245","Geranio robertiani-Caryolophetum sempervirentis","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","R",10,1999,-8.085085853,41.90421193,"1 - UTM1x1 + Elevation",380,"",5,"Balloto-Conion maculati"
"43","R-P23936","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",4,1986,-6.792434257,42.3396754,"3 - UTM10x10 + Elevation",980,"S",3,"Balloto-Conion maculati"
"44","R-P23951","Comunidad de Smyrnium olusatrum","Allion triquetri","Chenopodietea","V39",2,1986,-6.792109824,42.33428357,"3 - UTM10x10 + Elevation",900,"S",15,"Balloto-Conion maculati"
"45","R-P24471","Parietarietum judaicae","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V",20,2012,-6.714726725,42.42146086,"1 - UTM1x1 + Elevation",470,"S",90,"Balloto-Conion maculati"
"46","R-P24473","Parietarietum judaicae","Galio valantiae-Parietarion judaicae","Cymbalario-Parietarietea diffusae","V",6,2012,-6.700276782,42.4237297,"1 - UTM1x1 + Elevation",522,"SW",100,"Balloto-Conion maculati"
"47","R-P24669","Geranio robertiani-Caryolophetum sempervirentis","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","V39",10,2012,-6.703963652,42.40380101,"1 - UTM1x1 + Elevation",791,"",15,"Balloto-Conion maculati"
"48","R-P24675","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",6,2012,-6.704069534,42.40559845,"1 - UTM1x1 + Elevation",700,"W",3,"Balloto-Conion maculati"
"49","R-P24677","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,2012,-6.628592361,42.27655082,"1 - UTM1x1 + Elevation",1190,"",NA,"Balloto-Conion maculati"
