"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"54","U-P12313","Cypero eragrostidi-Bidentetum frondosae",18,2006,-7.72860688,42.45878285,"2 - UTM1x1 + Centroid",120,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"55","U-P12314","Cypero eragrostidi-Bidentetum frondosae",60,2006,-8.614620623,41.75884187,"3 - UTM10x10 + Elevation",10,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"56","U-P12315","Cypero eragrostidi-Bidentetum frondosae",60,2006,-8.464409098,41.80211652,"3 - UTM10x10 + Elevation",25,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"57","U-P12316","Cypero eragrostidi-Bidentetum frondosae",20,2006,-7.863751698,42.03626869,"1 - UTM1x1 + Elevation",600,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"58","U-P12317","Cypero eragrostidi-Bidentetum frondosae",30,2006,-8.790970721,42.87529564,"1 - UTM1x1 + Elevation",240,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"59","U-P12318","Cypero eragrostidi-Bidentetum frondosae",80,2006,-8.732723129,42.90704323,"1 - UTM1x1 + Elevation",145,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"60","U-P12319","Cypero eragrostidi-Bidentetum frondosae",120,2006,-8.649374652,42.74556232,"1 - UTM1x1 + Elevation",5,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"61","U-P12320","Cypero eragrostidi-Bidentetum frondosae",50,2006,-8.145366263,42.29213397,"2 - UTM1x1 + Centroid",70,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"62","U-P12321","Cypero eragrostidi-Bidentetum frondosae",50,2006,-8.654818506,42.85871873,"1 - UTM1x1 + Elevation",45,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"63","U-P12322","Cypero eragrostidi-Bidentetum frondosae",25,2006,-7.348977197,42.4549398,"1 - UTM1x1 + Elevation",245,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"64","U-P12323","Filaginello uliginosae-Bidentetum tripartitae",75,2006,-8.277197325,43.27830926,"1 - UTM1x1 + Elevation",35,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"65","U-P12324","Filaginello uliginosae-Bidentetum tripartitae",20,2006,-7.826181572,42.05046298,"1 - UTM1x1 + Elevation",610,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"66","U-P12325","Filaginello uliginosae-Bidentetum tripartitae",80,2006,-7.941702648,41.98251327,"1 - UTM1x1 + Elevation",550,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"67","U-P12326","Filaginello uliginosae-Bidentetum tripartitae",60,2006,-7.122302869,42.14999299,"1 - UTM1x1 + Elevation",650,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"68","U-P12327","Filaginello uliginosae-Bidentetum tripartitae",75,2006,-8.287014902,43.27785462,"1 - UTM1x1 + Elevation",35,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"69","U-P12328","Filaginello uliginosae-Bidentetum tripartitae",25,2006,-8.945911905,42.98434854,"1 - UTM1x1 + Elevation",280,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
"70","U-P12329","Filaginello uliginosae-Bidentetum tripartitae",60,2006,-9.007429302,42.98652566,"1 - UTM1x1 + Elevation",275,"Bidention tripartitae","Bidentetalia","Bidentetea","Paspalo-Agrostion semiverticillati"
"71","U-P12330","Filaginello uliginosae-Bidentetum tripartitae",40,2006,-7.612694662,42.79933794,"2 - UTM1x1 + Centroid",320,"Bidention tripartitae","Bidentetalia","Bidentetea","Bidention tripartitae"
