"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"27","Q-P09508",163,"Echio rosulati-Picridetum echioisia",81,"Dauco-Melilotion","V38","",NA,NA,"2002",-8.642217634,41.77188901,"3 - UTM10x10 + Elevation",10,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"28","Q-P09510",165,"Echio rosulati-Picridetum echioisia",83,"Dauco-Melilotion","V38","",NA,NA,"2002",-8.559760071,41.14936218,"3 - UTM10x10 + Elevation",70,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"29","Q-P09511",166,"Echio rosulati-Picridetum echioisia",84,"Dauco-Melilotion","V38","",NA,NA,"2002",-8.625035142,41.1605866,"3 - UTM10x10 + Elevation",80,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"30","Q-P09512",167,"Echio rosulati-Picridetum echioisia",85,"Dauco-Melilotion","V38","",NA,NA,"2002",-8.637550131,41.22298792,"3 - UTM10x10 + Elevation",70,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"31","Q-P09513",168,"Echio rosulati-Picridetum echioisia",86,"Dauco-Melilotion","V38","",NA,NA,"2002",-8.631537195,42.06048304,"2 - UTM1x1 + Centroid",70,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"32","Q-P09946",179,"Comunidad de Carduus carpetanus",87,"Sisymbrion officinalis","V32","",NA,6,"2000",-6.830072255,41.71711066,"3 - UTM10x10 + Elevation",900,"Cirsion richterano-chodati","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"33","Q-P09951",184,"Carlino corymbosae-Carthametum lanati",1051,"Sisymbrion officinalis","V33","W",54,4,"2000",-6.80628046,41.80254728,"3 - UTM10x10 + Elevation",680,"Onopordion castellani","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"34","Q-P09952",185,"Carlino corymbosae-Carthametum lanati",88,"Sisymbrion officinalis","V33","",NA,10,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",560,"Onopordion castellani","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"35","Q-P09959",188,"Comunidad de Carduus pycnocephalus y Carduus tenuiflorus",209959,"Sisymbrion officinalis","V33","",NA,10,"2000",-6.994015306,41.84118635,"3 - UTM10x10 + Elevation",760,"Hordeion murini","Chenopodietea",0,"Polygono-Poetea annuae"
"36","Q-P09962",189,"Comunidad de Carduus pycnocephalus y Carduus tenuiflorus",209962,"Sisymbrion officinalis","V32","",NA,8,"2000",-6.605977199,41.83603333,"3 - UTM10x10 + Elevation",820,"Hordeion murini","Chenopodietea",0,"Polygono-Poetea annuae"
"37","Q-P10027",213,"Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",92,"Sisymbrion officinalis","V32","SE",25,6,"2000",-6.725117844,41.89706054,"3 - UTM10x10 + Elevation",660,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"38","Q-P10028",214,"Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",93,"Sisymbrion officinalis","V32","",NA,2,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",520,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"39","Q-P10029",215,"Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",94,"Sisymbrion officinalis","V37","",NA,2,"2000",-6.803064813,41.91071034,"3 - UTM10x10 + Elevation",1000,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"40","Q-P10031",217,"Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",96,"Sisymbrion officinalis","V32","",NA,8,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",600,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"41","Q-P10032",218,"Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",97,"Sisymbrion officinalis","V32","",NA,6,"2000",-6.927495113,41.85609022,"3 - UTM10x10 + Elevation",600,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"42","Q-P10033",219,"Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",98,"Sisymbrion officinalis","V37","",NA,6,"2000",-7.038993386,41.82880563,"3 - UTM10x10 + Elevation",740,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"43","Q-P10034",220,"Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",99,"Sisymbrion officinalis","V32","",NA,16,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",500,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"44","Q-P10035",221,"Comunidad de Sisymbrium officinalis y Hordeum murinum supbs. leporinum",100,"Sisymbrion officinalis","V32","",NA,4,"2000",-6.584742758,41.84390284,"3 - UTM10x10 + Elevation",900,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"45","Q-P10413",304,"Trifolio fragiferi-Cynodontetum dactyli",210413,"Dauco-Melilotion","R36","S",9,4,"2000",-6.808149786,41.79348049,"3 - UTM10x10 + Elevation",750,"Trifolion maritimi","Molinio-Arrhenatheretea",0,"Polygono-Poetea annuae"
"46","R-P07579",375,"Polygono-Chenopodion polyspermi",151,"Dauco-Melilotion","V","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Polygono-Poetea annuae"
"47","R-P07580",376,"Polygono-Chenopodion polyspermi",152,"Dauco-Melilotion","R22","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Polygono-Poetea annuae"
"48","R-P07581",377,"Polygono-Chenopodion polyspermi",153,"Dauco-Melilotion","R","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"49","R-P07582",378,"Polygono-Chenopodion polyspermi",154,"Dauco-Melilotion","R","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"50","R-P07583",379,"Polygono-Chenopodion polyspermi",155,"Dauco-Melilotion","R","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Polygono-Poetea annuae"
"51","R-P07584",380,"Polygono-Chenopodion polyspermi",156,"Dauco-Melilotion","H25","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Polygono-Poetea annuae"
"52","R-P07586",382,"Polygono-Chenopodion polyspermi",158,"Dauco-Melilotion","R","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"53","R-P07587",383,"Polygono-Chenopodion polyspermi",159,"Dauco-Melilotion","H25","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"54","R-P07588",384,"Polygono-Chenopodion polyspermi",1131,"Dauco-Melilotion","V","",NA,1,"1949",-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"Oxalidion europaeae","Papaveretea rhoeadis",1,"Polygono-Poetea annuae"
"55","R-P12746",388,"Helmintio echioidis-Melilotetum albae",162,"Sisymbrion officinalis","V38","",NA,30,"1997",-3.044310574,42.75546012,"1 - UTM1x1 + Elevation",490,"Dauco-Melilotion","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"56","R-P12791",394,"Kickxio spuriae-Nigelletum gallicae",1132,"Dauco-Melilotion","V37","",NA,60,"1997",-3.095658079,42.76983748,"3 - UTM10x10 + Elevation",550,"Caucalidion","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"57","R-P12792",395,"Kickxio spuriae-Nigelletum gallicae",1133,"Sisymbrion officinalis","V15","",NA,80,"1997",-3.080971541,42.75544007,"3 - UTM10x10 + Elevation",550,"Caucalidion","Papaveretea rhoeadis",0,"Polygono-Poetea annuae"
"58","R-P12833",397,"Sisymbrio officinalis-Hordeetum murini",1829,"Sisymbrion officinalis","V32","",NA,6,"1997",-3.129894134,42.77520704,"3 - UTM10x10 + Elevation",1000,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"59","R-P15132",435,"Sisymbrio officinalis-Hordeetum murini",175,"Sisymbrion officinalis","V32","",NA,5,"1983",-2.415177533,43.12138581,"1 - UTM1x1 + Elevation",150,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"60","R-P15133",436,"Sisymbrio officinalis-Hordeetum murini",176,"Sisymbrion officinalis","V32","",NA,4,"1983",-2.415177533,43.12138581,"1 - UTM1x1 + Elevation",150,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"61","R-P15134",437,"Sisymbrio officinalis-Hordeetum murini",177,"Sisymbrion officinalis","V37","",NA,5,"1983",-2.417601822,43.12500012,"1 - UTM1x1 + Elevation",140,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"62","R-P15135",438,"Sisymbrio officinalis-Hordeetum murini",1830,"Sisymbrion officinalis","V32","",NA,2,"1983",-2.477114536,43.06585512,"1 - UTM1x1 + Elevation",200,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"63","R-P15136",439,"Sisymbrio officinalis-Hordeetum murini",178,"Sisymbrion officinalis","V37","",NA,5,"1983",-2.504438008,43.02815573,"1 - UTM1x1 + Elevation",230,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"64","R-P15137",440,"Sisymbrio officinalis-Hordeetum murini",179,"Sisymbrion officinalis","V37","",NA,4,"1983",-2.575973688,42.97801475,"1 - UTM1x1 + Elevation",630,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"65","R-P15138",441,"Sisymbrio officinalis-Hordeetum murini",1831,"Sisymbrion officinalis","V37","",NA,4,"1983",-2.417653067,43.11959746,"1 - UTM1x1 + Elevation",150,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"66","R-P15139",442,"Sisymbrio officinalis-Hordeetum murini",180,"Sisymbrion officinalis","V37","",NA,4,"1983",-2.508787101,43.09841323,"1 - UTM1x1 + Elevation",420,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"67","R-P15140",443,"Sisymbrio officinalis-Hordeetum murini",181,"Sisymbrion officinalis","V37","",NA,4,"1983",-2.508787101,43.09841323,"1 - UTM1x1 + Elevation",400,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"68","R-P15141",444,"Sisymbrio officinalis-Hordeetum murini",182,"Sisymbrion officinalis","V37","",NA,10,"1983",-2.476101198,43.18471474,"2 - UTM1x1 + Centroid",120,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"69","R-P15142",445,"Sisymbrio officinalis-Hordeetum murini",183,"Sisymbrion officinalis","V37","",NA,4,"1983",-2.394417429,42.98260123,"1 - UTM1x1 + Elevation",910,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"70","R-P15143",446,"Sisymbrio officinalis-Hordeetum murini",184,"Sisymbrion officinalis","V37","",NA,4,"1983",-2.422586771,43.11782149,"1 - UTM1x1 + Elevation",200,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"71","R-P22237",513,"Echio rosulati-Silybetum mariani",201,"Sisymbrion officinalis","V33","S",NA,20,"1999",-8.04015333,41.8845907,"1 - UTM1x1 + Elevation",670,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"72","R-P22238",514,"Echio rosulati-Silybetum mariani",1150,"Sisymbrion officinalis","V38","W",NA,5,"1999",-8.025036267,41.90686225,"3 - UTM10x10 + Elevation",710,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"73","R-P22239",515,"Echio rosulati-Silybetum mariani",202,"Sisymbrion officinalis","V38","",NA,9,"1999",-7.958154108,41.94578957,"1 - UTM1x1 + Elevation",810,"Silybo mariani-Urticion piluliferae","Artemisietea vulgaris",0,"Polygono-Poetea annuae"
"74","R-P22293",560,"Sisymbrio officinalis-Hordeetum murini",210,"Sisymbrion officinalis","V37","S",NA,2,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",390,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"75","R-P22294",561,"Sisymbrio officinalis-Hordeetum murini",211,"Dauco-Melilotion","V38","S",5,2,"1999",-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",392,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"76","R-P22295",562,"Sisymbrio officinalis-Hordeetum murini",212,"Sisymbrion officinalis","V32","",NA,3,"1999",-8.094550028,41.90199074,"1 - UTM1x1 + Elevation",405,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"77","R-P22296",563,"Sisymbrio officinalis-Hordeetum murini",1187,"Sisymbrion officinalis","V37","N",NA,2,"1999",-8.116205221,41.9316354,"1 - UTM1x1 + Elevation",490,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"78","R-P22297",564,"Sisymbrio officinalis-Hordeetum murini",1188,"Sisymbrion officinalis","V32","E",5,3,"1999",-8.11125611,41.93005582,"1 - UTM1x1 + Elevation",500,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"79","R-P22298",565,"Bromo diandri-Carduetum tenuiflori",213,"Sisymbrion officinalis","V32","NW",NA,10,"1999",-7.941424446,41.97892401,"1 - UTM1x1 + Elevation",580,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"80","R-P23932",596,"Galio aparines-Conietum maculati",217,"Sisymbrion officinalis","V37","",NA,10,"1986",-6.811675658,42.3768543,"3 - UTM10x10 + Elevation",1200,"Arction lappae","Epilobietea angustifolii",0,"Polygono-Poetea annuae"
"81","R-P24021",653,"Sisymbrio officinalis-Hordeetum murini",239,"Sisymbrion officinalis","V32","",NA,2,"1986",-6.797279383,42.33951481,"3 - UTM10x10 + Elevation",1000,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"82","R-P24023",655,"Sisymbrio officinalis-Hordeetum murini",241,"Sisymbrion officinalis","V32","",NA,2,"1986",-7.048826985,42.36330962,"3 - UTM10x10 + Elevation",960,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"83","R-P24024",656,"Sisymbrio officinalis-Hordeetum murini",242,"Sisymbrion officinalis","V37","S",10,2,"1986",-6.792326103,42.33787812,"3 - UTM10x10 + Elevation",950,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"84","R-P24025",657,"",243,"Sisymbrion officinalis","V32","S",30,4,NA,-6.826785866,42.34573582,"3 - UTM10x10 + Elevation",580,"Unknown",NA,0,"Polygono-Poetea annuae"
"85","R-P24027",659,"",245,"Sisymbrion officinalis","V32","",NA,4,NA,-6.798943615,42.32685361,"3 - UTM10x10 + Elevation",1000,"Unknown",NA,0,"Polygono-Poetea annuae"
"86","R-P24028",660,"",246,"Sisymbrion officinalis","V32","",NA,5,NA,-6.797320285,42.29989455,"3 - UTM10x10 + Elevation",1000,"Unknown",NA,0,"Polygono-Poetea annuae"
"87","R-P24030",662,"",248,"Sisymbrion officinalis","V32","",NA,20,NA,-6.857728847,42.37531167,"3 - UTM10x10 + Elevation",680,"Unknown",NA,0,"Polygono-Poetea annuae"
"88","R-P24031",663,"",249,"Sisymbrion officinalis","V32","NW",20,10,NA,-7.048942545,42.36510634,"3 - UTM10x10 + Elevation",960,"Unknown",NA,0,"Polygono-Poetea annuae"
"89","R-P24032",664,"",250,"Sisymbrion officinalis","V32","SE",60,2,NA,-7.023439688,42.38401365,"3 - UTM10x10 + Elevation",960,"Unknown",NA,0,"Polygono-Poetea annuae"
"90","R-P24034",666,"",252,"Sisymbrion officinalis","V32","",NA,1,NA,-6.805775828,42.3194233,"3 - UTM10x10 + Elevation",1000,"Unknown",NA,0,"Polygono-Poetea annuae"
"91","R-P24040",668,"Bromo diandri-Carduetum tenuiflori",254,"Sisymbrion officinalis","V32","",NA,15,"1986",-6.826418776,42.41958264,"3 - UTM10x10 + Elevation",350,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"92","R-P24047",673,"Bromo diandri-Carduetum tenuiflori",259,"Sisymbrion officinalis","V32","",NA,4,"1986",-6.815516372,42.40013733,"3 - UTM10x10 + Elevation",680,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"93","R-P24646",736,"Sisymbrio officinalis-Hordeetum murini",268,"Sisymbrion officinalis","R","",NA,5,"2012",-6.58359246,42.25275488,"1 - UTM1x1 + Elevation",1020,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"94","R-P24648",738,"Sisymbrio officinalis-Hordeetum murini",270,"Sisymbrion officinalis","V37","",NA,40,"2012",-6.455859282,42.31070755,"1 - UTM1x1 + Elevation",1250,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"95","R-P24650",740,"Sisymbrio officinalis-Hordeetum murini",272,"Sisymbrion officinalis","V32","",NA,4,"2012",-6.505303681,42.32721412,"1 - UTM1x1 + Elevation",991,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"96","R-P24651",741,"Sisymbrio officinalis-Hordeetum murini",273,"Sisymbrion officinalis","V37","",NA,10,"2012",-6.828515861,42.41411,"1 - UTM1x1 + Elevation",351,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"97","R-P24652",742,"Sisymbrio officinalis-Hordeetum murini",274,"Sisymbrion officinalis","V32","",NA,15,"2012",-6.807093734,42.46164624,"1 - UTM1x1 + Elevation",381,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"98","R-P24653",743,"Sisymbrio officinalis-Hordeetum murini",275,"Sisymbrion officinalis","V32","SE",5,4,"2012",-6.700382632,42.42552714,"1 - UTM1x1 + Elevation",501,"Sisymbrion officinalis","Sisymbrietea",1,"Polygono-Poetea annuae"
"99","R-P24654",744,"Sisymbrio officinalis-Hordeetum murini",276,"Sisymbrion officinalis","V32","W",5,6,"2012",-6.801401816,42.40781028,"1 - UTM1x1 + Elevation",574,"Sisymbrion officinalis","Sisymbrietea",0,"Polygono-Poetea annuae"
"100","R-P27073",786,"Coleostepho myconis-Galactitetum tomentosae",309,"Dauco-Melilotion","V33","",NA,10,"1985",-5.814756567,43.6140776,"4 - UTM10x10 + Centroid",48,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"101","R-P27074",787,"Coleostepho myconis-Galactitetum tomentosae",310,"Sisymbrion officinalis","V","",NA,5,"1985",-6.949739134,43.54130303,"4 - UTM10x10 + Centroid",47,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"102","R-P27075",788,"Coleostepho myconis-Galactitetum tomentosae",311,"Sisymbrion officinalis","V32","",0,8,"1985",-8.645063554,42.42890235,"3 - UTM10x10 + Elevation",5,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"103","R-P27078",790,"Coleostepho myconis-Galactitetum tomentosae",313,"Sisymbrion officinalis","V32","SW",30,30,"1985",-8.543430035,42.81737201,"3 - UTM10x10 + Elevation",220,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"104","R-P27079",791,"Coleostepho myconis-Galactitetum tomentosae",314,"Sisymbrion officinalis","V32","W",NA,8,"1985",-7.616743442,43.66705507,"3 - UTM10x10 + Elevation",40,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"105","R-P27087",798,"Coleostepho myconis-Galactitetum tomentosae",1251,"Sisymbrion officinalis","R","",5,9,"1985",-8.896225772,42.77268555,"3 - UTM10x10 + Elevation",35,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"106","R-P27089",800,"Coleostepho myconis-Galactitetum tomentosae",317,"Sisymbrion officinalis","V32","NE",NA,5,"1985",-8.655536799,42.30235536,"3 - UTM10x10 + Elevation",40,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"107","R-P27091",802,"Coleostepho myconis-Galactitetum tomentosae",318,"Sisymbrion officinalis","V32","",NA,10,"1985",-7.868039742,42.34399505,"3 - UTM10x10 + Elevation",110,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"108","R-P27092",803,"Coleostepho myconis-Galactitetum tomentosae",1254,"Sisymbrion officinalis","V32","SW",45,10,"1985",-8.218287074,43.28101945,"3 - UTM10x10 + Elevation",40,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"109","R-P27095",806,"Coleostepho myconis-Galactitetum tomentosae",320,"Sisymbrion officinalis","V33","",NA,25,"1985",-7.847236582,42.31138127,"4 - UTM10x10 + Centroid",305,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
"110","R-P27096",807,"Coleostepho myconis-Galactitetum tomentosae",321,"Sisymbrion officinalis","V33","",NA,10,"1985",-7.492084004,41.94706717,"4 - UTM10x10 + Centroid",515,"Echio-Galactition tomentosae","Chenopodietea",0,"Polygono-Poetea annuae"
