"","SIVIMID","X","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1","L2"
"76","S-P16230",1114,"Geranio robertiani-Cariolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",20,1987,-5.868498864,42.83839277,"3 - UTM10x10 + Elevation",1050,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"77","S-P16231",1115,"Geranio robertiani-Cariolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",5,1987,-6.28897324,42.69201194,"3 - UTM10x10 + Elevation",860,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"78","S-P16232",1116,"Geranio robertiani-Cariolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",20,1987,-6.276102577,42.63295209,"3 - UTM10x10 + Elevation",800,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"79","S-P16233",1117,"Geranio robertiani-Cariolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",4,1987,-5.838343321,42.82113585,"3 - UTM10x10 + Elevation",1000,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"80","S-P16234",1118,"Geranio robertiani-Cariolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",20,1987,-6.501838542,42.61366083,"3 - UTM10x10 + Elevation",630,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"81","S-P16235",1119,"Geranio robertiani-Cariolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",40,1987,-6.295195632,42.25420972,"3 - UTM10x10 + Elevation",980,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"82","S-P16236",1120,"Geranio robertiani-Cariolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",25,1987,-6.377725136,42.1653602,"3 - UTM10x10 + Elevation",1090,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"83","T-P04815",1428,"Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","V37",10,1984,-4.794555687,43.1880464,"3 - UTM10x10 + Elevation",1900,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"84","T-P05967",1528,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",5,1997,-7.603684858,42.54581003,"1 - UTM1x1 + Elevation",440,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"85","T-P05968",1529,"Chelidonio maji-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",15,1997,-7.618385246,42.54701789,"2 - UTM1x1 + Centroid",410,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"86","T-P06541",1541,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",5,1995,-2.309589955,42.67053712,"2 - UTM1x1 + Centroid",510,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"87","T-P06542",1542,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1995,-2.309589955,42.67053712,"2 - UTM1x1 + Centroid",500,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"88","T-P06543",1543,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",6,1995,-1.86232006,42.83806942,"1 - UTM1x1 + Elevation",850,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"89","T-P06544",1544,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",2,1995,-2.137259703,42.77743413,"2 - UTM1x1 + Centroid",560,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"90","T-P06546",1546,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","R55",6,1995,-3.530960773,43.35757123,"1 - UTM1x1 + Elevation",50,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"91","T-P06547",1547,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1995,-1.823085561,42.97094829,"1 - UTM1x1 + Elevation",600,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"92","T-P06548",1548,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",8,1995,-3.227958271,42.84889796,"1 - UTM1x1 + Elevation",750,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"93","T-P06549",1549,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1995,-3.188756175,42.83636183,"1 - UTM1x1 + Elevation",900,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"94","T-P06550",1550,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",3,1995,-2.435767676,42.75227771,"1 - UTM1x1 + Elevation",690,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"95","T-P06552",1552,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",8,1995,-3.227958271,42.84889796,"1 - UTM1x1 + Elevation",760,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"96","T-P06554",1553,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","R",6,1995,-2.39447045,42.97719846,"1 - UTM1x1 + Elevation",740,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"97","T-P06555",1554,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","R57",4,1995,-1.882625593,43.20386979,"1 - UTM1x1 + Elevation",180,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"98","T-P06556",1555,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","R55",3,1995,-2.384677651,42.97534521,"1 - UTM1x1 + Elevation",870,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"99","T-P06557",1556,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","R57",6,1995,-2.343117619,42.96250711,"1 - UTM1x1 + Elevation",1150,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"100","T-P06558",1557,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V",5,1995,-2.391946774,42.98438914,"1 - UTM1x1 + Elevation",960,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"101","T-P06566",1565,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",20,1995,-2.589671789,42.76193799,"2 - UTM1x1 + Centroid",770,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"102","T-P06567",1566,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V39",20,1995,-2.623016772,42.90613801,"1 - UTM1x1 + Elevation",520,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"103","T-P06570",1569,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",50,1995,-2.904694692,42.95354606,"1 - UTM1x1 + Elevation",640,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"104","T-P06574",1573,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V39",40,1995,-1.870004948,42.9534111,"1 - UTM1x1 + Elevation",750,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"105","T-P06575",1574,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",30,1995,-1.879418436,42.9751157,"1 - UTM1x1 + Elevation",650,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"106","T-P06576",1575,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",50,1995,-1.925730057,42.99176877,"2 - UTM1x1 + Centroid",610,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"107","T-P06577",1576,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V39",40,1995,-1.830475884,42.96922304,"1 - UTM1x1 + Elevation",580,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"108","T-P06579",1578,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V39",30,1995,-1.710895694,42.94092363,"1 - UTM1x1 + Elevation",550,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
