"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"59","R-P22243","Geranio robertiani-Caryolophetum sempervirentis","V39Y",10,1999,-7.975960117,41.9576217,"1 - UTM1x1 + Elevation",590,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"60","R-P22244","Geranio robertiani-Caryolophetum sempervirentis","V39Y",5,1999,-7.992087464,41.94791673,"3 - UTM10x10 + Elevation",680,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"61","R-P22245","Geranio robertiani-Caryolophetum sempervirentis",NA,10,1999,-8.085085853,41.90421193,"1 - UTM1x1 + Elevation",380,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"62","R-P22246","Geranio robertiani-Caryolophetum sempervirentis","V39Y",15,1999,-7.921455893,41.90775824,"1 - UTM1x1 + Elevation",875,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"63","R-P22248","Picridio hieracioidis-Eupatorietum cannabini","R55Y",30,1999,-8.068130508,41.90316286,"1 - UTM1x1 + Elevation",350,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"64","R-P22249","Picridio hieracioidis-Eupatorietum cannabini","R55Y",30,1999,-8.070817042,41.90664516,"1 - UTM1x1 + Elevation",350,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"65","R-P22250","Picridio hieracioidis-Eupatorietum cannabini","R55Y",4,1999,-8.080852744,41.91160219,"1 - UTM1x1 + Elevation",415,"Cynancho-Convolvulion sepium","Convolvuletalia sepium","Epilobietea angustifolii","Cynancho-Convolvulion sepium"
"66","R-P23931","Galio aparines-Conietum maculati","V37W",30,1986,-6.792262196,42.29646044,"3 - UTM10x10 + Elevation",1000,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"67","R-P23932","Galio aparines-Conietum maculati","V37W",10,1986,-6.811675658,42.3768543,"3 - UTM10x10 + Elevation",1200,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"68","R-P23933","Galio aparines-Conietum maculati","V37W",4,1986,-6.803317844,42.35912377,"3 - UTM10x10 + Elevation",1200,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"69","R-P23934","Galio aparines-Conietum maculati","V39X",25,1986,-6.787049106,42.33084935,"3 - UTM10x10 + Elevation",880,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"70","R-P23935","Galio aparines-Conietum maculati","V39Y",2,1986,-6.794250948,42.2891911,"3 - UTM10x10 + Elevation",980,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"71","R-P23936","Galio aparines-Conietum maculati","V39X",4,1986,-6.792434257,42.3396754,"3 - UTM10x10 + Elevation",980,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"72","R-P23941","Geranio robertiani-Caryolophetum sempervirentis","V39Y",20,1986,-6.906536601,42.37905898,"3 - UTM10x10 + Elevation",880,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
