"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"45","Q-P13525","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.264632808,41.86008796,"3 - UTM10x10 + Elevation",110,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"46","Q-P13526","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.591556494,40.99117886,"3 - UTM10x10 + Elevation",90,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"47","Q-P13527","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.68699512,41.29796642,"3 - UTM10x10 + Elevation",70,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"48","Q-P13528","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.642655277,41.28215125,"3 - UTM10x10 + Elevation",100,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"49","Q-P13529","Allio triquetri-Urticetum membranaceae",NA,NA,2003,-8.538011733,41.25844143,"3 - UTM10x10 + Elevation",145,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"50","Q-P13530","Allio triquetri-Urticetum membranaceae","V37Y",NA,2003,-8.247836068,41.86085883,"3 - UTM10x10 + Elevation",100,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Allion triquetri"
"51","R-P20908","Scrophulario-Vulpietum alopecuroris","V32Z",60,1989,NA,NA,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"52","R-P20909","Scrophulario-Vulpietum alopecuroris","V32Z",150,1989,NA,NA,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"53","R-P20911","Scrophulario-Vulpietum alopecuroris","V32Z",100,1989,NA,NA,"5 - UTMs missing from DEM",NA,"Linario polygalifoliae-Vulpion alopecuri","Brometalia rubenti-tectorum","Chenopodietea","Linario polygalifoliae-Vulpion alopecuri"
"54","R-P23983","Urtico urentis-Malvetum neglectae","V37X",1,1986,-6.781557753,42.32022567,"3 - UTM10x10 + Elevation",1000,"Chenopodion muralis","Chenopodietalia","Chenopodietea","Chenopodion muralis"
"55","R-P23984","Urtico urentis-Malvetum neglectae","V37X",2,1986,-6.80610126,42.32481505,"3 - UTM10x10 + Elevation",900,"Chenopodion muralis","Chenopodietalia","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"56","R-P23985","Urtico urentis-Malvetum neglectae","V37X",4,1986,-6.797062809,42.33592028,"3 - UTM10x10 + Elevation",900,"Chenopodion muralis","Chenopodietalia","Chenopodietea","Chenopodion muralis"
"57","R-P23988","Urtico urentis-Malvetum neglectae","V37X",1,1986,-6.785335962,42.3831308,"3 - UTM10x10 + Elevation",1260,"Chenopodion muralis","Chenopodietalia","Chenopodietea","Chenopodion muralis"
"58","R-P23989","Anthrisco-Geranietum lucidi","V39Y",2,1986,-6.812063445,42.30300642,"3 - UTM10x10 + Elevation",990,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"59","R-P23990","Anthrisco-Geranietum lucidi","V37Z",2,1986,-6.80765505,42.31035653,"3 - UTM10x10 + Elevation",900,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
