Percentage synoptic table with fidelity {Phi coeff. C } (26 columns),,,,,,,,,,,,,,,,,,,,,,,,,,
Semisupervised,Aegopodion podagrariae,Allion triquetri,Arction lappae,Balloto-Conion maculati,Bidention tripartitae,Carduo carpetani-Cirsion odontolepidis,Cirsion richterano-chodati,Cymbalario-Asplenion,Cynancho-Convolvulion sepium,Dauco-Melilotion,Echio-Galactition tomentosae,Epilobion angustifolii,Galio valantiae-Parietarion judaicae,Geo urbani-Alliarion officinalis,Geranio pusilli-Anthriscion caucalidis,Linario polygalifoliae-Vulpion alopecuri,Oxalidion europeae,Paspalo-Agrostion semiverticillati,Polycarpion tetraphylli,Polygono-Coronopodion,Saginion procumbentis,Scleranthion annui,Senecionion fluviatilis,Sisymbrion officinalis,Spergulo arvensis-Erodion cicutariae,Noise
Mentha aquatica,  ---,  ---,  ---,  ---,20.6,  ---,  ---,  ---,45.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Picris hieracioides,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,45.6,28.4,4.1,  ---,2.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.2,  ---,  ---,  ---
Brachypodium sylvaticum,5.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,37.5,  ---,  ---,  ---,  ---,5.3,12.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Solanum dulcamara,  ---,  ---,  ---,  ---,27.1,  ---,  ---,  ---,34.9,  ---,  ---,  ---,  ---,3.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1
Hypericum undulatum,  ---,  ---,  ---,0,3.4,  ---,  ---,  ---,33.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Filipendula ulmaria,3.8,  ---,  ---,  ---,2.1,  ---,  ---,  ---,32.4,  ---,  ---,  ---,  ---,5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Salix atrocinerea,  ---,  ---,  ---,  ---,2.8,  ---,  ---,  ---,30.4,1.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.8
Melilotus albus,  ---,  ---,  ---,  ---,4.2,3.1,  ---,  ---,7.2,53.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9
Helminthotheca echioides,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,50.9,21.1,  ---,  ---,  ---,  ---,  ---,  ---,0.7,  ---,  ---,  ---,  ---,  ---,1.1,  ---,5.4
Lotus tenuis,  ---,  ---,  ---,  ---,1.1,  ---,  ---,  ---,  ---,46.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Hypericum perforatum,2.1,  ---,  ---,  ---,  ---,12.4,  ---,  ---,7.9,39.8,3.4,  ---,  ---,  ---,1.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.3
Foeniculum vulgare,  ---,11.2,  ---,1.1,  ---,0.8,  ---,  ---,  ---,37.8,25,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.3,  ---,  ---,  ---
Erigeron canadensis,  ---,  ---,  ---,  ---,11.7,  ---,  ---,0.1,4.1,35.3,2.5,  ---,9.7,  ---,  ---,  ---,  ---,  ---,  ---,0.7,  ---,  ---,  ---,4.7,2.4,2.1
Medicago lupulina,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,31.5,8.8,  ---,  ---,1.7,  ---,  ---,  ---,  ---,  ---,0,  ---,  ---,  ---,0.9,  ---,5
Galactites tomentosus,  ---,3.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.5,84.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Anisantha rigida,0.2,  ---,  ---,  ---,  ---,  ---,  ---,2.7,  ---,  ---,52.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,11.7,  ---,  ---
Lolium multiflorum,  ---,  ---,  ---,4.4,  ---,  ---,  ---,  ---,  ---,  ---,50.7,  ---,  ---,  ---,  ---,  ---,3.5,  ---,  ---,  ---,  ---,4.9,  ---,1.7,0.9,3.4
Coleostephus myconis,  ---,0.3,  ---,  ---,1.2,  ---,  ---,  ---,  ---,  ---,49,  ---,  ---,  ---,  ---,  ---,3.7,  ---,  ---,  ---,  ---,13.9,1.5,  ---,2.5,3.4
Briza maxima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,46.4,  ---,  ---,  ---,2.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.5
Vicia sativa aggr.,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39.2,  ---,  ---,  ---,8.2,  ---,11.4,  ---,  ---,  ---,  ---,18.3,  ---,2.9,  ---,3.3
Avena sativa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,37.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.2,  ---,  ---,  ---,  ---
Silene gallica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,37.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.6,  ---,4.2,2.1,2
Briza minor,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.7,35,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.1,  ---,  ---,  ---,0.7
Vicia hirsuta,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,34.6,  ---,  ---,  ---,0.5,  ---,3.7,  ---,  ---,  ---,  ---,21.3,  ---,  ---,0.2,0.7
Anagallis arvensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.9,31.6,  ---,  ---,  ---,  ---,  ---,10.2,  ---,  ---,  ---,  ---,6.1,  ---,  ---,9.8,9.4
Epilobium angustifolium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,98.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Digitalis purpurea,  ---,  ---,  ---,  ---,  ---,  ---,0.9,  ---,  ---,  ---,1.3,66.5,  ---,1.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12.2,  ---,  ---,  ---
Avenella flexuosa,  ---,  ---,3.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,65.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Luzula lactea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,63.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Linaria triornithophora,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.6,53.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Vaccinium myrtillus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Peucedanum gallicum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Helictochloa marginata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Eryngium duriaei,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,48.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Hypericum richeri,  ---,  ---,2.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,46.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Asphodelus albus,  ---,4.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,44.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.2
Betula celtiberica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,40.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Anemone nemorosa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,40.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Erica arborea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Helleborus foetidus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lilium martagon,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Silene nutans,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cytisus scoparius,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4,  ---,  ---,  ---,  ---
Jacobaea adonidifolia,  ---,  ---,  ---,  ---,  ---,  ---,0.7,  ---,  ---,  ---,  ---,39,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Euphorbia hyberna,  ---,  ---,  ---,0,  ---,  ---,  ---,  ---,  ---,  ---,  ---,38.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
