"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"37","U-P12294",2503,"Cypero eragrostidi-Bidentetum frondosae",612294,"Bidention tripartitae"," C35a  ","",10,20,"2006",-8.29264769,42.11087102,"1 - UTM1x1 + Elevation",35,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"38","U-P12295",2504,"Cypero eragrostidi-Bidentetum frondosae",612295,"Bidention tripartitae"," R     ","",5,8,"2006",-8.308758679,42.10112206,"1 - UTM1x1 + Elevation",35,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"39","U-P12296",2505,"Cypero eragrostidi-Bidentetum frondosae",612296,"Bidention tripartitae"," C35a  ","",45,8,"2006",-8.429880935,42.07563278,"1 - UTM1x1 + Elevation",25,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"40","U-P12297",2506,"Cypero eragrostidi-Bidentetum frondosae",612297,"Bidention tripartitae"," C35e  ","",45,6,"2006",-8.449905444,42.08368313,"1 - UTM1x1 + Elevation",25,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"41","U-P12298",2507,"Cypero eragrostidi-Bidentetum frondosae",612298,"Bidention tripartitae"," C35a  ","",20,20,"2006",-8.490360048,42.07634755,"1 - UTM1x1 + Elevation",20,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"42","U-P12299",2508,"Cypero eragrostidi-Bidentetum frondosae",612299,"Bidention tripartitae"," C35a  ","",15,10,"2006",-8.532429364,42.05991731,"1 - UTM1x1 + Elevation",15,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"43","U-P12300",2509,"Cypero eragrostidi-Bidentetum frondosae",612300,"Bidention tripartitae"," C35a  ","",NA,60,"2006",-8.386858029,42.08126734,"1 - UTM1x1 + Elevation",30,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"44","U-P12301",2510,"Cypero eragrostidi-Bidentetum frondosae",612301,"Bidention tripartitae"," C35a  ","",30,25,"2006",-8.4523126,42.08356845,"1 - UTM1x1 + Elevation",25,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"45","U-P12302",2511,"Cypero eragrostidi-Bidentetum frondosae",612302,"Bidention tripartitae"," Q51   ","",0,100,"2006",-7.895488648,42.35362725,"1 - UTM1x1 + Elevation",95,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"46","U-P12303",2512,"Cypero eragrostidi-Bidentetum frondosae",612303,"Bidention tripartitae"," C35a  ","",NA,40,"2006",-8.206457899,42.14735807,"2 - UTM1x1 + Centroid",50,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
