Analysis.Names,Origin in the Czech Republic,Invasion status,Geographic origin,Year of the first record in the wild,Year of the last record,Period of introduction,Introduction pathway,heightmax,floweringmin,floweringmax,floweringmean,floweringwidth,neophyte,bryophyte,chamaephyte,geophyte,hemicryptophyte,hydrophyte,therophyte,phanerophyte,EIVE1.M,EIVE1.N,EIVE1.R,EIVE1.L,EIVE1.T,Disturbance.Severity,Disturbance.Severity.herblayer,Disturbance.Frequency,Disturbance.Frequency.herblayer,Mowing.Frequency,Grazing.Pressure,Soil.Disturbance
Hypericum androsaemum,absent,,,,,,,120,5,8,6.5,4,0,0,0,0,0,0,0,1,5.7,5.5,5.2,5,5.3,0.66845,0.19044,0.1396,1.3636,0.0212,0.19534,0.10359
Hypericum hircinum,absent,,,,,,,150,6,8,7,3,1,0,0,0,0,0,0,1,5.5,4.8,6,5.7,6.5,0.58931,0.30245,0.34443,1.36084,0.05061,0.20633,0.1025
Hypericum humifusum,native,,,,,,,30,3,9,6,7,0,0,0,0,1,0,0,0,5.5,3.3,3.6,6.9,4.3,0.65185,0.56802,0.85812,1.75468,0.28845,0.25639,0.37893
Hypericum linarifolium aggr. (Hypericum linariifolium aggr.),absent,,,,,,,80,5,8,6.5,4,0,0,0,0,1,0,0,0,3.5,1.5,2.1,6.8,5.3,0.44035,0.30182,0.88749,1.75112,0.18668,0.34138,0.25714
Hypericum perforatum,native,,,,,,,110,4,10,7,7,0,0,0,0,1,0,0,0,3.7,4.3,5.9,6.9,4.6,0.55903,0.41538,0.65189,1.65181,0.43719,0.24279,0.21709
Hypericum pulchrum,native,,,,,,,100,6,8,7,3,0,0,0,0,1,0,0,0,4.3,2.3,2.8,4.5,4.7,0.57041,0.23707,0.2758,1.41765,0.15874,0.23231,0.13231
Hypericum richeri,absent,,,,,,,50,6,9,7.5,4,0,0,0,0,1,0,0,0,4.9,4,7.2,6,2.5,0.3998,0.28693,0.64427,1.15705,0.09423,0.23156,0.08253
Hypericum tetrapterum,native,,,,,,,120,5,9,7,5,0,0,0,0,1,0,0,0,6.4,5,6.1,7,4.1,0.49147,0.42227,0.90078,1.58386,0.5306,0.22728,0.13952
Hypericum undulatum,absent,,,,,,,120,7,9,8,3,0,0,0,0,1,0,0,0,6.4,2.9,4.2,8,4.3,0.44421,0.38725,1.13746,1.79721,0.32331,0.24167,0.14257
Hypnum cupressiforme,absent,,,,,,,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypochaeris glabra,native,,,,,,,60,2,5,3.5,4,0,0,0,0,0,0,1,0,3,2,3.1,8.6,5.7,0.49702,0.46825,1.42549,1.99857,0.4756,0.32016,0.338
Hypochaeris radicata,native,,,,,,,100,5,7,6,3,0,0,0,0,1,0,0,0,4.1,3.2,4.1,7.9,4.4,0.48868,0.46508,1.4426,2.04965,0.7278,0.33931,0.35628
Iberis procumbens,absent,,,,,,,30,NA,NA,NA,NA,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Illecebrum verticillatum,native,,,,,,,30,2,9,5.5,8,0,0,0,0,0,0,1,0,6,2.1,2.5,7.7,5.3,0.65797,0.64884,1.62482,1.95328,0.10379,0.19761,0.38726
Inula conyzae,native,,,,,,,100,5,10,7.5,6,0,0,0,0,1,0,0,0,3.4,3.5,7.4,6.2,4.7,0.62429,0.25629,0.23446,1.41275,0.16264,0.23144,0.12545
"Inula montana (synonym of Pentanema oculus-christi, Inula montbretiana, and Pentanema montanum)",absent,,,,,,,40,5,8,6.5,4,0,0,0,0,1,0,0,0,2.1,1.9,7.9,7.9,5.8,0.51578,0.39006,0.83297,1.7265,0.36601,0.40389,0.20698
Ipomoea indica,absent,,,,,,,1500,2,10,6,9,1,0,0,1,1,0,0,0,5.3,7.2,7.1,7.5,8.1,NA,NA,NA,NA,NA,NA,NA
Iris foetidissima,absent,,,,,,,90,5,10,7.5,6,0,0,0,1,0,0,0,0,3.5,5.8,6.3,6.3,6.4,0.66674,0.20531,0.14165,1.33958,0.0291,0.20376,0.10957
Iris latifolia,absent,,,,,,,85,6,8,7,3,0,0,0,1,0,0,0,0,2.8,3.4,6.3,7.8,3.1,0.44599,0.40672,1.19438,1.84073,0.35082,0.34676,0.1708
Iris pseudacorus,native,,,,,,,130,4,7,5.5,4,0,0,0,0,0,1,0,0,7.5,7.2,6.1,6.4,4.6,0.43652,0.30706,0.64261,1.53904,0.31288,0.16137,0.1152
Isatis tinctoria,archaeophyte/neophyte,naturalized,Mediterranean,,,,,120,4,7,5.5,4,0,0,0,0,1,0,0,0,3,3.5,7.8,8.1,4.8,0.62073,0.55773,1.05738,1.76031,0.36863,0.23711,0.33892
Jacobaea adonidifolia,absent,,,,,,,70,6,9,7.5,4,0,0,0,0,1,0,0,0,2.9,2.1,4.2,7.7,3,0.45942,0.33882,0.71078,1.54827,0.23369,0.27115,0.14919
Jacobaea aquatica,absent,,,,,,,65,1,12,6.5,12,0,0,0,0,1,0,0,0,6.3,4.9,4.5,7.2,4.4,0.51855,0.49267,1.30349,2.00519,0.79441,0.34515,0.18391
Jacobaea erratica,absent,,,,,,,65,1,12,6.5,12,0,0,0,0,1,0,0,0,5.5,4.9,6.1,7.4,4.7,0.50455,0.46335,1.0504,1.79722,0.72327,0.3104,0.16017
Jacobaea vulgaris,absent,,,,,,,70,1,12,6.5,12,0,0,0,0,1,0,0,0,3.6,5.1,6.5,7.7,4.2,0.49579,0.46867,1.36306,1.85033,0.62791,0.29201,0.3217
Jasione montana,native,,,,,,,60,3,8,5.5,6,0,0,0,0,0,0,1,0,2.8,1.8,3.2,7.3,4.6,0.44782,0.3493,0.82673,1.75079,0.32499,0.3099,0.30713
Jasione sessiliflora (synonym of Jasione crispa subsp. sessiliflora),absent,,,,,,,40,5,8,6.5,4,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Juncus acutiflorus,native,,,,,,,118,5,10,7.5,6,0,0,0,0,1,0,0,0,6.6,3.5,4,8.3,4.2,0.45186,0.43436,1.56341,1.8543,0.82536,0.2779,0.16709
Juncus articulatus,native,,,,,,,95,4,9,6.5,6,0,0,0,0,1,0,0,0,6.9,3.2,5.6,7.9,4.2,0.43858,0.43122,1.73217,1.90642,0.49253,0.35261,0.16045
Juncus bufonius,native,,,,,,,45,3,9,6,7,0,0,0,0,0,0,1,0,5.7,4.3,4.2,7.2,4.3,NA,NA,NA,NA,NA,NA,NA
Juncus bulbosus,native,,,,,,,35,3,9,6,7,0,0,0,0,1,0,0,0,7.4,2.9,3.8,7.1,4.3,0.23704,0.22334,1.32493,1.44568,0.13698,0.12985,0.14695
Juncus capitatus,native,,,,,,,18,3,9,6,7,0,0,0,0,0,0,1,0,5.7,2.5,4.1,8.1,5.7,0.51397,0.50714,1.91512,2.06034,0.19538,0.22704,0.31317
Juncus conglomeratus,native,,,,,,,75,5,9,7,5,0,0,0,0,1,0,0,0,6.2,3.9,4.1,7.5,4.1,0.49925,0.46208,1.22933,1.81698,0.75688,0.23816,0.16254
Juncus effusus,native,,,,,,,128,6,9,7.5,4,0,0,0,0,1,0,0,0,6.3,4.3,4.1,6.9,4.3,0.50607,0.41411,0.8416,1.63395,0.47428,0.25096,0.15995
Juncus inflexus,native,,,,,,,137,5,8,6.5,4,0,0,0,0,1,0,0,0,6.2,4.8,7.5,7.6,4.5,0.47966,0.4556,1.28094,1.74859,0.76597,0.36154,0.12632
Juncus subnodulosus,native,,,,,,,110,5,9,7,5,0,0,0,0,1,0,0,0,6.7,4.3,8.4,8.1,4.7,0.3431,0.32466,1.47797,1.65282,0.4407,0.17072,0.138
Juncus tenageia,native,,,,,,,37,5,9,7,5,0,0,0,0,0,0,1,0,5.9,4.3,4,7.9,5.1,0.62683,0.61965,1.69354,1.89338,0.08741,0.20678,0.30595
Kickxia elatine,archaeophyte,naturalized,Mediterranean,,,,,60,6,11,8.5,6,0,0,0,0,0,0,1,0,3.8,5.1,6.7,7.4,5.3,0.81261,0.80387,1.64301,1.93454,0.52798,0.1794,0.72994
Kickxia spuria,archaeophyte,naturalized,Mediterranean,,,Late Middle Ages (1200–1500),unintentional – agriculture,60,6,10,8,5,0,0,0,0,0,0,1,0,3.9,4.9,6.9,7.3,5.6,0.82685,0.82562,2.01491,2.02171,0.64495,0.17239,0.75038
Klasea nudicaulis,absent,,,,,,,60,5,7,6,3,0,0,0,0,1,0,0,0,2.9,2.2,8.6,8.4,3.8,0.49231,0.37051,0.99304,1.67316,0.27292,0.39193,0.18049
Knautia arvensis,native,,,,,,,120,6,8,7,3,0,0,0,0,1,0,0,0,3.6,3.9,6.2,7.2,4.2,0.52269,0.47116,1.1242,1.93135,0.85876,0.19681,0.27698
Knautia nevadensis,absent,,,,,,,120,6,8,7,3,0,0,0,0,1,0,0,0,2.9,2.8,5.2,8.1,3.3,0.59425,0.35,0.39028,1.56019,0.28098,0.21818,0.15926
Koeleria vallesiana,absent,,,,,,,35.9,4,9,6.5,6,0,0,0,0,1,0,0,0,1.7,1.4,8.5,9.2,5.1,0.51032,0.40565,1.03868,1.75582,0.37519,0.40049,0.20785
Lactuca saligna,native,,,,,,,95,6,9,7.5,4,0,0,0,0,0,0,1,0,3.2,5.7,7.6,8.6,6.1,0.65479,0.61702,1.26717,1.89608,0.53706,0.27004,0.39325
Lactuca serriola,archaeophyte,invasive,Mediterranean,,,Early Middle Ages (550–1200),"unintentional – agriculture, unintentional – anthropogenic",230,6,9,7.5,4,0,0,0,0,0,0,1,0,3.4,5.6,6.6,8.6,5.3,0.76525,0.73026,1.22636,1.78874,0.7034,0.16135,0.51807
Lactuca tenerrima,absent,,,,,,,65,5,8,6.5,4,0,0,1,0,0,0,0,0,2.6,4.7,7.7,8.8,6.1,NA,NA,NA,NA,NA,NA,NA
Lactuca viminea,native,,,,,,,120,7,9,8,3,0,0,0,0,1,0,0,0,2.5,3.7,7,6.8,5.9,0.50821,0.39108,0.7011,1.46565,0.18266,0.2736,0.20625
Lactuca virosa,neophyte,casual,Mediterranean,1851,1981,Late Modern Period (1800–1950),intentional – collections,250,6,9,7.5,4,0,0,0,0,1,0,1,0,3.2,7.4,7,7.5,5.7,0.71596,0.67692,1.05842,1.65087,0.71218,0.18565,0.41952
Lagurus ovatus,neophyte,casual,Mediterranean,,,Recent Past (1950–2000),intentional – ornamental,93.5,3,8,5.5,6,0,0,0,0,0,0,1,0,2.4,4.7,6.1,8.3,6.9,0.61505,0.50532,0.90668,1.58834,0.18441,0.24714,0.36433
Lamium album,archaeophyte,naturalized,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamium amplexicaule,archaeophyte,naturalized,Mediterranean,,,Bronze Age (2300–750 BCE),unintentional – agriculture,,,,,,,,,,,,,,,,,,,,,,,,,
Lamium galeobdolon aggr.,absent,,,,,,,50,4,7,5.5,4,0,0,0,0,1,0,0,0,4.6,6,6.7,2,4.1,0.68851,0.1621,0.05682,1.30073,0.01259,0.1846,0.10299
Lamium maculatum,native,,,,,,,50,2,10,6,9,0,0,0,0,1,0,0,0,5.1,7.8,6.9,5,4.3,0.65632,0.32528,0.25738,1.32526,0.12672,0.17802,0.13307
Lamium purpureum aggr.,archaeophyte,naturalized,Mediterranean,,,Bronze Age (2300–750 BCE),unintentional – agriculture,35,2,5,3.5,4,0,0,0,0,0,0,1,0,4.2,7.3,6.9,7.2,4.2,0.81299,0.76483,1.09209,1.84162,0.41616,0.14633,0.71443
Laphangium luteoalbum,absent,,,,,,,70,1,12,6.5,12,0,0,0,0,0,0,1,0,5.8,3.7,5,7.6,5.1,0.58863,0.56948,1.46587,1.88917,0.25747,0.27864,0.30762
Lapsana communis,native,,Mediterranean,,,,,100,5,8,6.5,4,0,0,0,0,0,0,1,0,4.5,7.5,5.9,4.6,4.6,0.72781,0.47089,0.36365,1.47514,0.21383,0.17215,0.37071
Laserpitium latifolium,native,,,,,,,100,6,7,6.5,2,0,0,0,0,1,0,0,0,4,4.3,7.7,6.2,3.9,0.55766,0.26402,0.32572,1.41434,0.17467,0.22393,0.11135
Lathyrus angulatus,absent,,,,,,,75,4,7,5.5,4,0,0,0,0,0,0,1,0,2.2,2.9,4.5,7.8,6.4,0.44694,0.39072,1.14388,1.92186,0.63004,0.3,0.2396
Lathyrus aphaca,neophyte,naturalized,Mediterranean,,,Late Modern Period (1800–1950),unintentional – anthropogenic,60,3,8,5.5,6,0,0,0,0,0,0,1,0,3.1,4.1,7.1,6.8,5.3,0.69324,0.47937,0.47498,1.61524,0.30006,0.21535,0.33927
Lathyrus cicera,neophyte,casual,Mediterranean,,,Late Modern Period (1800–1950),unintentional – anthropogenic,100,3,7,5,5,0,0,0,0,0,0,1,0,2.9,5.8,6.5,7.6,6.5,0.78618,0.71593,0.98516,1.64799,0.50002,0.22411,0.43722
Lathyrus hirsutus,neophyte,naturalized,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lathyrus latifolius,native,,,,,,,200,5,8,6.5,4,0,0,0,0,1,0,0,0,3.2,4.1,8.3,7.1,6,0.59718,0.32987,0.37035,1.51813,0.3093,0.23598,0.14722
Lathyrus linifolius,native,,,,,,,60,3,7,5,5,0,0,0,1,1,0,0,0,4.1,2.8,3.6,4.9,4.2,0.61908,0.21451,0.17806,1.40893,0.13006,0.21394,0.142
Lathyrus nissolia,native,,,,,,,70,4,7,5.5,4,0,0,0,0,0,0,1,0,3.6,4.1,6.4,7.5,5.6,0.58174,0.52213,1.07167,1.9173,0.75982,0.26492,0.28153
Lathyrus pratensis,native,,,,,,,70,5,9,7,5,0,0,0,0,1,0,0,0,5,5.8,6.6,6.6,4.2,0.5255,0.48932,1.2033,1.84675,0.96737,0.17488,0.26384
Lathyrus sphaericus,neophyte,casual,Mediterranean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lathyrus sylvestris,native,,,,,,,200,7,8,7.5,2,0,0,0,0,1,0,0,0,3.7,3.3,6.7,6.6,4.7,0.61037,0.31591,0.33478,1.43703,0.23653,0.19977,0.16942
Laurus nobilis,absent,,,,,,,1000,2,4,3,3,0,0,0,0,0,0,0,1,4.2,4.2,5.6,4.3,6.3,0.68391,0.14543,0.0801,1.3317,0.00425,0.23391,0.10354
Lavatera arborea,absent,,,,,,,300,3,8,5.5,6,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lavatera cretica,absent,,,,,,,200,3,7,5,5,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leersia oryzoides,native,,,,,,,170,7,16,11.5,10,0,0,0,0,1,0,0,0,8,7.9,6.3,7.7,4.5,0.46541,0.45127,1.35521,1.55716,0.14809,0.1082,0.19328
Legousia hybrida,neophyte,casual,Europe,1809,,Late Modern Period (1800–1950),intentional – ornamental,30,4,7,5.5,4,0,0,0,0,0,0,1,0,3.4,4.4,7.3,7.4,5.8,0.84331,0.78931,1.0445,1.96609,0.48671,0.19684,0.62025
Legousia scabra,absent,,,,,,,90,5,7,6,3,0,0,0,0,0,0,1,0,2.7,2.9,5.6,7.6,6.3,NA,NA,NA,NA,NA,NA,NA
Leontodon hispidus,native,,,,,,,60,6,8,7,3,0,0,0,0,1,0,0,0,4.1,4.6,6.2,7.5,3.9,0.48652,0.45691,1.28523,1.85509,0.77703,0.22744,0.25197
Leontodon saxatilis aggr.,native,,,,,,,30,3,11,7,9,0,0,0,0,1,0,1,0,5,5,6.3,7.9,4.9,0.47811,0.46357,1.62383,2.01314,0.46309,0.37339,0.32819
Leontodon tingitanus,absent,,,,,,,25,1,12,6.5,12,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leopoldia comosa,absent,,,,,,,60,3,6,4.5,4,0,0,0,1,0,0,0,0,3,5.2,6.7,7.4,5.8,0.64448,0.47956,0.60096,1.65878,0.35645,0.25674,0.28756
Lepidium campestre,archaeophyte,naturalized,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium coronopus,archaeophyte,naturalized,Mediterranean,,,Neolithic (5600–4200 BCE),unintentional – anthropogenic,30,4,9,6.5,6,0,0,0,0,1,0,1,0,4.3,7,6.8,8,5.5,0.75107,0.75107,2.35667,2.35667,0.96313,0.22755,0.52673
Lepidium didymum,neophyte,naturalized,South America,1903,,Late Modern Period (1800–1950),unintentional – traffic,,,,,,,,,,,,,,,,,,,,,,,,,
Lepidium draba,archaeophyte,naturalized,Mediterranean,,,Late Middle Ages (1200–1500),unintentional – anthropogenic,55,3,7,5,5,0,0,0,0,1,0,0,0,3,5.3,7.6,7.7,5.3,0.75184,0.72654,1.3537,1.85024,0.717,0.18024,0.48387
Lepidium heterophyllum,neophyte,casual,Europe,1905,,Late Modern Period (1800–1950),unintentional – anthropogenic,45,4,6,5,3,0,0,0,0,1,0,0,0,4.1,5.5,5.6,7.8,5.2,0.49444,0.49,2.04354,2.05442,0.7571,0.3,0.41176
Lepidium ruderale,archaeophyte,naturalized,Mediterranean,,,Bronze Age (2300–750 BCE),unintentional – anthropogenic,30,5,8,6.5,4,0,0,0,0,0,0,1,0,3.5,6.4,6.7,8.6,4.9,0.77543,0.76911,1.83721,2.18343,0.97247,0.17553,0.52645
Lepidium virginicum,neophyte,naturalized,North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leucanthemopsis flaveola,absent,,,,,,,36,5,8,6.5,4,0,0,0,0,1,0,0,0,2.3,1.2,2.7,7.8,3.6,NA,NA,NA,NA,NA,NA,NA
Leucanthemopsis pulverulenta,absent,,,,,,,30,4,6,5,3,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,0.275,0.25714,1.61465,1.61465,0.20761,0.31724,0.14
Leucanthemum ircutianum aggr.,native,,,,,,,60,5,8,6.5,4,0,0,0,0,1,0,0,0,4,4.2,5.9,7.1,4.1,NA,NA,NA,NA,NA,NA,NA
Leucanthemum pallens,absent,,,,,,,60,6,8,7,3,0,0,0,0,1,0,0,0,3,1.7,7.9,7.7,5.3,0.6253,0.25982,0.26623,1.48705,0.17723,0.27515,0.14141
Leucanthemum vulgare,native,,,,,,,70,6,8,7,3,0,0,0,0,1,0,0,0,4,4.3,6.1,7.4,4.1,NA,NA,NA,NA,NA,NA,NA
Ligusticum lucidum,absent,,,,,,,150,6,9,7.5,4,0,0,0,0,1,0,0,0,3.2,2.8,8.8,7,2.9,0.47213,0.32047,0.6351,1.45362,0.15984,0.25433,0.13333
Lilium martagon,native,,,,,,,180,6,8,7,3,0,0,0,1,0,0,0,0,4.4,5.5,7.3,4,3.8,0.66606,0.14252,0.06579,1.27372,0.02245,0.19052,0.10146
Linaria amethystea,absent,,,,,,,38,2,9,5.5,8,0,0,0,0,0,0,1,0,2.4,6,5.2,8.1,5.2,0.405,0.405,2.27572,2.27572,0.71557,0.36,0.2619
Linaria angustissima,absent,,,,,,,90,5,10,7.5,6,0,0,0,0,1,0,0,0,2.6,3.8,7.8,8.5,5.4,0.4663,0.41395,1.01626,1.78527,0.28468,0.32442,0.20909
Linaria badalii,absent,,,,,,,40,4,8,6,5,0,0,0,0,0,0,1,0,2.4,2.8,7.1,8.1,3.9,0.60667,0.60667,1.53043,1.53043,0.26096,0.18667,0.43333
Linaria bipunctata,absent,,,,,,,25,4,7,5.5,4,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linaria elegans,absent,,,,,,,45,4,8,6,5,0,0,0,0,0,0,1,0,2.1,1.8,3.2,8.8,4.2,0.36923,0.34231,1.36459,1.82591,0.40973,0.30741,0.23462
Linaria polygalifolia,absent,,,,,,,45,3,11,7,9,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Linaria saxatilis,absent,,,,,,,50,4,9,6.5,6,0,0,1,0,0,0,0,0,2.4,1.8,3.2,8.1,3.3,0.34706,0.31765,1.2448,1.53804,0.21614,0.28065,0.18286
Linaria spartea,absent,,,,,,,55,2,6,4,5,0,0,0,0,0,0,1,0,2.4,4.9,4.2,8.1,5.2,0.44353,0.37701,0.99368,1.85318,0.55275,0.29205,0.24118
Linaria supina,absent,,,,,,,30,3,9,6,7,0,0,0,0,1,0,1,0,2.6,2.3,5.8,8.1,5.2,0.55683,0.50913,1.14822,1.71186,0.30079,0.27269,0.34305
Linaria triornithophora,absent,,,,,,,130,3,9,6,7,0,0,0,0,1,0,0,0,3.6,2.3,2.7,7.8,5.3,0.67647,0.14545,0.0816,1.36862,0.01231,0.2,0.10278
Lindernia dubia,neophyte,casual,North America,1989,,Recent Past (1950–2000),unintentional – industry,25,6,9,7.5,4,1,0,0,0,0,0,1,0,6.7,6.9,6.4,9.1,5.5,0.82179,0.82179,1.87832,1.87832,0.03598,0.16282,0.45974
Linum bienne,absent,,,,,,,70,3,8,5.5,6,0,0,0,0,1,0,0,0,3.3,4.7,6.6,7.7,5.9,0.5661,0.53566,1.39375,1.95815,0.54749,0.28323,0.29891
Linum catharticum,native,,,,,,,40,4,10,7,7,0,0,0,0,0,0,1,0,4.7,2.3,6.5,7,4.2,0.4704,0.45673,1.59559,1.93277,0.80267,0.29395,0.18426
Linum strictum,absent,,,,,,,45,3,8,5.5,6,0,0,0,0,0,0,1,0,2.3,2.8,7.2,8.9,6.8,NA,NA,NA,NA,NA,NA,NA
Lipandra polysperma,absent,,,,,,,60,7,10,8.5,4,0,0,0,0,0,0,1,0,4.9,8.3,6.1,6.8,4.5,0.78385,0.77662,1.62364,1.82775,0.50652,0.16602,0.65144
Lithospermum officinale,native,,,,,,,90,4,6,5,3,0,0,0,0,1,0,0,0,4.1,5.6,7.7,5.8,4.4,0.57768,0.35191,0.46781,1.4459,0.2298,0.23027,0.1503
Lolium multiflorum,neophyte,naturalized,Europe,1883,,Late Modern Period (1800–1950),intentional – other,120,3,6,4.5,4,0,0,0,0,0,0,1,0,4.3,7.4,6.7,7.4,5.3,0.68503,0.6731,1.58067,1.93559,0.76966,0.22465,0.52218
Lolium perenne,native,,,,,,,60,4,9,6.5,6,0,0,0,0,1,0,0,0,4.2,6.7,6.2,7.9,4.3,0.56333,0.55394,1.72195,2.16326,1.07172,0.43309,0.38415
Lolium rigidum,neophyte,casual,Mediterranean,,,,,100,3,9,6,7,0,0,0,0,0,0,1,0,3,5.5,6.4,7.9,5.8,0.7887,0.74831,1.24428,1.88993,0.48175,0.20016,0.50409
Lolium temulentum,archaeophyte,casual,Mediterranean,,,Neolithic (5600–4200 BCE),unintentional – agriculture,100,3,6,4.5,4,0,0,0,0,0,0,1,0,4,5.7,7.6,7.1,5.3,0.84821,0.84112,1.8492,2.05439,0.44916,0.15417,0.78325
Lonicera japonica,absent,,,,,,,400,4,12,8,9,1,0,0,0,0,0,0,1,4.8,7.3,5.4,3.2,6.7,0.64444,0.26133,0.28657,1.37387,0.08553,0.18533,0.13243
Lonicera periclymenum,archaeophyte/neophyte,naturalized,Europe,1994,,Late Middle Ages and Early Modern Period (merged category,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus corniculatus,native,,,,,,,50,5,8,6.5,4,0,0,0,0,1,0,0,0,3.8,3.5,6.6,7.2,3.9,0.4995,0.45471,1.13703,1.80119,0.66561,0.27734,0.25548
Lotus glareosus,absent,,,,,,,35,6,8,7,3,0,0,0,0,1,0,0,0,2.4,1.8,3.2,8.1,5.8,0.4598,0.33846,0.80095,1.7218,0.34789,0.39706,0.21313
Lotus hispidus,absent,,,,,,,40,3,10,6.5,8,0,0,0,0,0,0,1,0,2.4,1.8,2.2,8.1,4.6,0.50567,0.50049,1.7349,1.91366,0.28296,0.24794,0.28138
Lotus parviflorus,absent,,,,,,,30,4,6,5,3,0,0,0,0,0,0,1,0,3.7,3.7,5.7,9.2,6.8,0.47931,0.45778,1.66378,1.95295,0.33825,0.33298,0.26484
Lotus pedunculatus,native,,,,,,,120,3,8,5.5,6,0,0,0,0,1,0,0,0,6.5,4.4,5.1,6.8,4.2,0.49939,0.48542,1.58941,1.9066,0.87022,0.26373,0.20082
Lotus subbiflorus,absent,,,,,,,60,5,9,7,5,0,0,0,0,0,0,1,0,2.6,2.3,4.8,8.6,6.3,NA,NA,NA,NA,NA,NA,NA
Lotus tenuis,native,,,,,,,80,5,8,6.5,4,0,0,0,0,1,0,0,0,5.4,4.4,7.7,7.8,5,0.50833,0.50369,1.81079,1.96697,0.5789,0.41685,0.20343
Lupinus angustifolius,neophyte,casual,Mediterranean,1900,,Late Modern Period (1800–1950),intentional – ornamental,,,,,,,,,,,,,,,,,,,,,,,,,
Lupinus hispanicus,absent,,,,,,,70,4,8,6,5,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lupinus luteus,neophyte,casual,Mediterranean,1880,,Late Modern Period (1800–1950),intentional – ornamental,,,,,,,,,,,,,,,,,,,,,,,,,
Luzula campestris,native,,,,,,,20,3,7,5,5,0,0,0,0,1,0,0,0,4,2.6,3.6,7.2,4.1,NA,NA,NA,NA,NA,NA,NA
Luzula lactea,absent,,,,,,,90,6,8,7,3,0,0,0,0,1,0,0,0,3.6,1.2,3.2,7.8,4.2,0.40803,0.19496,0.48375,1.32968,0.00906,0.25786,0.09559
Luzula multiflora,native,,,,,,,40,4,7,5.5,4,0,0,0,0,1,0,0,0,4.6,3.1,3.9,6.8,3.5,NA,NA,NA,NA,NA,NA,NA
Luzula pediformis,absent,,,,,,,50,6,7,6.5,2,0,0,0,0,1,0,0,0,3.4,2.6,4.4,6.2,2.4,0.34656,0.33023,1.35521,1.70624,0.10025,0.28037,0.10675
Luzula sylvatica,native,,,,,,,85,6,8,7,3,0,0,0,0,1,0,0,0,4.7,3.9,3,3.5,3.4,0.63684,0.1413,0.08163,1.13186,0.01611,0.19769,0.09836
Lycopersicon esculentum,neophyte,naturalized,anecophyte,1880,, Late Modern Period (1800–1950),intentional – crops,200,6,11,8.5,6,1,0,0,0,0,0,1,0,4.7,8.6,6.4,7.6,5.7,NA,NA,NA,NA,NA,NA,NA
Lycopsis arvensis,archaeophyte,naturalized,Europe,,,Late Middle Ages (1200–1500),unintentional – agriculture,70,5,8,6.5,4,0,0,0,0,0,0,1,0,3.6,5.5,4.8,7.4,4.7,0.8513,0.84649,1.92947,2.04354,0.35255,0.12415,0.81886
Lycopus europaeus,native,,Mediterranean,,,,,92,7,10,8.5,4,0,0,0,0,1,0,0,0,7.3,6.6,6.4,6.3,4.7,0.46099,0.33882,0.69282,1.50857,0.25575,0.16472,0.13531
Lysimachia vulgaris,native,,,,,,,130,6,8,7,3,0,0,0,0,1,0,0,0,6.6,5.5,5.9,6.1,4.1,0.48044,0.33607,0.64166,1.48712,0.32957,0.16511,0.13021
Lythrum hyssopifolia,native,,,,,,,40,5,7,6,3,0,0,0,0,0,0,1,0,6.1,4.2,4.7,8,5.4,0.64215,0.63635,1.64854,1.88715,0.14744,0.22023,0.34311
Lythrum junceum,neophyte,casual,Mediterranean,1965,,Recent Past (1950–2000),unintentional – anthropogenic,50,5,7,6,3,0,0,1,0,0,0,0,0,6,5,5.9,7.4,6.2,0.48522,0.42371,1.01261,1.7623,0.37734,0.29163,0.15274
Lythrum portula,absent,,,,,,,17,6,8,7,3,0,0,0,0,0,0,1,0,6.5,3.2,3.7,7.7,4.7,0.58591,0.58459,1.76659,1.81806,0.0601,0.16487,0.29018
Lythrum salicaria,native,,,,,,,85,6,8,7,3,0,0,0,0,1,0,0,0,6.7,5.1,6,6.7,4.1,0.43544,0.36952,0.95508,1.59304,0.43821,0.17314,0.13717
