"SIVIMID","CANTEUNIS","ESEUNIS","Sintaxon","Twinspan","Semisupervised","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"T-P22352","V38Z","V38","Carduo bourgeani-Silybetum mariani",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",150,1988,-6.778527631,42.55263435,"3 - UTM10x10 + Elevation",490,"",NA
"T-P11951","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",30,1988,-2.327175779,43.29919562,"3 - UTM10x10 + Elevation",10,"",NA
"T-P36749","V38Z","V37","Comunidad de Dipsacus fullonum","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",60,1993,-7.504256247,42.55157042,"1 - UTM1x1 + Elevation",320,"SE",5
"T-P05185","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",25,1995,-3.43730551,43.37597667,"3 - UTM10x10 + Elevation",8,"",NA
"T-P11953","V38Z","V33","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",25,1988,-2.406809509,43.22399729,"3 - UTM10x10 + Elevation",40,"",NA
"T-P11931","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",40,1988,-2.623897266,43.16368453,"3 - UTM10x10 + Elevation",130,"",NA
"R-P12755","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1997,-3.144630223,42.79502702,"4 - UTM10x10 + Centroid",510,"",NA
"Q-P09512","V38Z","V38","Echio rosulati-Picridetum echioisia",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",NA,2002,-8.637550131,41.22298792,"3 - UTM10x10 + Elevation",70,"",NA
"Xixon19","V38Z",NA,"N4C",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",16,2023,-5.6571783,43.523325,"1",NA,"-",0
"Q-P09508","V38Z","V38","Echio rosulati-Picridetum echioisia",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",NA,2002,-8.642217634,41.77188901,"3 - UTM10x10 + Elevation",10,"",NA
"T-P01418","V38Z","V","Chenopodio albi-Conyzetum canadensis",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",100,1994,-8.56634392,42.31572717,"4 - UTM10x10 + Centroid",177,"",NA
"Q-P09505","V38Z","V38","Echio rosulati-Picridetum echioisia",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",NA,2002,-8.843430513,41.81580832,"3 - UTM10x10 + Elevation",30,"",NA
"T-P11950","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-2.391819254,43.24552983,"3 - UTM10x10 + Elevation",20,"",NA
"T-P11952","V38Z","V","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",15,1988,-2.344492805,43.29389342,"3 - UTM10x10 + Elevation",130,"",NA
"T-P05190","V38Z","V33","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",60,1995,-3.44512037,43.43177403,"1 - UTM1x1 + Elevation",10,"",NA
"T-P11936","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",40,1988,-2.245079764,42.95830047,"3 - UTM10x10 + Elevation",520,"",NA
"T-P11935","V38Z","V38","Helmintio echioidis-Melilotetum albae","Balloto-Conion maculati","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",50,1988,-2.711064383,42.93881282,"3 - UTM10x10 + Elevation",530,"",NA
"Q-P09510","V38Z","V38","Echio rosulati-Picridetum echioisia",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",NA,2002,-8.559760071,41.14936218,"3 - UTM10x10 + Elevation",70,"",NA
"Q-P09509","V38Z","V38","Echio rosulati-Picridetum echioisia",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",NA,2002,-8.86443276,41.78232801,"3 - UTM10x10 + Elevation",10,"",NA
"T-P01412","V38Z","V","Chenopodio albi-Conyzetum canadensis",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",100,1994,-8.089908005,42.31364925,"4 - UTM10x10 + Centroid",223,"",NA
"T-P11949","V38Z","V11","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",25,1988,-2.593534522,42.91864443,"3 - UTM10x10 + Elevation",600,"",NA
