"SIVIMID","CANTEUNIS","ESEUNIS","Sintaxon","Twinspan","Semisupervised","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"S-P20385","V10Z","V32","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",7,1972,-8.70650693,42.22240476,"3 - UTM10x10 + Elevation",40,"N",NA
"T-P27809","V10Z","V15","Associació-Desconeguda",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1958,-7.455813041,42.92980784,"3 - UTM10x10 + Elevation",420,"S",20
"T-P03470","V10Z","V15","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.449399262,42.05884169,"4 - UTM10x10 + Centroid",800,"",NA
"Q-P14993","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.428593106,41.89185351,"3 - UTM10x10 + Elevation",400,"",NA
"T-P36793","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1993,-7.504385631,42.553366,"1 - UTM1x1 + Elevation",320,"",0
"T-P12103","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1988,-6.832348725,43.22792752,"3 - UTM10x10 + Elevation",660,"",NA
"U-P10334","V10Z","V15","Chrysanthemum segetum-Raphanetum","Spergulo arvensis-Erodion cicutariae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.633771785,42.60049954,"3 - UTM10x10 + Elevation",67,"",NA
"T-P02590","V10Z","V15","Spergulario-Arnoseretum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1984,-6.32531531,42.41182245,"3 - UTM10x10 + Elevation",1220,"SE",9
"R-P22254","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1999,-8.061560413,42.03309657,"1 - UTM1x1 + Elevation",1000,"SE",5
"R-P24008","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",80,1986,-6.877098566,42.29744784,"4 - UTM10x10 + Centroid",121,"N",15
"Q-P10055","V10Z","V15","Catapodietum patentis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",9,2000,-7.059109571,41.88032087,"3 - UTM10x10 + Elevation",840,"SE",4.5
"R-P24019","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",8,1986,-6.845822858,42.41893234,"3 - UTM10x10 + Elevation",500,"SW",15
"U-P10358","V10Z","V15","Panicum sanguinale-Mercurialis annua","Spergulo arvensis-Erodion cicutariae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.63877358,42.5210343,"3 - UTM10x10 + Elevation",79,"",NA
"Q-P14991","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1982,-7.443074562,41.96152318,"3 - UTM10x10 + Elevation",400,"",NA
"T-P03513","V10Z","V15","Cnico benedicti-Papaveretum argemones","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-5.962566038,42.65886893,"4 - UTM10x10 + Centroid",590,"",NA
"T-P33561","V10Z","V15","Linaria delphinioides-Arnoseretum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.583338351,42.93425511,"3 - UTM10x10 + Elevation",350,"N",NA
"T-P33560","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.581725836,42.86231693,"3 - UTM10x10 + Elevation",200,"W",NA
"Q-P14992","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1982,-7.430913896,41.85574815,"3 - UTM10x10 + Elevation",400,"",NA
"S-P12055","V10Z","V15","Chrysanthemum-Oxalidetum","Spergulo arvensis-Erodion cicutariae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1975,-6.578877179,43.52426077,"3 - UTM10x10 + Elevation",220,"",NA
"Q-P14980","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1982,-7.003685824,42.41712082,"3 - UTM10x10 + Elevation",300,"",NA
"T-P22443","V10Z","V32","Fumario capreolatae-Veronicetum persicae","Oxalidion europeae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-4.598229966,43.39805967,"3 - UTM10x10 + Elevation",5,"",NA
"Q-P10041","V10Z","V15",NA,NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,NA,-7.163941607,41.93598928,"3 - UTM10x10 + Elevation",780,"",NA
"Q-P10042","V10Z","V15",NA,NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,NA,-7.128977716,41.91744476,"3 - UTM10x10 + Elevation",780,"",NA
"T-P33538","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.616988304,42.90019614,"3 - UTM10x10 + Elevation",300,"S",NA
"R-P24018","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1986,-6.805342058,42.31223428,"3 - UTM10x10 + Elevation",1000,"S",NA
"R-P24017","V10Z","+","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1986,-6.906233053,42.41328501,"3 - UTM10x10 + Elevation",350,"N",15
"T-P03533","V10Z","V15","Cnico benedicti-Papaveretum argemones","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-5.336090445,42.86670987,"3 - UTM10x10 + Elevation",980,"",NA
"T-P33544","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.538321195,42.89683922,"3 - UTM10x10 + Elevation",350,"W",13
"T-P12101","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1988,-6.921664848,43.31492976,"3 - UTM10x10 + Elevation",670,"",NA
"T-P03469","V10Z","V15","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.517054166,42.20037363,"4 - UTM10x10 + Centroid",760,"",NA
"T-P33558","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.397752265,42.88556894,"1 - UTM1x1 + Elevation",350,"S",10
"Q-P14995","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1982,-7.246860191,42.45517451,"3 - UTM10x10 + Elevation",240,"E",NA
"Q-P10065","V10Z","V15","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",1,2000,-6.736518026,41.88588395,"3 - UTM10x10 + Elevation",630,"S",13.5
"R-P24010","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",150,1986,-6.877098566,42.29744784,"4 - UTM10x10 + Centroid",104,"W",25
"T-P03472","V10Z","V15","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.721037279,41.99264297,"3 - UTM10x10 + Elevation",890,"",NA
"Q-P14997","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.140588407,42.39244102,"3 - UTM10x10 + Elevation",390,"",NA
"R-P24011","V10Z","V15","Aphanion arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1986,-6.900602278,42.40087127,"3 - UTM10x10 + Elevation",500,"SE",3
"T-P36768","V10Z","R","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1993,-7.500174758,42.5625352,"1 - UTM1x1 + Elevation",410,"",0
"R-P24015","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1986,-6.843947086,42.4279995,"3 - UTM10x10 + Elevation",500,"S",5
"R-P24016","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,1986,-6.867644676,42.37857876,"3 - UTM10x10 + Elevation",600,"SW",5
"S-P20393","V10Z","V15","Panicum sanguinale-Mercurialis annua","Spergulo arvensis-Erodion cicutariae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1972,-8.809547093,42.28922975,"3 - UTM10x10 + Elevation",60,"S",NA
"T-P33542","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.515541619,42.91571092,"2 - UTM1x1 + Centroid",200,"S",5
"T-P33559","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.534435887,42.88082377,"1 - UTM1x1 + Elevation",300,"E",NA
"T-P03468","V10Z","V15","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,NA,NA,"5 - UTMs missing from DEM",830,"",NA
"Q-P10043","V10Z","V15",NA,NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",4,NA,-7.159197525,41.90014462,"3 - UTM10x10 + Elevation",820,"",NA
"T-P36791","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1993,-7.556365816,42.56481157,"2 - UTM1x1 + Centroid",320,"",0
"T-P12102","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1988,-6.980480903,43.30929352,"3 - UTM10x10 + Elevation",680,"",NA
"Q-P08735","V10Z","V15","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1990,-4.490192325,42.81601335,"3 - UTM10x10 + Elevation",1090,"",NA
"Q-P10040","V10Z","V15",NA,NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",25,NA,-6.844864028,41.8841034,"3 - UTM10x10 + Elevation",900,"W",4.5
"Q-P10066","V10Z","V15","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",3,2000,-6.684422129,41.90197718,"3 - UTM10x10 + Elevation",680,"",NA
"T-P36769","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1993,-7.592446428,42.49224194,"1 - UTM1x1 + Elevation",300,"N",NA
"T-P33537","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.544830183,42.887521,"3 - UTM10x10 + Elevation",250,"S",6
"U-P10356","V10Z","V15","Panicum sanguinale-Mercurialis annua","Spergulo arvensis-Erodion cicutariae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.687093349,42.54384447,"3 - UTM10x10 + Elevation",112,"",NA
"T-P33539","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.516963469,42.82225509,"3 - UTM10x10 + Elevation",150,"S",5
"T-P36790","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1993,-7.622749736,42.50722701,"1 - UTM1x1 + Elevation",400,"",0
"R-P21305","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1995,-7.595267542,42.49753063,"1 - UTM1x1 + Elevation",300,"N",NA
"T-P33557","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.555585336,42.84378757,"3 - UTM10x10 + Elevation",350,"N",4
"U-P10332","V10Z","V15","Chrysanthemum segetum-Raphanetum","Spergulo arvensis-Erodion cicutariae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.592538784,42.57551966,"3 - UTM10x10 + Elevation",224,"",NA
"R-P21303","V10Z","V32","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1995,-7.558860206,42.56561259,"1 - UTM1x1 + Elevation",370,"",0
"S-P20370","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1972,-8.778387429,42.31961549,"3 - UTM10x10 + Elevation",110,"S",NA
"S-P20358","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1972,-8.815893813,42.25289956,"3 - UTM10x10 + Elevation",20,"SW",NA
"S-P20399","V10Z","V32","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1972,-8.783931179,42.27432557,"3 - UTM10x10 + Elevation",60,"S",NA
"Q-P14978","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1982,-7.705778309,42.44621971,"3 - UTM10x10 + Elevation",140,"",NA
"T-P33533","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.565490736,42.84510544,"3 - UTM10x10 + Elevation",300,"S",10
"T-P12050","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1988,-6.205383665,42.63315379,"3 - UTM10x10 + Elevation",1070,"",NA
"Q-P10069","V10Z","V15","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",4,2000,-6.639224308,41.82777945,"3 - UTM10x10 + Elevation",830,"ESE",4.5
"Q-P10067","V10Z","V15","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,2000,-6.939459901,41.9331186,"3 - UTM10x10 + Elevation",780,"SE",45
"T-P33540","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.613811988,43.26763759,"3 - UTM10x10 + Elevation",150,"E",NA
"T-P33541","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.539523125,42.8283643,"3 - UTM10x10 + Elevation",250,"S",NA
"T-P33543","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.590665094,42.82587088,"3 - UTM10x10 + Elevation",200,"NW",NA
"T-P36775","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1993,-7.526632876,42.55788955,"1 - UTM1x1 + Elevation",360,"",0
"T-P33547","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.596345619,42.88860735,"3 - UTM10x10 + Elevation",250,"S",4
"T-P03471","V10Z","V15","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.630956118,41.97932291,"3 - UTM10x10 + Elevation",850,"",NA
"Q-P14975","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1982,-7.720513206,42.60947055,"3 - UTM10x10 + Elevation",340,"E",NA
"T-P33556","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.497958348,42.82857336,"1 - UTM1x1 + Elevation",200,"W",NA
"T-P33534","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.621864253,42.89995603,"3 - UTM10x10 + Elevation",300,"S",8
"T-P03473","V10Z","V15","Triseto ovati-Arnoseridetum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.449399262,42.05884169,"4 - UTM10x10 + Centroid",760,"",NA
"T-P36785","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1993,-7.590152029,42.49413472,"1 - UTM1x1 + Elevation",310,"",0
"T-P33536","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.574588079,42.83745977,"3 - UTM10x10 + Elevation",250,"SW",NA
"T-P36786","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1993,-7.660414587,42.42466861,"1 - UTM1x1 + Elevation",200,"W",5
"Q-P10068","V10Z","V15","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",6,2000,-7.182540579,41.88849023,"3 - UTM10x10 + Elevation",700,"",NA
"R-P21306","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",15,1995,-7.375360467,42.58898722,"1 - UTM1x1 + Elevation",500,"",0
"T-P12099","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.730196674,42.84414942,"3 - UTM10x10 + Elevation",980,"",NA
"T-P12100","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.68302659,42.79165488,"3 - UTM10x10 + Elevation",950,"",NA
"T-P03503","V10Z","V15","Cnico benedicti-Papaveretum argemones","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-5.944573422,42.63655899,"3 - UTM10x10 + Elevation",960,"",NA
"R-P21302","V10Z","R1R","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",70,1995,-7.461822219,42.57124082,"1 - UTM1x1 + Elevation",380,"S",NA
"T-P33545","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.537087631,42.82848246,"3 - UTM10x10 + Elevation",250,"NW",10
"Q-P10070","V10Z","V15","Miboro minimae-Arabidopsietum thalianae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",4,2000,-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",560,"E",9
"T-P31627","V10Z","V32","Associació-Desconeguda",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",5,2000,-2.906511653,43.37137182,"1 - UTM1x1 + Elevation",5,"",NA
"T-P33548","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.50051025,42.85725756,"1 - UTM1x1 + Elevation",150,"S",NA
"Q-P07847","V10Z","V","Associació-Desconeguda",NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1953,-4.047456892,43.39183754,"4 - UTM10x10 + Centroid",49,"",NA
"T-P33535","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.535426896,42.86457177,"1 - UTM1x1 + Elevation",300,"S",8
"S-P20405","V10Z","V15","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",10,1972,-8.643611937,42.4127703,"3 - UTM10x10 + Elevation",80,"NW",NA
"U-P10327","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.710079662,42.68852996,"3 - UTM10x10 + Elevation",48,"",NA
"T-P36770","V10Z","V32","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1993,-7.561289117,42.56551573,"1 - UTM1x1 + Elevation",370,"",0
"T-P12078","V10Z","V15","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1988,-6.352558095,42.64874654,"3 - UTM10x10 + Elevation",870,"",NA
"T-P12077","V10Z","V15","Centaureo cyani-Raphanetum microcarpae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",20,1988,-6.404473132,42.61659897,"3 - UTM10x10 + Elevation",700,"",NA
"S-P20395","V10Z","V15","Panicum sanguinale-Mercurialis annua","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",8,1972,-8.850157672,42.30876246,"3 - UTM10x10 + Elevation",20,"S",NA
"T-P33546","V10Z","V32","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.370150002,42.87786845,"2 - UTM1x1 + Centroid",30,"S",7
"Q-P10037","V10Z","V15",NA,NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",6,NA,-6.589350209,41.84015678,"3 - UTM10x10 + Elevation",920,"S",5
"T-P33554","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.598295406,42.88311045,"1 - UTM1x1 + Elevation",250,"S",6
"T-P33555","V10Z","V15","Chrysanthemum segetum-Raphanetum","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1959,-8.542415896,42.86063173,"3 - UTM10x10 + Elevation",250,"S",3
"T-P36771","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1993,-7.43013428,42.50224556,"1 - UTM1x1 + Elevation",480,"NW",NA
"T-P36776","V10Z","R1R","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1993,-7.526811306,42.493058,"1 - UTM1x1 + Elevation",320,"",NA
"U-P10323","V10Z","V15","Chrysanthemum segetum-Raphanetum","Spergulo arvensis-Erodion cicutariae","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1968,-8.634737,42.55724187,"3 - UTM10x10 + Elevation",27,"",NA
"R-P21296","V10Z","V15","Linario eleganti-Anthoxanthetum aristati","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1995,-7.434860876,42.50026169,"1 - UTM1x1 + Elevation",480,"NW",NA
"T-P12095","V10Z","V15","Spergulario-Arnoseretum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",100,1988,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",910,"",NA
"T-P12096","V10Z","R1R","Spergulario-Arnoseretum minimae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",50,1988,-5.774226342,42.7002455,"3 - UTM10x10 + Elevation",1120,"",NA
"T-P36789","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",40,1993,-7.60515453,42.46652156,"1 - UTM1x1 + Elevation",360,"SE",10
"Q-P10038","V10Z","V15",NA,NA,"Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",8,NA,-6.570114655,41.88398082,"3 - UTM10x10 + Elevation",900,"",NA
"T-P03512","V10Z","V15","Cnico benedicti-Papaveretum argemones","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1989,-6.51046248,42.59358715,"3 - UTM10x10 + Elevation",600,"",NA
"T-P27793","V10Z","V15","Asociación de Chrysanthemum segetum-Oxalis violacea","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1958,-7.035350671,43.54145038,"3 - UTM10x10 + Elevation",30,"",NA
"Q-P15000","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",NA,1982,-7.095006513,42.4012842,"3 - UTM10x10 + Elevation",360,"",NA
"T-P32595","V10Z","V15","Linario amethysteae-Calenduletum arvensis","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",60,1995,-7.59002046,42.49233933,"1 - UTM1x1 + Elevation",310,"",0
"T-P32592","V10Z","V15","Lamio amplexicaulis-Veronicetum hederifoliae","Scleranthion annui","Scleranthion annui","Aperetalia spicae-venti","Papaveretea rhoeadis",30,1995,-7.482994553,42.45876992,"3 - UTM10x10 + Elevation",590,"",0
