"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"66","S-P17954","Cymbalario-Trachelietum caerulei",6,1982,-2.650846951,43.18358051,"1 - UTM1x1 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"67","S-P20227","Oxali-Parietarietum diffusae",5,1972,-8.835928453,42.28608529,"3 - UTM10x10 + Elevation",50,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"68","S-P20228","Oxali-Parietarietum diffusae",10,1972,-8.810109025,42.32160787,"3 - UTM10x10 + Elevation",70,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"69","S-P20229","Oxali-Parietarietum diffusae",10,1972,-8.680480713,42.28311436,"3 - UTM10x10 + Elevation",10,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"70","S-P20230","Oxali-Parietarietum diffusae",10,1972,-8.82620396,42.25957595,"3 - UTM10x10 + Elevation",50,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"71","S-P20231","Oxali-Parietarietum diffusae",10,1972,-8.69927276,42.22276562,"3 - UTM10x10 + Elevation",50,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"72","T-P02582","Cymbalarietum muralis",20,1984,-6.212046888,42.47808839,"3 - UTM10x10 + Elevation",1000,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"73","T-P03088","Parietarietum judaicae",8,1986,-3.084170257,43.31014811,"3 - UTM10x10 + Elevation",150,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"74","T-P03089","Parietarietum judaicae",10,1986,-3.168104395,43.3406711,"3 - UTM10x10 + Elevation",80,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"75","T-P03090","Parietarietum judaicae",15,1986,-3.074185202,43.21110356,"3 - UTM10x10 + Elevation",200,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"76","T-P03091","Parietarietum judaicae",11,1986,-3.237205442,43.34415048,"3 - UTM10x10 + Elevation",100,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"77","T-P03092","Parietarietum judaicae",9,1986,-3.185398111,43.34784801,"3 - UTM10x10 + Elevation",250,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"78","T-P03093","Parietarietum judaicae",8,1986,-3.136020104,43.33711194,"3 - UTM10x10 + Elevation",100,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"79","T-P03094","Centrantho-Hypericetum hircini",20,1986,-3.155785803,43.34789218,"3 - UTM10x10 + Elevation",100,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"80","T-P03095","Centrantho-Hypericetum hircini",25,1986,-3.096336311,43.20568419,"3 - UTM10x10 + Elevation",80,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"81","T-P03096","Centrantho-Hypericetum hircini",30,1986,-3.123414233,43.20385723,"3 - UTM10x10 + Elevation",100,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"82","T-P03097","Centrantho-Hypericetum hircini",30,1986,-3.160384935,43.22001994,"3 - UTM10x10 + Elevation",150,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"83","T-P03098","Centrantho-Hypericetum hircini",20,1986,-3.017586094,43.31918232,"3 - UTM10x10 + Elevation",40,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"84","T-P03099","Centrantho-Hypericetum hircini",25,1986,-3.091566074,43.30834151,"3 - UTM10x10 + Elevation",80,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"85","T-P03100","Cymbalario-Trachelietum caerulei",5,1986,-3.184041148,43.30731368,"4 - UTM10x10 + Centroid",268,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"86","T-P03101","Cymbalario-Trachelietum caerulei",4,1986,-3.183770111,43.21726743,"4 - UTM10x10 + Centroid",316,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"87","T-P03102","Cymbalario-Trachelietum caerulei",6,1986,-2.814679464,43.12721682,"4 - UTM10x10 + Centroid",303,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"88","T-P03103","Cymbalario-Trachelietum caerulei",5,1986,-2.936228824,43.30657379,"4 - UTM10x10 + Centroid",58.5,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"89","T-P03104","Cymbalario-Trachelietum caerulei",5,1986,-3.064475134,43.30297494,"4 - UTM10x10 + Centroid",127,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"90","T-P03105","Cymbalario-Trachelietum caerulei",6,1986,-3.064475134,43.30297494,"4 - UTM10x10 + Centroid",127,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"91","T-P03106","Cymbalarietum muralis",10,1986,-3.15049052,43.20202387,"3 - UTM10x10 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"92","T-P03107","Cymbalarietum muralis",15,1986,-3.128356882,43.21285656,"3 - UTM10x10 + Elevation",80,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"93","T-P03108","Cymbalarietum muralis",10,1986,-3.089099974,43.30834345,"3 - UTM10x10 + Elevation",100,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"94","T-P03109","Cymbalarietum muralis",10,1986,-3.005250284,43.28316509,"3 - UTM10x10 + Elevation",50,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
