"SIVIMID","Relevé.number","Semisupervised","Revised.alliance","Alliance","Sintaxon","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"Q-P02786",2158,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","?","",NA,10,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
"Q-P02787",2159,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","Sa","",NA,10,"1969",-2.32194203,43.2154056,"4 - UTM10x10 + Centroid",348
"Q-P02788",2160,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","?","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82
"Q-P02789",2161,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","H32d","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82
"Q-P02790",2162,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","H32d","",NA,10,"1969",-2.204357764,43.28045619,"4 - UTM10x10 + Centroid",82
"Q-P02791",2163,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Centrantho-Hypericetum hircini","?","",NA,20,"1969",-2.198835209,43.21460969,"4 - UTM10x10 + Centroid",313
"Q-P02792",2164,0,"Galio valantiae-Parietarion judaicae","Cymbalario-Asplenion","Cymbalario-Trachelietum caerulei","?","",NA,50,"1969",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202
"Q-P02793",2165,0,"Galio valantiae-Parietarion judaicae","Cymbalario-Asplenion","Cymbalario-Trachelietum caerulei","?","",NA,50,"1969",-8.693960952,42.8571451,"4 - UTM10x10 + Centroid",202
"Q-P02794",2166,0,"Galio valantiae-Parietarion judaicae","Cymbalario-Asplenion","Cymbalario-Trachelietum caerulei","?","",NA,100,"1969",-8.693537785,42.9471732,"4 - UTM10x10 + Centroid",275
"Q-P07031",2167,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Parietarietum judaicae","?","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"Q-P07039",2168,1,"Galio valantiae-Parietarion judaicae","Galio valantiae-Parietarion judaicae","Parietarietum judaicae","?","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"Q-P07041",42,1,"Sisymbrion officinalis","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","V32","",NA,10,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"Q-P07045",1026,1,"Oxalidion europaeae","Oxalidion europaeae","Oxalidi latifoliae-Veronicetum persicae","V37","",NA,20,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"Q-P07050",207050,0,"Polycarpion tetraphylli","Mesembryanthemion crystallini","Comunidad de Spergularia boccomii y Sagina apetala","V32","",NA,1,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"Q-P07051",207051,0,"Polycarpion tetraphylli","Mesembryanthemion crystallini","Comunidad de Spergularia boccomii y Sagina apetala","V32","",NA,2,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"Q-P07114",207114,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,1,"1985",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58
"Q-P07115",207115,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,1,"1985",-4.296413727,43.37119587,"4 - UTM10x10 + Centroid",58
"Q-P07116",207116,0,"Polycarpion tetraphylli","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,4,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"Q-P07119",207119,1,"Potentillion anserinae","Potentillion anserinae","Lolio-Plantaginetum majoris","R36","",NA,2,"1985",-4.419290768,43.36986165,"4 - UTM10x10 + Centroid",59
"Q-P07736",1027,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V","",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40
"Q-P07737",1028,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V15","",NA,NA,"1953",-7.089128404,43.53843902,"4 - UTM10x10 + Centroid",40
"Q-P07763",1029,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"Q-P07764",1030,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V15","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"Q-P07765",1031,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"Q-P07766",1032,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"Q-P07767",1033,1,"Oxalidion europaeae",NA,"Associació-Desconeguda","V37","",NA,100,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"Q-P07768",207768,1,"Potentillion anserinae",NA,"Associació-Desconeguda","R36","",NA,10,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"Q-P07769",207769,1,"Potentillion anserinae",NA,"Associació-Desconeguda","R36","",NA,10,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"Q-P07770",207770,1,"Potentillion anserinae",NA,"Associació-Desconeguda","R36","",NA,10,"1953",-3.665204511,43.46129774,"4 - UTM10x10 + Centroid",43
"Q-P07777",207777,1,"Cynancho-Convolvulion sepium",NA,"Associació-Desconeguda","R55","",NA,25,"1953",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36
"Q-P07778",207778,1,"Cynancho-Convolvulion sepium",NA,"Associació-Desconeguda","R55","",NA,25,"1953",-3.800447036,43.39010631,"4 - UTM10x10 + Centroid",36
