"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"40","R-P15173","Bryo argentei-Saginetum procumbentis","V35Z",2,1983,-2.531495292,43.02106567,"1 - UTM1x1 + Elevation",350,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"41","R-P15174","Bryo argentei-Saginetum procumbentis","V35Z",1,1983,-2.412753528,43.11777144,"1 - UTM1x1 + Elevation",150,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"42","R-P15175","Bryo argentei-Saginetum procumbentis","V35Z",1,1983,-2.419190755,43.21685705,"1 - UTM1x1 + Elevation",100,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"43","R-P15176","Bryo argentei-Saginetum procumbentis","V35Z",2,1983,-2.389265862,43.25452089,"1 - UTM1x1 + Elevation",50,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"44","R-P15177","Bryo argentei-Saginetum procumbentis","V34Z",1,1983,-2.386802073,43.25450771,"1 - UTM1x1 + Elevation",50,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"45","R-P15178","Bryo argentei-Saginetum procumbentis","V35Z",3,1983,-2.354373302,43.2921487,"1 - UTM1x1 + Elevation",10,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"46","R-P22300","Polygono arenastri-Matricarietum matricarioidis","V34Y",2,1999,-8.110178932,41.85627969,"1 - UTM1x1 + Elevation",390,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"47","R-P22301","Polygono arenastri-Matricarietum matricarioidis","V34Y",2,1999,-8.110178932,41.85627969,"1 - UTM1x1 + Elevation",390,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"48","R-P22302","Polygono arenastri-Matricarietum matricarioidis","V34Z",2,1999,-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",400,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"49","R-P22303","Polygono arenastri-Matricarietum matricarioidis","V34Z",2,1999,-7.966652503,41.93101631,"1 - UTM1x1 + Elevation",795,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"50","R-P22304","Polygono arenastri-Matricarietum matricarioidis","V34Z",2,1999,-7.95080331,41.94430692,"1 - UTM1x1 + Elevation",810,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"51","R-P22305","Polygono arenastri-Matricarietum matricarioidis","V34Z",2,1999,-8.096442216,41.95592432,"1 - UTM1x1 + Elevation",830,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"52","R-P22306","Polygono arenastri-Matricarietum matricarioidis","V34Z",3,1999,-7.917203052,41.91514346,"1 - UTM1x1 + Elevation",870,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"53","R-P22307","Polygono arenastri-Matricarietum matricarioidis","V34Z",3,1999,-8.003531808,41.97082532,"1 - UTM1x1 + Elevation",560,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"54","R-P22308","Polygono arenastri-Matricarietum matricarioidis","V34Z",4,1999,-8.094693036,41.90378497,"1 - UTM1x1 + Elevation",420,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"55","R-P22309","Polygono arenastri-Matricarietum matricarioidis","V34Z",2,1999,-8.0894349,41.86800681,"2 - UTM1x1 + Centroid",410,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"56","R-P22310","Crassulo tillaeae-Saginetum apetalae","V34Y",1,1999,-8.08254135,41.90252427,"1 - UTM1x1 + Elevation",410,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"57","R-P22311","Crassulo tillaeae-Saginetum apetalae","V34Y",2,1999,-8.07759526,41.90094306,"1 - UTM1x1 + Elevation",410,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"58","R-P22312","Crassulo tillaeae-Saginetum apetalae","V34Y",1,1999,-7.955889587,41.94768821,"2 - UTM1x1 + Centroid",450,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"59","R-P22313","Crassulo tillaeae-Saginetum apetalae","V34Y",1,1999,-8.052735922,41.92184909,"2 - UTM1x1 + Centroid",810,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"60","R-P22314","Crassulo tillaeae-Saginetum apetalae","V34Y",1,1999,-8.202905451,41.90072054,"1 - UTM1x1 + Elevation",570,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"61","R-P23959","Polygono-Matricarietum matricarioidis","V34Z",3,1986,-6.82410259,42.42146088,"3 - UTM10x10 + Elevation",350,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"62","R-P23960","Polygono-Matricarietum matricarioidis","V37X",2,1986,-6.821895586,42.42513626,"3 - UTM10x10 + Elevation",350,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"63","R-P23961","Polygono-Matricarietum matricarioidis","V37X",2,1986,-6.908769888,42.41499923,"3 - UTM10x10 + Elevation",350,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"64","R-P23962","Crassulo tillaeae-Saginetum apetalae","V34Y",NA,1986,-6.778597476,42.31131908,"3 - UTM10x10 + Elevation",1100,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"65","R-P23964","Crassulo tillaeae-Saginetum apetalae","V34Y",NA,1986,-6.810261463,42.35349034,"3 - UTM10x10 + Elevation",1160,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"66","R-P23965","Crassulo tillaeae-Saginetum apetalae","V34Y",NA,1986,-6.814019475,42.33535669,"3 - UTM10x10 + Elevation",660,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"67","R-P24594","Polygono arenastri-Matricarietum discoideae","V34Z",20,2012,-6.792026305,42.41352377,"1 - UTM1x1 + Elevation",395,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"68","R-P24595","Polygono arenastri-Matricarietum discoideae","V34Z",5,2012,-6.494715533,42.31132946,"1 - UTM1x1 + Elevation",824,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"69","R-P24596","Polygono arenastri-Matricarietum discoideae","V34Z",5,2012,-6.710193216,42.42701045,"1 - UTM1x1 + Elevation",489,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"70","R-P24597","Polygono arenastri-Matricarietum discoideae","V34Z",5,2012,-6.539325868,42.28474679,"1 - UTM1x1 + Elevation",868,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"71","R-P24598","Polygono arenastri-Matricarietum discoideae","V34Z",10,2012,-6.673297363,42.33635588,"1 - UTM1x1 + Elevation",920,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"72","R-P24599","Polygono arenastri-Matricarietum discoideae","V34Z",3,2012,-6.505503574,42.33080983,"2 - UTM1x1 + Centroid",941,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"73","R-P24600","Polygono arenastri-Matricarietum discoideae","V34Y",1,2012,-6.815298298,42.39654291,"1 - UTM1x1 + Elevation",738,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"74","R-P24601","Polygono arenastri-Matricarietum discoideae","V34Z",4,2012,-6.661958878,42.26648438,"1 - UTM1x1 + Elevation",1044,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"75","R-P24602","Polygono arenastri-Matricarietum discoideae","V34Z",10,2012,-6.706388931,42.40372252,"1 - UTM1x1 + Elevation",753,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
